
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.527"	"25.425"	"33.22"	"37.714"	"42.089"	"42.701"	"37.025"	"32.401"	"35.083"	"36.723"	"30.603"	"26.251"
"1902"	"25.554"	"27.913"	"35.511"	"39.202"	"42.138"	"40.873"	"35.021"	"34.168"	"33.653"	"34.527"	"29.596"	"24.709"
"1903"	"24.332"	"26.116"	"31.65"	"36.594"	"40.747"	"42.902"	"36.584"	"32.519"	"34.124"	"34.149"	"28.708"	"24.221"
"1904"	"24.117"	"27.004"	"32.173"	"39.209"	"41.483"	"40.542"	"33.32"	"31.501"	"33.851"	"34.559"	"29.477"	"25.204"
"1905"	"22.759"	"22.027"	"29.866"	"35.863"	"42.991"	"42.549"	"35.793"	"33.635"	"35.91"	"36.013"	"31.881"	"25.767"
"1906"	"23.328"	"24.954"	"31.44"	"37.959"	"43.721"	"40.371"	"34.565"	"33.507"	"33.284"	"34.752"	"30.732"	"25.89"
"1907"	"25.949"	"25.39"	"30.896"	"36.278"	"39.99"	"41.554"	"37.672"	"32.024"	"34.494"	"35.422"	"30.481"	"24.125"
"1908"	"23.863"	"26.933"	"32.086"	"38.995"	"41.634"	"41.488"	"33.14"	"31.583"	"33.479"	"34.136"	"29.438"	"24.44"
"1909"	"23.922"	"26.307"	"33.748"	"36.259"	"40.638"	"39.613"	"33.215"	"31.866"	"33.22"	"34.723"	"31.186"	"24.273"
"1910"	"23.516"	"27.136"	"32.942"	"37.002"	"41.864"	"39.128"	"34.257"	"32.691"	"33.805"	"33.143"	"28.79"	"25.109"
"1911"	"26.031"	"27.286"	"30.871"	"37.854"	"43.069"	"40.674"	"36.908"	"34.284"	"33.273"	"35.386"	"28.47"	"25.286"
"1912"	"25.231"	"28.237"	"32.049"	"38.429"	"42.22"	"42.516"	"35.234"	"32.448"	"32.98"	"34.533"	"28.753"	"24.948"
"1913"	"24.724"	"26.796"	"30.851"	"39.35"	"40.234"	"38.998"	"34.718"	"33.638"	"35.411"	"36.384"	"29.997"	"25.157"
"1914"	"26.321"	"26.74"	"32.265"	"38.595"	"42.499"	"39.904"	"34.354"	"32.677"	"34.49"	"34.392"	"30.981"	"24.524"
"1915"	"24.139"	"24.833"	"32.562"	"37.82"	"43.217"	"41.868"	"37.508"	"33.769"	"36.503"	"36.5"	"30.241"	"26.172"
"1916"	"25.239"	"26.188"	"35.18"	"39.376"	"41.525"	"38.954"	"35.586"	"31.954"	"33.781"	"33.466"	"27.82"	"24.111"
"1917"	"25.045"	"26.972"	"32.264"	"35.4"	"38.241"	"38.826"	"33.183"	"31.618"	"32.504"	"32.452"	"26.84"	"24.875"
"1918"	"23.135"	"27.23"	"32.526"	"35.983"	"43.073"	"40.295"	"37.09"	"34.197"	"34.789"	"35.582"	"30.128"	"23.987"
"1919"	"24.307"	"25.837"	"33.31"	"37.251"	"40.926"	"41.706"	"33.822"	"31.813"	"33.381"	"34.225"	"29.312"	"24.285"
"1920"	"24.213"	"26.391"	"33.242"	"37.501"	"38.364"	"38.748"	"33.195"	"32.673"	"35.806"	"36.262"	"31.16"	"25.608"
"1921"	"24.997"	"27.446"	"35.506"	"40.335"	"43.283"	"41.861"	"37.308"	"32.45"	"32.736"	"34.136"	"29.866"	"26.96"
"1922"	"23.85"	"28.276"	"33.899"	"38.763"	"41.723"	"39.994"	"34.657"	"31.996"	"32.991"	"34.15"	"29.43"	"24.755"
"1923"	"24.112"	"26.301"	"33.403"	"38.657"	"40.843"	"42.812"	"35.087"	"31.538"	"33.81"	"33.9"	"29.408"	"25.04"
"1924"	"23.161"	"26.643"	"34.293"	"38.82"	"39.39"	"41.771"	"34.793"	"32.05"	"32.748"	"33.02"	"28.506"	"24.785"
"1925"	"22.235"	"24.578"	"32.963"	"39.928"	"40.776"	"37.216"	"32.691"	"33.839"	"35.708"	"35.89"	"29.329"	"25.098"
"1926"	"24.734"	"28.871"	"31.555"	"34.96"	"39.667"	"42.42"	"35.343"	"32.363"	"32.672"	"33.617"	"27.409"	"23.775"
"1927"	"22.035"	"24.722"	"31.251"	"37.127"	"40.697"	"40.981"	"34.451"	"31.737"	"33.283"	"34.522"	"28.13"	"25.539"
"1928"	"23.754"	"27.011"	"33.205"	"37.743"	"42.587"	"40.84"	"34.798"	"33.635"	"34.472"	"34.966"	"30.369"	"24.335"
"1929"	"23.511"	"25.102"	"34.557"	"38.652"	"42.05"	"40.875"	"34.191"	"32.197"	"34.859"	"35.018"	"30.682"	"24.186"
"1930"	"24.028"	"26.644"	"33.803"	"37.531"	"40.964"	"40.244"	"33.32"	"32.502"	"35.477"	"35.725"	"29.376"	"25.334"
"1931"	"25.85"	"25.349"	"32.25"	"39.512"	"42.021"	"42.166"	"35.405"	"32.759"	"33.658"	"33.576"	"29.528"	"25.807"
"1932"	"27.245"	"26.288"	"33.038"	"37.401"	"41.044"	"41.774"	"35.361"	"32.092"	"34.646"	"35.029"	"28.706"	"25.182"
"1933"	"22.579"	"27.112"	"32.891"	"36.184"	"38.849"	"39.538"	"34.072"	"31.68"	"32.552"	"33.368"	"29.294"	"25.124"
"1934"	"22.758"	"27.947"	"31.692"	"37.764"	"40.975"	"39.76"	"34.098"	"31.897"	"33.345"	"32.926"	"28.946"	"25.733"
"1935"	"22.188"	"27.012"	"32.547"	"35.168"	"41.673"	"41.592"	"34.055"	"31.974"	"33.278"	"33.205"	"30.038"	"24.776"
"1936"	"22.492"	"26.889"	"32.141"	"37.228"	"43.198"	"38.62"	"33.823"	"32.224"	"33.607"	"34.307"	"29.657"	"24.891"
"1937"	"23.284"	"27.551"	"31.049"	"36.982"	"41.678"	"41.517"	"33.898"	"33.261"	"34.202"	"34.146"	"30.26"	"23.903"
"1938"	"23.581"	"25.323"	"34.501"	"38.831"	"43.297"	"37.988"	"34.827"	"33.181"	"35.597"	"35.618"	"28.662"	"25.1"
"1939"	"25.491"	"26.575"	"30.226"	"36.334"	"42.174"	"39.512"	"34.544"	"34.921"	"34.388"	"35.686"	"29.735"	"25.49"
"1940"	"24.546"	"26.461"	"31.4"	"36.804"	"42.259"	"40.968"	"35.517"	"31.858"	"33.731"	"34.855"	"30.864"	"25.047"
"1941"	"23.562"	"27.763"	"34.959"	"39.953"	"42.534"	"40.45"	"36.274"	"33.738"	"35.214"	"37.572"	"30.777"	"26.9"
"1942"	"22.785"	"27.799"	"34.427"	"39.919"	"42.429"	"42.028"	"33.345"	"31.563"	"32.934"	"34.347"	"30.284"	"24.117"
"1943"	"24.592"	"26.869"	"33.833"	"37.094"	"41.948"	"40.009"	"34.045"	"31.557"	"33.665"	"34.151"	"30.378"	"26.219"
"1944"	"23.632"	"26.48"	"31.697"	"37.105"	"42.193"	"39.5"	"33.645"	"32.38"	"33.923"	"33.293"	"30.02"	"26.274"
"1945"	"22.054"	"26.207"	"33.781"	"37.081"	"41.084"	"40.836"	"33.96"	"32.733"	"33.156"	"33.483"	"29.43"	"23.602"
"1946"	"24.632"	"28.579"	"32.403"	"40.171"	"41.909"	"40.174"	"34.317"	"31.933"	"33.561"	"35.046"	"29.054"	"25.343"
"1947"	"22.794"	"27.104"	"34.063"	"38.946"	"42.486"	"41.999"	"35.522"	"32.993"	"32.923"	"33.1"	"30.66"	"25.528"
"1948"	"23.955"	"26.108"	"32.155"	"39.447"	"43.319"	"41.873"	"35.005"	"32.326"	"33.579"	"35.299"	"29.222"	"25.547"
"1949"	"26.171"	"27.476"	"33.56"	"39.736"	"43.45"	"40.931"	"34.677"	"32.826"	"34.354"	"34.656"	"28.642"	"24.614"
"1950"	"25.508"	"25.204"	"31.849"	"36.804"	"42.086"	"41.091"	"34.172"	"32.117"	"33.201"	"34.007"	"28.513"	"23.612"
"1951"	"23.164"	"26.192"	"32.347"	"35.966"	"41.281"	"39.896"	"36.302"	"32.845"	"35.049"	"37.733"	"31.584"	"25.325"
"1952"	"25.629"	"28.866"	"32.949"	"39.851"	"43.333"	"39.565"	"33.931"	"31.716"	"34.715"	"35.347"	"30.191"	"25.694"
"1953"	"23.31"	"28.565"	"35.674"	"39.041"	"42.725"	"41.307"	"35.254"	"32.381"	"34.238"	"34.741"	"29.818"	"27.932"
"1954"	"23.593"	"28.49"	"33.249"	"39.144"	"43.425"	"41.701"	"34.914"	"33.001"	"33.141"	"32.721"	"30.442"	"25.092"
"1955"	"23.985"	"27.009"	"34.868"	"36.309"	"41.18"	"41.014"	"35.362"	"32.377"	"33.711"	"33.147"	"28.807"	"25.55"
"1956"	"24.063"	"26.478"	"33.109"	"38.362"	"43.095"	"40.05"	"32.934"	"31.97"	"34.227"	"32.813"	"28.404"	"25.531"
"1957"	"23.324"	"25.356"	"31.391"	"37.035"	"40.457"	"40.609"	"34.427"	"32.961"	"33.227"	"34.628"	"31.543"	"25.678"
"1958"	"26.241"	"27.614"	"34.299"	"40.17"	"42.163"	"41.756"	"33.835"	"32.734"	"32.931"	"34.05"	"30.647"	"26.789"
"1959"	"23.912"	"26.48"	"34.338"	"38.41"	"41.105"	"40.916"	"33.867"	"32.083"	"33.598"	"34.849"	"30.057"	"26.496"
"1960"	"23.732"	"29.455"	"32.366"	"37.03"	"41.74"	"41.215"	"34.831"	"31.593"	"34.419"	"33.841"	"29.003"	"25.366"
"1961"	"23.326"	"24.752"	"32.884"	"37.573"	"41.505"	"40.192"	"34.454"	"31.898"	"33.413"	"32.929"	"29.056"	"23.358"
"1962"	"22.989"	"27.552"	"33.132"	"38.708"	"40.502"	"40.202"	"34.503"	"31.662"	"31.791"	"32.508"	"28.841"	"25.761"
"1963"	"24.541"	"29.866"	"33.637"	"38.116"	"41.6"	"40.811"	"36.151"	"31.471"	"33.415"	"35.372"	"32.213"	"26.045"
"1964"	"23.105"	"27.149"	"34.874"	"40.174"	"40.577"	"39.325"	"33.867"	"32.985"	"33.392"	"35.122"	"29.162"	"25.146"
"1965"	"26.43"	"27.362"	"33.042"	"37.21"	"40.782"	"41.962"	"35.115"	"33.529"	"33.741"	"35.58"	"31.66"	"25.299"
"1966"	"25.897"	"30.658"	"33.532"	"38.819"	"42.392"	"39.73"	"36.753"	"31.865"	"33.611"	"35.657"	"30.905"	"24.956"
"1967"	"22.998"	"29.548"	"31.733"	"36.902"	"40.898"	"40.294"	"34.448"	"30.615"	"32.189"	"33.882"	"30.529"	"26.241"
"1968"	"23.596"	"25.651"	"33.011"	"37.524"	"40.47"	"41.612"	"33.937"	"31.892"	"35.639"	"34.267"	"30.327"	"25.55"
"1969"	"24.192"	"27.566"	"36.214"	"38.401"	"40.283"	"41.912"	"34.725"	"32.253"	"33.383"	"36.124"	"31.847"	"26.616"
"1970"	"25.16"	"26.459"	"32.321"	"39.524"	"42.233"	"39.461"	"35.814"	"32.779"	"33.253"	"35.286"	"29.932"	"26.014"
"1971"	"23.267"	"26.986"	"32.835"	"39.332"	"40.233"	"37.39"	"32.519"	"31.661"	"33.917"	"34.146"	"29.515"	"25.813"
"1972"	"24.053"	"24.527"	"33.82"	"37.55"	"43.025"	"40.765"	"36.733"	"32.06"	"33.037"	"34.074"	"30.065"	"25.52"
"1973"	"22.669"	"28.131"	"32.523"	"41.344"	"43.538"	"41.157"	"34.587"	"31.819"	"33.423"	"34.193"	"29.667"	"24.079"
"1974"	"22.875"	"25.663"	"34.773"	"39.905"	"42.09"	"40.287"	"34.039"	"32.962"	"35.618"	"34.717"	"29.486"	"23.994"
