
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.515"	"10.1"	"17.184"	"22.427"	"28.026"	"30.758"	"28.479"	"25.069"	"25.229"	"22.309"	"14.838"	"10.779"
"1902"	"10.544"	"12.589"	"19.456"	"23.914"	"28.076"	"28.893"	"26.477"	"26.846"	"23.78"	"20.105"	"13.829"	"9.257"
"1903"	"9.359"	"10.771"	"15.616"	"21.306"	"26.649"	"30.924"	"28.039"	"25.184"	"24.269"	"19.742"	"12.941"	"8.771"
"1904"	"9.145"	"11.679"	"16.139"	"23.919"	"27.401"	"28.599"	"24.774"	"24.167"	"23.996"	"20.146"	"13.713"	"9.748"
"1905"	"7.739"	"6.702"	"13.814"	"20.575"	"28.908"	"30.606"	"27.246"	"26.315"	"26.038"	"21.608"	"16.112"	"10.313"
"1906"	"8.329"	"9.625"	"15.403"	"22.671"	"29.658"	"28.393"	"26.02"	"26.185"	"23.427"	"20.329"	"14.967"	"10.402"
"1907"	"10.942"	"10.066"	"14.862"	"20.99"	"25.926"	"29.61"	"29.127"	"24.69"	"24.641"	"21.021"	"14.714"	"8.673"
"1908"	"8.885"	"11.608"	"16.042"	"23.706"	"27.572"	"29.509"	"24.595"	"24.242"	"23.626"	"19.723"	"13.675"	"8.942"
"1909"	"8.932"	"10.983"	"17.696"	"20.973"	"26.574"	"27.668"	"24.669"	"24.536"	"23.365"	"20.314"	"15.42"	"8.823"
"1910"	"8.504"	"11.784"	"16.878"	"21.713"	"27.802"	"27.184"	"25.714"	"25.367"	"23.951"	"18.727"	"13.022"	"9.656"
"1911"	"11.021"	"11.952"	"14.837"	"22.565"	"29.007"	"28.73"	"28.361"	"26.962"	"23.399"	"20.974"	"12.705"	"9.822"
"1912"	"10.259"	"12.894"	"16.013"	"23.143"	"28.157"	"30.572"	"26.689"	"25.123"	"23.126"	"20.113"	"12.986"	"9.448"
"1913"	"9.751"	"11.473"	"14.785"	"24.061"	"26.136"	"27.055"	"26.174"	"26.31"	"25.556"	"21.977"	"14.231"	"9.705"
"1914"	"11.315"	"11.414"	"16.232"	"23.308"	"28.435"	"27.961"	"25.81"	"25.353"	"24.637"	"19.978"	"15.308"	"9.072"
"1915"	"9.167"	"9.509"	"16.528"	"22.532"	"29.155"	"29.89"	"28.963"	"26.446"	"26.629"	"22.084"	"14.474"	"10.719"
"1916"	"10.267"	"10.866"	"19.147"	"24.088"	"27.462"	"26.976"	"26.813"	"24.587"	"23.926"	"19.054"	"12.056"	"8.659"
"1917"	"10.072"	"11.631"	"16.231"	"20.114"	"24.143"	"26.883"	"24.636"	"24.273"	"22.649"	"18.034"	"11.075"	"9.422"
"1918"	"8.143"	"11.879"	"16.472"	"20.694"	"29.011"	"28.353"	"28.542"	"26.876"	"24.936"	"21.176"	"14.363"	"8.489"
"1919"	"9.188"	"10.513"	"17.275"	"21.965"	"26.865"	"29.764"	"25.277"	"24.463"	"23.528"	"19.812"	"13.545"	"8.835"
"1920"	"9.24"	"11.066"	"17.207"	"22.214"	"24.268"	"26.805"	"24.649"	"25.339"	"25.933"	"21.851"	"15.394"	"10.145"
"1921"	"10.023"	"12.12"	"19.486"	"25.03"	"29.202"	"29.882"	"28.763"	"25.108"	"22.881"	"19.724"	"14.099"	"11.46"
"1922"	"8.871"	"12.932"	"17.856"	"23.475"	"27.661"	"28.05"	"26.113"	"24.655"	"23.135"	"19.636"	"13.666"	"9.302"
"1923"	"9.135"	"10.974"	"17.369"	"23.37"	"26.726"	"30.869"	"26.543"	"24.206"	"23.955"	"19.487"	"13.645"	"9.585"
"1924"	"8.168"	"11.3"	"18.258"	"23.534"	"25.305"	"29.826"	"26.248"	"24.717"	"22.893"	"18.588"	"12.742"	"9.333"
"1925"	"7.205"	"9.255"	"16.909"	"24.642"	"26.679"	"25.238"	"24.144"	"26.518"	"25.853"	"21.484"	"13.562"	"9.645"
"1926"	"9.76"	"13.545"	"15.508"	"19.672"	"25.602"	"30.441"	"26.797"	"25.033"	"22.797"	"19.211"	"11.643"	"8.322"
"1927"	"7.009"	"9.398"	"15.218"	"21.839"	"26.635"	"29.035"	"25.907"	"24.379"	"23.412"	"20.118"	"12.364"	"10.033"
"1928"	"8.777"	"11.686"	"17.158"	"22.456"	"28.503"	"28.865"	"26.252"	"26.309"	"24.615"	"20.561"	"14.604"	"8.936"
"1929"	"8.516"	"9.778"	"18.501"	"23.364"	"27.987"	"28.897"	"25.646"	"24.876"	"25.005"	"20.614"	"14.919"	"8.734"
"1930"	"9.018"	"11.411"	"17.747"	"22.243"	"26.901"	"28.299"	"24.775"	"25.177"	"25.602"	"21.32"	"13.61"	"9.883"
"1931"	"10.841"	"10.021"	"16.219"	"24.225"	"27.958"	"30.225"	"26.86"	"25.435"	"23.802"	"19.16"	"13.762"	"10.33"
