
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"12.672"	"3.323"	"1.306"	"0.453"	"6.111"	"25.461"	"211.873"	"206.601"	"14.405"	"11.97"	"0"	"5.393"
"1902"	"2.939"	"0"	"0.032"	"0.264"	"0.463"	"61.029"	"253.103"	"136.701"	"93.894"	"5.509"	"10.187"	"0.847"
"1903"	"1.492"	"0.676"	"1.183"	"0"	"7.241"	"6.409"	"293.281"	"264.65"	"103.48"	"8.077"	"0"	"0"
"1904"	"2.123"	"2.407"	"14.729"	"0"	"17.231"	"66.128"	"274.722"	"226.505"	"58.737"	"8.371"	"13.521"	"5.484"
"1905"	"7.426"	"9.863"	"2.586"	"2.927"	"4.067"	"21.355"	"196.922"	"22.217"	"90.982"	"0.036"	"0.036"	"0.577"
"1906"	"0.255"	"14.78"	"3.247"	"0"	"0.723"	"111.769"	"217.145"	"118.852"	"169.478"	"0.227"	"0"	"11.423"
"1907"	"8.958"	"26.806"	"1.169"	"15.09"	"6.598"	"20.266"	"128.188"	"376.075"	"3.239"	"0.036"	"0.61"	"0"
"1908"	"14.133"	"0.032"	"0.108"	"0.856"	"5.315"	"42.292"	"559.92"	"383.513"	"161.005"	"2.959"	"2.352"	"0.577"
"1909"	"15.831"	"1.14"	"0"	"11.544"	"13.238"	"55.814"	"429.736"	"142.62"	"197.83"	"0.036"	"0"	"8.102"
"1910"	"4.4"	"1.19"	"0.025"	"4.365"	"3.997"	"87.966"	"157.027"	"241.19"	"90.973"	"8.504"	"1.098"	"0"
"1911"	"8.551"	"0"	"6.771"	"0"	"0.011"	"39.136"	"51.727"	"85.535"	"182.609"	"0.358"	"70.516"	"3.384"
"1912"	"7.829"	"0.729"	"1.49"	"0.715"	"0.761"	"40.567"	"280.939"	"266.265"	"106.098"	"9.916"	"34.149"	"1.108"
"1913"	"0"	"12.927"	"0.987"	"0.011"	"14.93"	"63.088"	"168.001"	"69.956"	"71.734"	"0.036"	"0"	"3.318"
"1914"	"0"	"3.234"	"0.305"	"5.007"	"23.268"	"102.12"	"348.104"	"155.606"	"168.436"	"5.853"	"15.856"	"0.647"
"1915"	"7.12"	"9.912"	"22.116"	"2.419"	"5.048"	"49.587"	"166.825"	"108.844"	"56.16"	"35.071"	"0.254"	"0.566"
"1916"	"0"	"3.618"	"0"	"0.565"	"13.273"	"59.874"	"276.714"	"353.814"	"149.661"	"12.588"	"3.404"	"0"
"1917"	"1.14"	"8.755"	"2.307"	"12.82"	"46.616"	"109.502"	"378.355"	"382.475"	"261.07"	"35.416"	"0"	"8.879"
"1918"	"5.649"	"0"	"2.53"	"0.022"	"13.032"	"27.327"	"68.942"	"123.631"	"32.841"	"0.036"	"4.788"	"0"
"1919"	"15.454"	"0"	"0.482"	"13.891"	"4.002"	"38.582"	"274.071"	"310.404"	"65.096"	"7.624"	"16.58"	"2.835"
"1920"	"5.21"	"7.462"	"2.696"	"0"	"14.889"	"113.974"	"272.806"	"61.774"	"44.302"	"0.036"	"0"	"0"
"1921"	"10.036"	"0"	"0"	"0.259"	"0.011"	"43.632"	"168.862"	"120.974"	"193.076"	"0.084"	"0"	"0"
"1922"	"5.694"	"1.261"	"0.057"	"0.82"	"0.483"	"58.139"	"243.11"	"135.026"	"192.647"	"1.279"	"6.486"	"14.514"
"1923"	"1.309"	"6.856"	"1.174"	"0.807"	"2.714"	"3.802"	"334.224"	"249.553"	"148.038"	"2.066"	"0"	"2.811"
"1924"	"4.507"	"4.698"	"0.027"	"0"	"9.736"	"23.955"	"212.286"	"188.446"	"201.925"	"13.662"	"1.497"	"18.608"
"1925"	"0.011"	"0"	"0"	"0"	"20.603"	"130.691"	"425.278"	"91.103"	"23.695"	"0.266"	"61.849"	"0.161"
"1926"	"28.037"	"2.425"	"17.107"	"5.765"	"18.568"	"20.807"	"230.351"	"335.074"	"175.543"	"0.036"	"3.208"	"0"
"1927"	"0"	"9.825"	"1.119"	"0.836"	"4.95"	"25.829"	"291.689"	"354.714"	"91.885"	"9.728"	"37.42"	"6.962"
"1928"	"2.093"	"13.752"	"0.489"	"0.059"	"1.61"	"22.352"	"238.034"	"167.67"	"88.773"	"46.512"	"23.209"	"17.244"
"1929"	"1.306"	"3.277"	"0"	"8.058"	"0.86"	"64.033"	"207.753"	"155.902"	"18.101"	"3.941"	"0"	"5.955"
"1930"	"5.113"	"2.24"	"0"	"1.382"	"13.475"	"115.687"	"364.619"	"159.046"	"40.799"	"15.478"	"0.423"	"0"
"1931"	"0"	"1.891"	"0.276"	"0.27"	"2.16"	"36.801"	"175.482"	"370.114"	"160.085"	"51.905"	"0.423"	"0"
"1932"	"0"	"3.642"	"6.177"	"1.847"	"1.308"	"34.111"	"186.977"	"372.799"	"125.066"	"1.448"	"0"	"0"
"1933"	"0"	"6.492"	"3.47"	"10.007"	"23.432"	"224.466"	"131.167"	"404.488"	"206.491"	"11.411"	"1.605"	"2.401"
