
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.925"	"7.699"	"8.031"	"8.714"	"14.534"	"27.066"	"32.162"	"28.431"	"26.271"	"15.847"	"9.77"	"9.777"
"1902"	"9.101"	"8.821"	"9.253"	"9.31"	"14.319"	"24.5"	"28.879"	"30.17"	"24.925"	"14.002"	"9.274"	"8.68"
"1903"	"8.5"	"8.064"	"7.603"	"8.372"	"13.835"	"27.139"	"31.976"	"28.34"	"25.986"	"13.827"	"9.102"	"8.538"
"1904"	"8.447"	"8.327"	"7.585"	"8.945"	"14.001"	"24.485"	"27.346"	"28.339"	"25.073"	"14.002"	"9.236"	"9.137"
"1905"	"7.833"	"6.072"	"6.718"	"7.783"	"15.105"	"25.862"	"30.381"	"30.116"	"28.052"	"14.838"	"10.22"	"9.137"
"1906"	"8.272"	"7.28"	"7.621"	"8.686"	"16.099"	"24.026"	"28.902"	"30.222"	"24.005"	"13.956"	"9.77"	"9.145"
"1907"	"9.18"	"7.729"	"7.373"	"7.917"	"13.252"	"25.499"	"33.651"	"28.409"	"25.893"	"14.131"	"9.833"	"8.539"
"1908"	"8.389"	"8.399"	"7.704"	"9.046"	"14.001"	"25.433"	"27.304"	"28.049"	"24.925"	"13.859"	"9.058"	"8.867"
"1909"	"8.352"	"7.954"	"8.505"	"7.775"	"13.453"	"23.538"	"27.063"	"27.947"	"24.597"	"13.991"	"9.482"	"8.486"
"1910"	"8.473"	"8.379"	"8.031"	"8.326"	"14.001"	"23.63"	"28.886"	"28.389"	"24.925"	"13.228"	"8.874"	"9.081"
"1911"	"9.149"	"8.316"	"7.038"	"9.019"	"15.054"	"23.506"	"31.968"	"31.158"	"25.025"	"14.002"	"8.808"	"9.137"
"1912"	"9.105"	"8.919"	"7.678"	"9.065"	"14.556"	"27.214"	"29.872"	"28.347"	"24.926"	"14.055"	"8.919"	"8.996"
"1913"	"8.493"	"8.327"	"7.025"	"9.203"	"13.491"	"22.633"	"28.857"	"29.676"	"27.15"	"14.979"	"9.77"	"9.031"
"1914"	"9.627"	"8.274"	"7.817"	"8.755"	"14.968"	"24.138"	"28.784"	"28.352"	"24.926"	"13.99"	"9.77"	"8.564"
"1915"	"8.445"	"7.458"	"7.831"	"9.065"	"16.018"	"25.628"	"33.547"	"30.401"	"28.128"	"15.004"	"9.752"	"9.137"
"1916"	"9.088"	"7.778"	"9.09"	"9.293"	"14.001"	"23.009"	"29.036"	"28.341"	"24.925"	"13.111"	"8.453"	"8.538"
"1917"	"8.501"	"8.372"	"7.827"	"7.273"	"11.893"	"23.091"	"27.356"	"28.336"	"23.921"	"12.509"	"8.104"	"9.137"
"1918"	"7.999"	"8.344"	"8.031"	"7.955"	"14.921"	"24.026"	"33.651"	"31.849"	"26.081"	"14.113"	"9.812"	"8.538"
"1919"	"8.469"	"7.785"	"8.132"	"8.454"	"13.996"	"26.466"	"28.762"	"28.387"	"24.973"	"13.819"	"9.103"	"8.539"
"1920"	"8.5"	"8.362"	"8.039"	"8.703"	"11.921"	"23.101"	"27.394"	"29.563"	"28.246"	"15.022"	"9.805"	"9.088"
"1921"	"8.554"	"8.344"	"9.638"	"10.114"	"15.842"	"25.152"	"32.486"	"28.389"	"25.089"	"13.991"	"9.419"	"9.836"
"1922"	"8.475"	"8.938"	"8.164"	"9.046"	"14.23"	"24.133"	"28.991"	"28.389"	"24.972"	"13.997"	"9.473"	"8.771"
"1923"	"8.455"	"8.258"	"8.031"	"9.019"	"14.001"	"27.409"	"29.877"	"28.392"	"24.951"	"13.62"	"9.102"	"9.131"
"1924"	"7.984"	"8.344"	"8.732"	"8.971"	"12.472"	"25.593"	"29"	"28.389"	"24.533"	"13.138"	"9.074"	"9.016"
"1925"	"7.404"	"7.237"	"8.18"	"9.672"	"13.814"	"20.377"	"27.168"	"30.235"	"26.601"	"15.003"	"9.3"	"9.08"
"1926"	"8.501"	"9.012"	"7.605"	"7.446"	"13.225"	"27.134"	"30.311"	"28.336"	"24.979"	"13.007"	"8.175"	"8.498"
"1927"	"7.298"	"7.319"	"7.525"	"8.372"	"14.001"	"25.173"	"28.764"	"28.432"	"24.925"	"14.002"	"9.062"	"9.137"
"1928"	"8.501"	"8.327"	"8.031"	"9.017"	"14.913"	"24.095"	"29.034"	"29.813"	"26.058"	"14.009"	"9.759"	"8.952"
"1929"	"8.477"	"7.662"	"8.773"	"9.065"	"14.454"	"24.121"	"28.785"	"28.341"	"25.803"	"13.923"	"9.852"	"8.41"
"1930"	"8.46"	"8.399"	"8.132"	"8.411"	"14.001"	"24.116"	"27.053"	"28.336"	"26.673"	"14.224"	"9.054"	"9.097"
"1931"	"9.183"	"7.594"	"7.952"	"9.623"	"14.015"	"26.131"	"30.558"	"29.308"	"24.979"	"13.132"	"9.058"	"9.137"
"1932"	"10.211"	"7.971"	"7.942"	"8.694"	"13.989"	"25.394"	"29.603"	"28.354"	"26.213"	"14.002"	"9.061"	"9.107"
"1933"	"7.818"	"8.379"	"8.05"	"7.747"	"12.384"	"24.02"	"28.923"	"28.172"	"24.867"	"13.244"	"9.058"	"9.137"
"1934"	"7.833"	"8.469"	"7.627"	"9.019"	"13.996"	"24.096"	"28.836"	"28.336"	"24.513"	"12.487"	"9.063"	"9.09"
