
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.3058"	"1.0245"	"1.1325"	"0.4526"	"1.013"	"2.2872"	"9.2014"	"9.593"	"1.1112"	"1.0792"	"0"	"1.0207"
"1902"	"0.9939"	"0"	"0.0318"	"0.2637"	"0.4457"	"4.0988"	"9.4314"	"7.4436"	"4.0773"	"1.0184"	"2.1317"	"0.79"
"1903"	"1.0419"	"0.6664"	"1.0336"	"0"	"1.2524"	"1.0971"	"10.0106"	"10.562"	"4.2868"	"1.1247"	"0"	"0"
"1904"	"1.042"	"1.0245"	"1.31"	"0"	"1.2278"	"3.891"	"10.572"	"8.5038"	"3.4976"	"1.0722"	"1.2601"	"1.0586"
"1905"	"1.2575"	"1.1218"	"1.2485"	"1.046"	"0.9892"	"1.9458"	"8.9046"	"2.9691"	"3.9909"	"0.036"	"0.036"	"0.5765"
"1906"	"0.254"	"1.1846"	"1.3348"	"0"	"0.6994"	"4.6787"	"9.1348"	"6.6963"	"5.5896"	"0.2267"	"0"	"1.021"
"1907"	"1.042"	"1.2222"	"1.0864"	"1.3484"	"1.0342"	"1.7987"	"7.391"	"12.5696"	"0.9946"	"0.036"	"0.6104"	"0"
"1908"	"1.2813"	"0.0323"	"0.1078"	"0.8561"	"1.0023"	"2.8288"	"15.1976"	"12.2144"	"4.0413"	"1.0367"	"1.1716"	"0.5765"
"1909"	"1.042"	"0.8718"	"0"	"1.2944"	"1.2308"	"3.9375"	"12.9272"	"7.4102"	"5.1573"	"0.036"	"0"	"1.1106"
"1910"	"1.0495"	"0.8996"	"0.0247"	"1.0819"	"0.9567"	"4.4844"	"7.849"	"10.0262"	"4.0456"	"1.1878"	"0.9704"	"0"
"1911"	"1.3383"	"0"	"1.4628"	"0"	"0.0108"	"3.321"	"5.0129"	"5.9995"	"5.5738"	"0.3051"	"2.5778"	"1.0227"
"1912"	"1.3013"	"0.6664"	"1.1549"	"0.6625"	"0.6994"	"2.6283"	"10.729"	"10.4465"	"4.2451"	"1.11"	"2.3141"	"0.9318"
"1913"	"0"	"1.2497"	"0.8669"	"0.0108"	"1.4325"	"3.8534"	"7.4726"	"5.4943"	"3.5029"	"0.036"	"0"	"1.0406"
"1914"	"0"	"1.0245"	"0.2407"	"1.1792"	"1.5624"	"4.6196"	"11.8734"	"8.0644"	"5.1059"	"1.0367"	"1.193"	"0.6179"
"1915"	"1.0447"	"1.1927"	"1.951"	"1.2373"	"1"	"3.0097"	"8.2673"	"6.5927"	"3.4785"	"2.0497"	"0.2542"	"0.5511"
"1916"	"0"	"1.124"	"0"	"0.5652"	"1.125"	"4.0219"	"10.1969"	"12.4801"	"4.8686"	"1.4154"	"1.1435"	"0"
"1917"	"0.9965"	"1.0452"	"1.2812"	"1.2584"	"2.3494"	"4.5848"	"11.3321"	"12.7488"	"6.7227"	"2.1398"	"0"	"1.0207"
"1918"	"1.042"	"0"	"1.1207"	"0.0215"	"1.0789"	"2.8616"	"5.1654"	"7.3034"	"1.9381"	"0.036"	"1.4567"	"0"
"1919"	"1.6183"	"0"	"0.4753"	"1.0819"	"1"	"2.5155"	"10.4996"	"11.7592"	"3.2495"	"0.9803"	"1.5039"	"1.0229"
"1920"	"1.042"	"1.0334"	"1.218"	"0"	"1.3514"	"5.2968"	"10.4732"	"5.2155"	"2.4485"	"0.036"	"0"	"0"
"1921"	"1.0876"	"0"	"0"	"0.2583"	"0.0108"	"3.0356"	"8.1266"	"7.6065"	"5.3182"	"0.0844"	"0"	"0"
"1922"	"1.2088"	"1.0033"	"0.0571"	"0.8061"	"0.4832"	"3.5356"	"9.7222"	"8.1597"	"5.7473"	"0.9375"	"1.4971"	"1.0758"
"1923"	"1.0169"	"1.2137"	"0.9592"	"0.8075"	"1"	"1"	"10.9821"	"10.7297"	"3.8759"	"1.0367"	"0"	"1.0612"
"1924"	"1.3459"	"1.0541"	"0.0264"	"0"	"1.1569"	"2.3288"	"9.2518"	"8.7755"	"5.6292"	"1.2292"	"1.1924"	"1.0714"
"1925"	"0.0108"	"0"	"0"	"0"	"1.255"	"5.2552"	"13.3568"	"6.4081"	"1.4156"	"0.2652"	"2.2673"	"0.16"
"1926"	"1.042"	"1.0245"	"1.7592"	"1.1677"	"1.5664"	"1.9939"	"9.3402"	"11.7113"	"5.9398"	"0.036"	"1.1753"	"0"
"1927"	"0"	"1.1035"	"0.8727"	"0.8061"	"1.0114"	"2.0365"	"11.1521"	"12.2185"	"3.9904"	"1.2081"	"2.2701"	"1.021"
"1928"	"1.0744"	"1.2167"	"0.4165"	"0.0592"	"0.9784"	"2.02"	"10.0583"	"8.0166"	"3.6602"	"2.4728"	"1.1943"	"1.0905"
"1929"	"0.9601"	"0.9877"	"0"	"1.1697"	"0.8036"	"3.5184"	"9.4048"	"8.468"	"1.817"	"1.0367"	"0"	"1.0714"
"1930"	"1.0487"	"1.0785"	"0"	"1.0475"	"1.211"	"4.8938"	"11.2594"	"7.8212"	"3.0073"	"1.4646"	"0.4235"	"0"
"1931"	"0"	"1.0269"	"0.2542"	"0.2691"	"0.9856"	"2.1174"	"8.2273"	"13.3334"	"5.2802"	"2.5618"	"0.4235"	"0"
"1932"	"0"	"0.966"	"1.236"	"1.0747"	"0.9389"	"2.5412"	"7.9867"	"11.9447"	"4.5413"	"0.8886"	"0"	"0"
"1933"	"0"	"1.0823"	"1.1207"	"1.1034"	"1.7368"	"6.7946"	"7.1232"	"12.91"	"5.9865"	"1.2223"	"1.0642"	"0.9492"
"1934"	"1.1743"	"0"	"1.473"	"0"	"0.0108"	"5.4863"	"7.9747"	"12.0849"	"3.1704"	"0.036"	"1.7897"	"1.0469"
"1935"	"1.2098"	"1.0755"	"0.2967"	"1.17"	"0.9748"	"2.4095"	"11.9182"	"6.5547"	"4.9359"	"1.2141"	"0.0377"	"1.0401"
"1936"	"0.1412"	"1.1012"	"1.2498"	"0.7963"	"1.1401"	"6.8505"	"8.642"	"9.0125"	"3.9081"	"0.036"	"2.3232"	"1.0662"
"1937"	"0"	"1.4364"	"0.044"	"1.171"	"1"	"2.818"	"8.8183"	"4.907"	"5.0776"	"1.0367"	"1.1926"	"1.0188"
"1938"	"1.3364"	"0"	"1.1207"	"0.4113"	"1.2962"	"5.2942"	"10.818"	"7.0615"	"2.7998"	"1.2156"	"0.036"	"0"
