
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.559"	"16.761"	"16.6"
"1902"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.559"	"16.761"	"16.6"
"1903"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.102"	"10.415"	"15.559"	"16.761"	"16.6"
"1904"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.559"	"16.761"	"16.6"
"1905"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.559"	"16.761"	"16.6"
"1906"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.559"	"16.761"	"16.6"
"1907"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.382"	"16.761"	"16.6"
"1908"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.488"	"15.559"	"16.761"	"16.6"
"1909"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.559"	"16.761"	"16.6"
"1910"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.559"	"16.761"	"16.6"
"1911"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.559"	"16.761"	"16.6"
"1912"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.559"	"16.761"	"16.6"
"1913"	"15.977"	"15.729"	"15.984"	"15.5"	"14.348"	"12.107"	"8.883"	"8.001"	"10.415"	"15.559"	"16.761"	"16.6"
