
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.1055"	"2.3175"	"0.0008"	"0.1463"	"0.0315"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3197"
"1902"	"0.0052"	"0"	"0"	"0"	"0"	"0.0402"	"0"	"0"	"0"	"0"	"0"	"3.3826"
"1903"	"2.1049"	"1.0375"	"0.1784"	"0.2426"	"0.0644"	"0"	"0"	"0"	"0"	"0.0009"	"0.0038"	"4.6938"
"1904"	"4.8733"	"0.0005"	"0.0983"	"0"	"0.0004"	"0"	"0.0036"	"0"	"0"	"0.004"	"0.0021"	"2.7995"
"1905"	"7.5113"	"3.4377"	"0.2908"	"0.2746"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.5103"
"1906"	"6.3253"	"2.3457"	"0.2289"	"0.1274"	"0"	"0"	"0"	"0"	"0.0001"	"0"	"0"	"0.0137"
"1907"	"0"	"1.9966"	"0.2209"	"0.2258"	"0.1689"	"0"	"0"	"0.0042"	"0"	"0"	"0"	"4.5284"
"1908"	"3.2073"	"0.3081"	"0.0778"	"0"	"0.0105"	"0"	"0.0096"	"0.0265"	"0.0343"	"0.0962"	"0.0029"	"4.8892"
"1909"	"5.7164"	"1.5278"	"0.0183"	"0.2538"	"0.0736"	"0.0268"	"0.0127"	"0.0105"	"0.1477"	"0.0786"	"0"	"5.46"
"1910"	"4.67"	"0.1078"	"0.0159"	"0.2363"	"0"	"0.0008"	"0.0042"	"0.0055"	"0"	"0.1827"	"0.0045"	"3.5905"
"1911"	"0.8741"	"0"	"0.2301"	"0.1048"	"0"	"0"	"0"	"0"	"0.0004"	"0"	"0.006"	"3.1558"
"1912"	"0.8349"	"0"	"0.1217"	"0.0282"	"0"	"0"	"0"	"0"	"0.0361"	"0"	"0.004"	"3.4634"
"1913"	"0.9005"	"0.5879"	"0.2441"	"0"	"0.1156"	"0.1604"	"0.0038"	"0"	"0"	"0"	"0.0011"	"3.6368"
"1914"	"0.0038"	"1.3084"	"0.1248"	"0.0518"	"0"	"0.0323"	"0.0053"	"0"	"0"	"0.1498"	"0"	"5.1955"
"1915"	"3.0524"	"2.136"	"0.0337"	"0.0691"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.202"
"1916"	"0.3748"	"1.5608"	"0"	"0"	"0.0616"	"0.0757"	"0"	"0.0032"	"0.0235"	"0.1546"	"0.0068"	"5.074"
"1917"	"1.6673"	"0.0529"	"0.0561"	"0.3504"	"0.2617"	"0.0999"	"0.0133"	"0.019"	"0.2182"	"0.3255"	"0.0142"	"3.5282"
"1918"	"5.172"	"0.0082"	"0.0812"	"0.2858"	"0"	"0.0005"	"0"	"0"	"0"	"0"	"0.0003"	"5.5221"
"1919"	"3.9828"	"1.3713"	"0.0216"	"0.174"	"0.0415"	"0"	"0.0004"	"0.0038"	"0.0569"	"0.0346"	"0.0029"	"4.7502"
"1920"	"2.2568"	"1.0554"	"0.0035"	"0.15"	"0.2682"	"0.2526"	"0.0015"	"0"	"0"	"0"	"0"	"2.318"
"1921"	"0.8349"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0012"	"0.0049"	"0.0745"	"0.0023"	"0"
"1922"	"3.9075"	"0"	"0"	"0"	"0"	"0.0003"	"0"	"0.001"	"0.0579"	"0.1163"	"0.0019"	"3.6246"
