
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"21.56"	"23.837"	"31.755"	"36.33"	"40.575"	"41.859"	"37.12"	"33.727"	"35.45"	"36.275"	"30.091"	"25.861"
"1902"	"24.578"	"26.839"	"33.829"	"37.847"	"40.848"	"39.584"	"35.998"	"34.983"	"34.562"	"34.366"	"29.34"	"24.305"
"1903"	"23.388"	"24.984"	"29.436"	"35.218"	"40.029"	"42.361"	"36.99"	"33.733"	"35.266"	"34.545"	"28.414"	"23.89"
"1904"	"22.889"	"25.983"	"30.319"	"37.635"	"40.651"	"39.971"	"34.904"	"32.867"	"34.362"	"34.446"	"29.056"	"24.771"
"1905"	"21.41"	"20.535"	"27.852"	"34.654"	"42.278"	"41.195"	"36.946"	"34.506"	"36.138"	"35.383"	"31.179"	"25.097"
"1906"	"21.962"	"23.267"	"29.63"	"35.944"	"42.466"	"39.78"	"36.224"	"34.352"	"34.341"	"35.172"	"30.685"	"25.814"
"1907"	"25.369"	"23.775"	"29.125"	"34.751"	"38.809"	"40.236"	"37.711"	"32.692"	"34.61"	"34.697"	"30.058"	"23.866"
"1908"	"23.348"	"25.809"	"30.758"	"37.326"	"40.491"	"40.764"	"34.071"	"31.753"	"34.018"	"33.931"	"28.714"	"24.239"
"1909"	"22.459"	"24.647"	"31.279"	"35.218"	"39.76"	"39.476"	"33.599"	"32.396"	"33.326"	"34.481"	"30.494"	"23.618"
"1910"	"22.582"	"25.832"	"31.211"	"35.22"	"40.977"	"39.583"	"34.725"	"32.775"	"34.569"	"33.328"	"28.253"	"24.339"
"1911"	"24.538"	"26.204"	"29.153"	"36.455"	"41.934"	"39.747"	"37.609"	"35.39"	"34.422"	"34.825"	"27.411"	"24.676"
"1912"	"24.037"	"26.382"	"30.283"	"36.964"	"40.954"	"41.812"	"35.702"	"32.924"	"33.711"	"34.418"	"28.19"	"24.424"
"1913"	"23.979"	"25.384"	"28.835"	"37.742"	"39.213"	"38.279"	"34.254"	"33.948"	"35.444"	"35.626"	"29.314"	"24.189"
"1914"	"25.501"	"24.606"	"30.217"	"36.674"	"41.777"	"39.373"	"34.678"	"33.514"	"34.592"	"33.613"	"29.773"	"23.621"
"1915"	"22.865"	"23.757"	"31.094"	"36.466"	"42.458"	"41.131"	"37.783"	"34.57"	"36.591"	"35.872"	"29.479"	"25.438"
"1916"	"24.254"	"24.199"	"33.495"	"37.626"	"40.1"	"38.94"	"35.761"	"32.394"	"33.905"	"32.988"	"27.136"	"23.542"
"1917"	"23.946"	"25.86"	"30.687"	"33.689"	"36.964"	"38.64"	"33.753"	"31.872"	"32.551"	"32.234"	"26.788"	"24.565"
"1918"	"22.213"	"26.285"	"30.908"	"34.243"	"42.222"	"39.782"	"37.339"	"34.482"	"34.703"	"34.916"	"29.288"	"23.478"
"1919"	"23.417"	"24.605"	"31.419"	"35.7"	"39.637"	"41.55"	"35.285"	"32.537"	"33.756"	"34.162"	"28.44"	"23.729"
"1920"	"22.978"	"24.691"	"31.188"	"35.635"	"36.638"	"37.431"	"34.231"	"33.179"	"36.046"	"35.531"	"30.297"	"24.749"
"1921"	"23.938"	"26.193"	"33.937"	"39.248"	"42.01"	"41.489"	"37.206"	"33.068"	"34.067"	"33.725"	"29.304"	"26.395"
"1922"	"22.664"	"26.893"	"31.913"	"37.223"	"40.303"	"39.314"	"35.823"	"33.175"	"33.829"	"33.723"	"28.814"	"24.339"
"1923"	"22.969"	"24.858"	"32.123"	"37.378"	"39.511"	"41.395"	"35.555"	"32.194"	"34.524"	"33.848"	"28.541"	"24.272"
"1924"	"22.3"	"25.444"	"32.746"	"37.263"	"37.807"	"41.147"	"36.294"	"32.915"	"32.598"	"33.283"	"28.042"	"24.454"
"1925"	"21.283"	"23.262"	"32.004"	"38.953"	"39.989"	"36.935"	"33.522"	"34.19"	"36.008"	"35.302"	"28.186"	"24.48"
"1926"	"23.798"	"27.702"	"30.039"	"33.844"	"38.301"	"41.393"	"36.223"	"32.825"	"33.27"	"33.608"	"27.013"	"23.694"
"1927"	"21.406"	"23.12"	"29.925"	"35.844"	"39.557"	"40.364"	"34.917"	"32.424"	"33.671"	"34.642"	"28.443"	"25.297"
"1928"	"22.867"	"26.183"	"31.756"	"36.495"	"42.014"	"40.391"	"35.776"	"34.106"	"34.429"	"34.873"	"29.783"	"23.508"
"1929"	"22.805"	"24.171"	"33.551"	"37.3"	"40.672"	"40.135"	"34.414"	"32.617"	"34.976"	"34.385"	"29.765"	"23.021"
"1930"	"22.448"	"25.283"	"31.714"	"35.679"	"39.774"	"38.742"	"33.52"	"32.984"	"35.206"	"34.751"	"28.196"	"24.313"
"1931"	"24.148"	"22.861"	"30.156"	"37.748"	"40.192"	"40.443"	"35.083"	"33.168"	"33.831"	"33.408"	"28.727"	"25.279"
"1932"	"25.983"	"25.262"	"31.827"	"36.468"	"39.856"	"41.287"	"35.171"	"32.212"	"35.18"	"34.526"	"28.366"	"24.695"
"1933"	"21.555"	"25.771"	"31.04"	"34.997"	"37.903"	"39.136"	"34.366"	"31.459"	"33.183"	"33.351"	"28.731"	"25.042"
"1934"	"21.175"	"27.239"	"30.232"	"36.451"	"39.611"	"39.284"	"34.997"	"32.485"	"34.768"	"33.529"	"28.759"	"25.42"
"1935"	"21.2"	"25.81"	"31.234"	"33.841"	"40.415"	"40.886"	"34.519"	"32.714"	"33.686"	"33.327"	"29.344"	"24.385"
"1936"	"21.828"	"26.316"	"30.187"	"36.349"	"42.541"	"38.281"	"34.463"	"32.467"	"34.067"	"34.482"	"28.964"	"24.414"
"1937"	"22.61"	"25.92"	"29.503"	"35.445"	"40.826"	"40.811"	"34.211"	"33.871"	"34.568"	"33.201"	"28.635"	"22.827"
"1938"	"22.15"	"23.913"	"32.592"	"37.297"	"42.442"	"38.424"	"36.15"	"34.151"	"35.848"	"35.429"	"27.781"	"24.227"
"1939"	"24.07"	"26.104"	"28.53"	"34.877"	"41.422"	"38.533"	"35.428"	"35.174"	"35.578"	"35.475"	"29.084"	"25.551"
"1940"	"23.963"	"25.318"	"29.759"	"35.541"	"41.411"	"39.78"	"35.727"	"32.494"	"33.774"	"34.865"	"30.277"	"24.548"
"1941"	"22.296"	"26.787"	"33.729"	"39.188"	"41.493"	"38.786"	"36.257"	"34.245"	"34.796"	"36.815"	"29.708"	"25.728"
"1942"	"22.104"	"26.435"	"32.612"	"38.731"	"41.038"	"40.917"	"33.825"	"31.895"	"32.699"	"33.829"	"29.894"	"23.216"
"1943"	"22.825"	"25.381"	"32.335"	"35.42"	"40.722"	"39.264"	"34.283"	"31.942"	"34.463"	"34.036"	"29.477"	"25.812"
"1944"	"22.433"	"25.191"	"30.225"	"36.22"	"41.332"	"39.439"	"34.632"	"32.791"	"33.985"	"32.841"	"29.656"	"25.166"
"1945"	"20.712"	"24.415"	"31.908"	"35.496"	"40.145"	"39.912"	"34.003"	"33.2"	"33.655"	"33.547"	"28.936"	"22.706"
"1946"	"23.585"	"27.127"	"30.761"	"39.448"	"41.111"	"40.277"	"34.927"	"32.758"	"33.611"	"34.918"	"28.393"	"23.617"
"1947"	"21.929"	"25.489"	"32.431"	"37.828"	"41.541"	"41.62"	"37.141"	"33.652"	"33.448"	"33.064"	"30.338"	"24.718"
"1948"	"22.721"	"24.887"	"30.72"	"38.503"	"42.434"	"41.073"	"35.645"	"32.77"	"34.944"	"35.477"	"28.093"	"24.817"
"1949"	"24.78"	"25.594"	"31.76"	"38.416"	"42.649"	"39.752"	"34.545"	"32.927"	"36.028"	"33.495"	"27.367"	"23.679"
"1950"	"24.196"	"22.876"	"30.25"	"35.494"	"41.156"	"40.529"	"34.171"	"32.193"	"33.438"	"33.437"	"27.465"	"22.468"
"1951"	"22.314"	"24.402"	"30.691"	"34.431"	"39.841"	"39.148"	"36.996"	"33.271"	"35.217"	"37.065"	"30.345"	"24.784"
"1952"	"23.834"	"27.1"	"30.958"	"38.406"	"41.469"	"39.605"	"35.5"	"32.394"	"34.707"	"34.676"	"28.778"	"24.329"
"1953"	"22.541"	"27.745"	"34.242"	"36.986"	"40.822"	"40.347"	"35.275"	"32.228"	"34.165"	"33.987"	"28.873"	"27.223"
"1954"	"22.213"	"26.332"	"31.143"	"36.914"	"41.811"	"40.686"	"35.291"	"33.871"	"34.727"	"32.403"	"29.263"	"24.534"
"1955"	"22.784"	"25.658"	"33.214"	"34.487"	"39.027"	"40.395"	"35.704"	"32.687"	"33.446"	"32.605"	"27.852"	"24.764"
"1956"	"22.469"	"25.345"	"31.09"	"36.86"	"42.37"	"39.916"	"33.543"	"31.929"	"34.972"	"32.041"	"27.351"	"24.823"
"1957"	"21.918"	"23.85"	"30.141"	"35.098"	"38.221"	"39.294"	"35.101"	"32.852"	"34.132"	"34.161"	"30.086"	"24.535"
"1958"	"24.685"	"25.543"	"32.391"	"39.061"	"40.109"	"40.608"	"34.481"	"33.953"	"33.219"	"33.665"	"29.066"	"25.843"
"1959"	"22.316"	"24.545"	"32.33"	"36.772"	"39.637"	"39.558"	"34.645"	"32.658"	"33.818"	"35.209"	"28.905"	"24.843"
"1960"	"22.438"	"27.476"	"30.289"	"34.959"	"39.889"	"40.198"	"34.948"	"32.705"	"34.974"	"33.889"	"28.066"	"24.856"
"1961"	"22.904"	"23.415"	"31.554"	"35.603"	"40.09"	"39.116"	"34.014"	"32.758"	"33.8"	"33.053"	"27.647"	"22.242"
"1962"	"21.88"	"25.998"	"31.707"	"37.423"	"39.893"	"39.653"	"35.209"	"33.181"	"32.819"	"32.337"	"28.401"	"24.026"
"1963"	"23.234"	"28.192"	"31.524"	"36.498"	"39.995"	"40.213"	"37.064"	"33.214"	"34.224"	"35.78"	"31.024"	"25.141"
"1964"	"21.202"	"25.024"	"33.535"	"38.342"	"39.341"	"39.032"	"33.964"	"33.22"	"33.947"	"34.029"	"27.926"	"23.873"
"1965"	"25.499"	"25.884"	"31.075"	"34.909"	"39.203"	"40.412"	"35"	"33.438"	"34.475"	"35.682"	"30.951"	"23.602"
"1966"	"24.926"	"28.767"	"31.272"	"36.6"	"40.726"	"38.949"	"36.676"	"32.836"	"33.668"	"35.381"	"29.364"	"23.908"
"1967"	"21.562"	"28.273"	"30.363"	"35.717"	"39.717"	"39.87"	"35.299"	"32.037"	"33.467"	"33.807"	"29.964"	"25.001"
"1968"	"22.366"	"23.714"	"31.394"	"36.395"	"39.2"	"40.754"	"35.015"	"33.631"	"36.298"	"34.546"	"29.532"	"24.585"
"1969"	"23.363"	"25.94"	"34.777"	"37.285"	"39.259"	"41.367"	"35.46"	"33.63"	"34.478"	"35.997"	"30.705"	"25.703"
"1970"	"24.038"	"25.329"	"30.858"	"38.483"	"41.682"	"39.177"	"35.878"	"33.535"	"33.948"	"35.706"	"28.969"	"25.175"
"1971"	"22.427"	"25.811"	"31.64"	"38.459"	"39.219"	"37.446"	"33.446"	"32.143"	"34.22"	"34.015"	"28.601"	"25.671"
"1972"	"22.975"	"22.805"	"32.295"	"35.976"	"41.286"	"39.395"	"36.515"	"32.718"	"33.529"	"33.441"	"29.183"	"24.185"
"1973"	"21.381"	"26.892"	"31.03"	"39.703"	"42.076"	"40.928"	"35.112"	"32.212"	"34.053"	"33.8"	"28.648"	"22.783"
"1974"	"21.871"	"23.621"	"33.308"	"38.768"	"40.577"	"38.712"	"34.57"	"33.964"	"35.726"	"34.045"	"28.669"	"22.818"
"1975"	"21.084"	"24.002"	"30.418"	"37.529"	"41.712"	"38.428"	"34.101"	"32.296"	"32.287"	"33.966"	"27.763"	"25.265"
"1976"	"24.015"	"25.563"	"30.434"	"36.338"	"40.293"	"37.859"	"35.129"	"31.511"	"33.12"	"35.266"	"30.015"	"24.024"
"1977"	"21.985"	"26.532"	"34.031"	"36.323"	"38.666"	"37.743"	"32.605"	"32.861"	"31.815"	"34.472"	"31.208"	"25.505"
"1978"	"22.31"	"23.714"	"29.23"	"37.628"	"43.629"	"39.782"	"32.46"	"31.737"	"32.867"	"34.248"	"28.807"	"24.484"
"1979"	"22.928"	"24.252"	"28.829"	"35.992"	"36.422"	"39.457"	"34.497"	"33.084"	"33.638"	"34.576"	"30.512"	"25.02"
"1980"	"22.44"	"26.764"	"30.414"	"37.932"	"40.502"	"37.904"	"33.355"	"33.071"	"34.191"	"35.369"	"29.601"	"24.439"
"1981"	"22.946"	"26.453"	"30.801"	"38.016"	"39.663"	"39.79"	"33.315"	"32.524"	"34.53"	"34.643"	"27.468"	"24.346"
"1982"	"22.825"	"23.323"	"28.39"	"35.346"	"37.07"	"39.686"	"36.021"	"32.629"	"35.002"	"34.696"	"28.505"	"24.057"
"1983"	"21.752"	"24.07"	"30.242"	"33.15"	"38.197"	"38.534"	"34.951"	"32.63"	"34.39"	"33.127"	"27.819"	"24.099"
"1984"	"21.713"	"22.797"	"32.78"	"37.123"	"42.553"	"40.346"	"34.52"	"32.736"	"32.57"	"33.116"	"28.266"	"23.455"
