
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.585"	"8.109"	"15.749"	"20.828"	"26.225"	"29.753"	"28.22"	"25.706"	"25.03"	"20.715"	"13.311"	"9.223"
"1902"	"8.602"	"11.092"	"17.772"	"22.348"	"26.502"	"27.476"	"27.113"	"26.981"	"24.145"	"18.808"	"12.543"	"7.668"
"1903"	"7.412"	"9.258"	"13.429"	"19.697"	"25.683"	"30.253"	"28.108"	"25.625"	"24.845"	"18.988"	"11.615"	"7.269"
"1904"	"6.909"	"10.253"	"14.291"	"22.121"	"26.303"	"27.865"	"26.004"	"24.846"	"23.945"	"18.89"	"12.278"	"8.171"
"1905"	"5.432"	"4.807"	"11.85"	"19.138"	"27.93"	"29.044"	"28.044"	"26.502"	"25.717"	"19.823"	"14.375"	"8.479"
"1906"	"5.986"	"7.537"	"13.623"	"20.441"	"28.101"	"27.668"	"27.299"	"26.347"	"23.924"	"19.615"	"13.879"	"9.195"
"1907"	"9.375"	"8.01"	"13.101"	"19.253"	"24.46"	"28.11"	"28.829"	"24.671"	"24.197"	"19.305"	"13.289"	"7.247"
"1908"	"7.354"	"10.06"	"14.769"	"21.828"	"26.125"	"28.637"	"25.147"	"23.728"	"23.511"	"18.373"	"11.909"	"7.639"
"1909"	"6.485"	"8.917"	"15.278"	"19.701"	"25.413"	"27.369"	"24.677"	"24.37"	"22.909"	"18.922"	"13.712"	"7.019"
"1910"	"6.606"	"10.083"	"15.187"	"19.715"	"26.612"	"27.457"	"25.824"	"24.753"	"24.152"	"17.771"	"11.458"	"7.739"
"1911"	"8.541"	"10.457"	"13.145"	"20.955"	"27.561"	"27.617"	"28.728"	"27.39"	"24.006"	"19.268"	"10.631"	"8.071"
"1912"	"8.058"	"10.634"	"14.293"	"21.463"	"26.589"	"29.705"	"26.821"	"24.917"	"23.296"	"18.86"	"11.365"	"7.818"
"1913"	"8"	"9.656"	"12.829"	"22.243"	"24.865"	"26.146"	"25.352"	"25.942"	"25.028"	"20.067"	"12.534"	"7.569"
"1914"	"9.508"	"8.862"	"14.232"	"21.15"	"27.409"	"27.246"	"25.774"	"25.513"	"24.175"	"18.054"	"13.361"	"6.979"
"1915"	"6.886"	"8.01"	"15.103"	"20.962"	"28.113"	"29.023"	"28.903"	"26.563"	"26.171"	"20.313"	"12.672"	"8.816"
"1916"	"8.278"	"8.471"	"17.427"	"22.122"	"25.746"	"26.815"	"26.355"	"24.375"	"23.49"	"17.431"	"10.356"	"6.925"
"1917"	"7.973"	"10.093"	"14.699"	"18.172"	"22.613"	"26.531"	"24.852"	"23.847"	"22.131"	"16.675"	"9.96"	"7.963"
