
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.59"	"3.32"	"5.05"	"6.45"	"7.43"	"7.38"	"5.88"	"4.96"	"5.05"	"4.95"	"3.56"	"2.79"
"1902"	"2.82"	"3.63"	"5.31"	"6.67"	"7.48"	"7.08"	"5.76"	"5.08"	"4.95"	"4.74"	"3.49"	"2.68"
"1903"	"2.74"	"3.43"	"4.77"	"6.29"	"7.35"	"7.44"	"5.86"	"4.98"	"5.03"	"4.77"	"3.41"	"2.66"
"1904"	"2.69"	"3.52"	"4.87"	"6.63"	"7.46"	"7.12"	"5.64"	"4.87"	"4.95"	"4.75"	"3.47"	"2.71"
"1905"	"2.57"	"3"	"4.56"	"6.22"	"7.68"	"7.29"	"5.86"	"5.04"	"5.12"	"4.86"	"3.65"	"2.73"
"1906"	"2.61"	"3.27"	"4.78"	"6.4"	"7.73"	"7.09"	"5.78"	"5.02"	"4.94"	"4.83"	"3.62"	"2.79"
"1907"	"2.9"	"3.31"	"4.74"	"6.23"	"7.2"	"7.18"	"5.95"	"4.84"	"4.98"	"4.76"	"3.56"	"2.65"
"1908"	"2.72"	"3.52"	"4.93"	"6.58"	"7.43"	"7.23"	"5.53"	"4.76"	"4.92"	"4.71"	"3.43"	"2.67"
"1909"	"2.66"	"3.42"	"4.99"	"6.3"	"7.32"	"7.05"	"5.47"	"4.8"	"4.84"	"4.76"	"3.6"	"2.61"
"1910"	"2.66"	"3.52"	"4.99"	"6.29"	"7.5"	"7.09"	"5.6"	"4.86"	"4.95"	"4.63"	"3.39"	"2.68"
"1911"	"2.82"	"3.55"	"4.74"	"6.45"	"7.63"	"7.11"	"5.94"	"5.12"	"4.95"	"4.79"	"3.34"	"2.71"
"1912"	"2.79"	"3.58"	"4.85"	"6.53"	"7.5"	"7.36"	"5.71"	"4.87"	"4.88"	"4.74"	"3.39"	"2.69"
"1913"	"2.78"	"3.46"	"4.69"	"6.64"	"7.25"	"6.91"	"5.56"	"4.97"	"5.04"	"4.88"	"3.49"	"2.67"
"1914"	"2.9"	"3.4"	"4.86"	"6.5"	"7.6"	"7.04"	"5.6"	"4.92"	"4.95"	"4.65"	"3.51"	"2.61"
"1915"	"2.7"	"3.32"	"4.96"	"6.45"	"7.71"	"7.27"	"5.96"	"5.03"	"5.17"	"4.9"	"3.52"	"2.76"
"1916"	"2.8"	"3.35"	"5.28"	"6.64"	"7.37"	"6.99"	"5.85"	"4.81"	"4.9"	"4.6"	"3.31"	"2.6"
"1917"	"2.77"	"3.52"	"4.91"	"6.07"	"6.93"	"6.93"	"5.5"	"4.77"	"4.75"	"4.52"	"3.28"	"2.71"
"1918"	"2.64"	"3.56"	"4.93"	"6.16"	"7.67"	"7.09"	"5.89"	"5.03"	"4.98"	"4.8"	"3.48"	"2.6"
"1919"	"2.75"	"3.41"	"5.01"	"6.36"	"7.3"	"7.35"	"5.67"	"4.83"	"4.87"	"4.73"	"3.41"	"2.64"
"1920"	"2.7"	"3.42"	"4.98"	"6.31"	"6.87"	"6.77"	"5.54"	"4.9"	"5.12"	"4.87"	"3.59"	"2.71"
"1921"	"2.78"	"3.56"	"5.31"	"6.86"	"7.65"	"7.33"	"5.88"	"4.89"	"4.9"	"4.68"	"3.49"	"2.83"
"1922"	"2.67"	"3.63"	"5.07"	"6.57"	"7.41"	"7.03"	"5.73"	"4.91"	"4.9"	"4.71"	"3.45"	"2.69"
