
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.652"	"6.838"	"7.437"	"8.474"	"13.935"	"25.238"	"29.714"	"28.007"	"24.4"	"13.538"	"8.11"	"8.402"
"1902"	"7.705"	"7.72"	"8.817"	"8.952"	"13.492"	"22.318"	"28.164"	"29.885"	"22.864"	"12.003"	"7.967"	"7.236"
"1903"	"7.156"	"7.393"	"6.67"	"8"	"13.213"	"25.305"	"29.837"	"27.131"	"24.392"	"12.265"	"7.465"	"7.158"
"1904"	"7.08"	"7.438"	"6.908"	"8.608"	"13.218"	"22.634"	"27.009"	"28.26"	"23.671"	"12.003"	"8.031"	"7.758"
"1905"	"6.253"	"5.124"	"5.82"	"7.457"	"14.865"	"23.003"	"28.602"	"29.028"	"25.026"	"13.002"	"8.764"	"7.758"
"1906"	"6.658"	"6.317"	"6.765"	"8.187"	"15.294"	"22.147"	"28.357"	"28.736"	"22.771"	"12.236"	"8.14"	"7.957"
"1907"	"8.053"	"6.789"	"6.651"	"7.77"	"12.366"	"23.184"	"30.478"	"27.191"	"24.349"	"12.003"	"8.145"	"7.059"
"1908"	"7.327"	"7.438"	"7.191"	"8.8"	"13.218"	"23.644"	"25.549"	"25.738"	"22.854"	"11.689"	"7.467"	"7.507"
"1909"	"6.708"	"6.878"	"7.657"	"7.757"	"12.521"	"22.128"	"25.183"	"26.54"	"21.925"	"11.978"	"8.385"	"7.11"
"1910"	"7.18"	"7.399"	"7.437"	"7.797"	"13.218"	"22.269"	"26.683"	"27.194"	"22.869"	"11.482"	"7.225"	"7.534"
"1911"	"7.361"	"7.425"	"6.352"	"8.757"	"14.242"	"22.145"	"30.504"	"30.793"	"23.261"	"12.174"	"6.982"	"7.758"
"1912"	"7.728"	"7.646"	"7.207"	"8.805"	"13.911"	"24.439"	"27.901"	"27.121"	"22.869"	"12.003"	"7.467"	"7.758"
"1913"	"7.235"	"7.37"	"6.347"	"8.821"	"12.736"	"20.891"	"26.852"	"27.546"	"23.799"	"13.003"	"8.092"	"7.721"
"1914"	"8.075"	"7.129"	"6.954"	"8.189"	"14.848"	"22.348"	"26.812"	"27.102"	"22.864"	"11.572"	"8.092"	"7.15"
"1915"	"6.982"	"6.443"	"7.34"	"8.78"	"14.954"	"23.219"	"30.383"	"29.436"	"26.585"	"13"	"8.044"	"7.758"
"1916"	"7.674"	"6.826"	"8.598"	"8.911"	"13.297"	"21.82"	"27.401"	"27.142"	"22.864"	"11.592"	"6.866"	"7.158"
"1917"	"7.307"	"7.525"	"7.287"	"6.819"	"10.879"	"21.407"	"25.855"	"27.097"	"21.473"	"10.604"	"6.615"	"7.879"
"1918"	"6.728"	"7.399"	"7.343"	"7.398"	"13.93"	"22.139"	"31.182"	"29.614"	"23.371"	"12.003"	"8.11"	"7.15"
"1919"	"6.93"	"7.133"	"7.484"	"8.1"	"13.049"	"24.419"	"27.08"	"27.116"	"22.94"	"12.003"	"7.612"	"7.158"
"1920"	"7.161"	"7.242"	"7.437"	"8.127"	"10.742"	"20.11"	"27.1"	"28.178"	"25.577"	"13.003"	"8.156"	"7.572"
"1921"	"7.236"	"7.399"	"9.464"	"9.964"	"15.081"	"23.702"	"30.026"	"27.15"	"22.912"	"12.003"	"8.1"	"8.363"
"1922"	"7.055"	"7.822"	"7.541"	"8.804"	"13.261"	"22.31"	"27.752"	"27.176"	"22.866"	"12.003"	"8.091"	"7.758"
"1923"	"7.135"	"7.222"	"7.437"	"8.805"	"13.183"	"24.641"	"27.07"	"27.091"	"22.864"	"12.003"	"7.467"	"7.511"
"1924"	"6.824"	"7.39"	"8.083"	"8.784"	"11.424"	"23.949"	"28.206"	"27.173"	"21.973"	"11.418"	"7.746"	"7.758"
"1925"	"6.334"	"6.302"	"7.616"	"9.734"	"13.218"	"19.64"	"25.888"	"28.678"	"24.724"	"12.995"	"7.626"	"7.728"
"1926"	"7.156"	"8.302"	"7.01"	"7.247"	"12.176"	"24.491"	"28.657"	"27.121"	"22.864"	"11.496"	"6.848"	"7.184"
"1927"	"6.205"	"6.371"	"6.928"	"8.103"	"12.99"	"23.043"	"26.781"	"27.102"	"22.864"	"12.003"	"7.585"	"7.837"
"1928"	"7.084"	"7.399"	"7.437"	"8.773"	"14.315"	"22.315"	"28.525"	"28.43"	"23.646"	"12.003"	"8.088"	"7.47"
"1929"	"7.079"	"6.846"	"8.641"	"8.805"	"13.358"	"22.273"	"26.806"	"27.141"	"23.469"	"12.003"	"8.165"	"6.863"
"1930"	"6.833"	"7.403"	"7.445"	"8.095"	"13.218"	"22.245"	"25.156"	"27.145"	"24.533"	"12.011"	"7.416"	"7.409"
"1931"	"7.666"	"6.314"	"7.086"	"9.227"	"13.218"	"23.397"	"28.296"	"27.395"	"22.874"	"11.547"	"7.817"	"7.883"
"1932"	"8.925"	"7.248"	"7.437"	"8.556"	"12.849"	"24.27"	"26.926"	"27.168"	"23.892"	"12.003"	"7.53"	"7.758"
"1933"	"6.383"	"7.421"	"7.437"	"7.788"	"12.004"	"22.317"	"26.731"	"25.524"	"22.412"	"11.705"	"7.68"	"7.911"
"1934"	"6.261"	"7.888"	"6.958"	"8.804"	"13.132"	"22.309"	"26.806"	"27.157"	"23.056"	"11.226"	"7.643"	"7.932"
"1935"	"6.561"	"7.475"	"7.266"	"6.992"	"13.358"	"23.672"	"26.83"	"27.112"	"22.874"	"11.422"	"8.069"	"7.756"
"1936"	"6.649"	"7.321"	"6.888"	"8.082"	"15.29"	"20.544"	"26.849"	"27.139"	"22.766"	"11.848"	"8.092"	"7.853"
