
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.1289"	"1.0177"	"1.0251"	"0"	"1.3265"	"1.5099"	"7.9887"	"5.7818"	"0.6872"	"0.9854"	"0"	"1.0023"
"1902"	"0"	"0"	"0.3335"	"1.0279"	"1.0053"	"3.6348"	"6.0948"	"5.4321"	"3.4282"	"0.6944"	"0"	"0"
"1903"	"0.7712"	"0.0348"	"0.42"	"0"	"1.5168"	"1.0255"	"8.3654"	"6.8612"	"4.1021"	"1.0367"	"0"	"0.6011"
"1904"	"0.9734"	"0.9944"	"1.4673"	"0.2885"	"1.5359"	"2.7182"	"5.322"	"5.346"	"3.7167"	"1.0367"	"1"	"1.0053"
"1905"	"1.2625"	"1.1468"	"1.0289"	"1.0295"	"0.5298"	"1.5956"	"4.9066"	"1.1417"	"3.7818"	"0"	"0"	"0.4725"
"1906"	"0"	"2.1769"	"1.2033"	"0"	"0.9828"	"2.7607"	"6.5301"	"5.7911"	"5.1748"	"0"	"0"	"1.0023"
"1907"	"1.057"	"1.4249"	"1.0289"	"1.5995"	"1.0025"	"1.1006"	"4.8799"	"8.3375"	"0.6316"	"0"	"0"	"0"
"1908"	"1.2126"	"1.0177"	"0"	"1.0741"	"1.0013"	"1.6012"	"12.4401"	"9.7118"	"5.1932"	"0.143"	"0.9594"	"0.0323"
"1909"	"1.0322"	"1.0678"	"0"	"1.6523"	"1.1587"	"3.1685"	"10.759"	"6.3834"	"5.4796"	"0.213"	"0"	"1.0188"
"1910"	"1.0351"	"1.0177"	"0.2782"	"1.0397"	"0.3384"	"3.3653"	"6.109"	"8.2193"	"2.8861"	"1.0371"	"0"	"0"
"1911"	"1.2062"	"0"	"1.6563"	"0.584"	"0.2002"	"2.2961"	"2.8893"	"2.7451"	"5.065"	"1.0367"	"1"	"0.2379"
"1912"	"1.2124"	"1.0227"	"0.6942"	"1.5096"	"1"	"2.2957"	"7.4799"	"7.8935"	"3.1795"	"1.0367"	"1"	"0.1914"
"1913"	"0.2743"	"1.3746"	"1.0332"	"0.8978"	"2.0352"	"3.1644"	"5.3983"	"4.1644"	"2.8448"	"0"	"0.7228"	"1.0058"
"1914"	"0.7807"	"1.0177"	"0.5104"	"1.2787"	"1.4278"	"3.5723"	"6.9748"	"5.4314"	"4.5044"	"1.0446"	"1"	"0"
"1915"	"1.1174"	"1.7597"	"1.8054"	"1.3706"	"0.4119"	"1.8151"	"5.1342"	"3.4213"	"2.2596"	"1.3736"	"0"	"0"
"1916"	"0.1459"	"1.2229"	"0.5104"	"1.0821"	"2.1302"	"3.0505"	"6.6177"	"9.4673"	"4.3401"	"1.0888"	"0"	"0"
"1917"	"1.0326"	"1.0177"	"1.0175"	"1.8677"	"3.2266"	"5.0503"	"9.1749"	"10.3442"	"6.5408"	"1.5076"	"0"	"1.0024"
"1918"	"1.0034"	"0"	"1.0329"	"1.0995"	"1.017"	"1.6387"	"1.8569"	"5.0575"	"1.0395"	"0"	"0"	"0.6482"
