
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.518"	"18.41"	"26.042"	"30.054"	"33.318"	"33.499"	"30.806"	"28.514"	"29.106"	"28.664"	"23.738"	"20.425"
"1902"	"19.224"	"21.008"	"27.369"	"31.219"	"32.825"	"32.18"	"31.189"	"29.742"	"28.638"	"28.245"	"23.428"	"18.925"
"1903"	"17.836"	"19.12"	"23.22"	"28.493"	"32.732"	"33.466"	"30.629"	"28.611"	"29.027"	"27.861"	"21.405"	"18.198"
"1904"	"17.829"	"20.708"	"24.214"	"30.472"	"32.725"	"32.099"	"29.1"	"28.513"	"29.017"	"27.969"	"23.213"	"19.171"
"1905"	"16.439"	"15.995"	"22.631"	"28.081"	"34.123"	"32.378"	"29.805"	"29.395"	"29.338"	"28.545"	"24.433"	"19.321"
"1906"	"16.516"	"18.091"	"23.622"	"29.012"	"33.402"	"32.048"	"29.816"	"28.717"	"27.925"	"27.782"	"23.74"	"19.608"
"1907"	"19.247"	"19.516"	"24.353"	"29.177"	"31.419"	"32.287"	"31.518"	"27.031"	"27.537"	"27.02"	"23.847"	"18.224"
"1908"	"17.85"	"19.71"	"24.016"	"30.039"	"32.237"	"32.567"	"28.204"	"27.088"	"27.41"	"26.927"	"22.044"	"17.874"
"1909"	"17.014"	"19.474"	"25.244"	"28.81"	"31.498"	"32.087"	"28.369"	"26.917"	"26.909"	"26.647"	"22.607"	"17.814"
"1910"	"17.437"	"20.376"	"24.836"	"28.559"	"31.92"	"31.8"	"28.267"	"27.525"	"28.337"	"26.455"	"21.345"	"18.214"
"1911"	"18.42"	"20.281"	"23.218"	"28.894"	"33.105"	"31.413"	"30.396"	"28.642"	"28.129"	"27.556"	"21.815"	"19.693"
"1912"	"19.146"	"21.714"	"24.442"	"30.055"	"33.153"	"33.107"	"29.523"	"27.729"	"27.413"	"27.252"	"21.9"	"18.716"
"1913"	"18.174"	"19.995"	"22.747"	"30.399"	"32.024"	"32.111"	"29.324"	"27.687"	"27.896"	"27.979"	"23.101"	"18.591"
"1914"	"19.55"	"19.365"	"24.135"	"29.774"	"33.735"	"32.066"	"29.3"	"28.01"	"28.827"	"27.93"	"24.398"	"17.991"
"1915"	"17.528"	"18.996"	"25.641"	"29.192"	"33.025"	"33.283"	"30.819"	"29.32"	"30.241"	"28.883"	"23.524"	"19.573"
"1916"	"19.146"	"18.892"	"26.732"	"30.101"	"32.53"	"31.515"	"30.428"	"28.112"	"28.317"	"26.626"	"21.119"	"18.101"
"1917"	"18.932"	"20.589"	"24.758"	"27.881"	"30.629"	"30.953"	"28.191"	"27.425"	"27.128"	"25.752"	"21.824"	"18.118"
"1918"	"16.845"	"20.425"	"24.641"	"27.962"	"32.544"	"31.385"	"30.086"	"28.921"	"28.034"	"27.333"	"23.837"	"18.094"
"1919"	"17.731"	"19.973"	"24.858"	"28.878"	"32.548"	"32.405"	"29.138"	"27.7"	"27.539"	"27.149"	"23.21"	"18.411"
"1920"	"18.535"	"19.705"	"25.637"	"29.288"	"30.409"	"30.455"	"28.521"	"27.605"	"29.427"	"28.447"	"23.925"	"18.507"
"1921"	"18.548"	"20.184"	"26.844"	"31.172"	"32.934"	"32.967"	"30.702"	"28.087"	"27.927"	"27.367"	"23.128"	"20.007"
"1922"	"17.344"	"21.412"	"25.525"	"30.618"	"32.319"	"32.31"	"29.808"	"27.923"	"27.645"	"27.03"	"22.838"	"18.377"
"1923"	"18.343"	"19.307"	"26.042"	"29.694"	"31.826"	"32.683"	"29.606"	"27.298"	"28.647"	"26.847"	"21.835"	"18.981"
"1924"	"17.539"	"20.498"	"27.017"	"30.367"	"31.614"	"32.895"	"30.332"	"28.516"	"27.515"	"26.428"	"21.349"	"18.872"
"1925"	"15.854"	"18.209"	"26.068"	"31.679"	"32.561"	"31.377"	"28.675"	"29.028"	"29.254"	"29.248"	"23.444"	"19.598"
"1926"	"18.549"	"22.526"	"24.942"	"27.685"	"31.596"	"33.66"	"30.1"	"28.308"	"27.536"	"26.628"	"21.224"	"18.198"
"1927"	"16.14"	"18.69"	"23.666"	"28.678"	"31.725"	"32.413"	"28.718"	"26.98"	"27.906"	"27.163"	"21.418"	"19.197"
"1928"	"17.845"	"20.329"	"25.565"	"29.809"	"32.641"	"32.088"	"29.536"	"27.917"	"27.416"	"27.156"	"22.826"	"17.899"
"1929"	"17.072"	"19.285"	"26.657"	"30.373"	"33.022"	"32.373"	"29.276"	"27.312"	"28.127"	"27.137"	"24.025"	"17.187"
"1930"	"17.526"	"19.702"	"25.26"	"29.111"	"32.591"	"32.386"	"28.227"	"27.61"	"29.768"	"28.546"	"22.502"	"19.398"
