
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"11.462"	"11.09"	"21.324"	"18.929"	"18.802"	"36.238"	"65.625"	"64.768"	"40.853"	"13.556"	"9.746"	"9.875"
"1902"	"11.462"	"11.368"	"21.47"	"18.929"	"18.76"	"36.503"	"65.037"	"65.003"	"40.359"	"13.599"	"9.746"	"9.875"
"1903"	"11.462"	"11.368"	"21.47"	"18.929"	"18.73"	"36.315"	"65.037"	"65.037"	"40.853"	"13.531"	"9.746"	"9.875"
"1904"	"11.462"	"11.368"	"21.532"	"19.061"	"18.737"	"36.238"	"65.43"	"65.003"	"40.853"	"13.599"	"9.672"	"9.875"
"1905"	"11.462"	"11.368"	"21.47"	"18.929"	"18.802"	"36.238"	"65.116"	"65.037"	"40.853"	"13.599"	"9.746"	"9.875"
"1906"	"11.462"	"11.368"	"21.47"	"18.929"	"18.802"	"36.637"	"65.037"	"64.872"	"40.853"	"13.531"	"9.746"	"9.875"
"1907"	"11.462"	"11.392"	"21.47"	"18.929"	"18.802"	"36.315"	"65.363"	"65.037"	"40.853"	"13.781"	"10.051"	"9.875"
"1908"	"11.462"	"11.368"	"21.629"	"18.963"	"18.883"	"36.298"	"65.037"	"65.037"	"40.853"	"13.599"	"9.746"	"9.875"
"1909"	"11.462"	"11.368"	"21.47"	"18.929"	"18.793"	"36.12"	"65.037"	"65.003"	"40.853"	"13.531"	"9.746"	"9.875"
"1910"	"11.462"	"11.368"	"21.47"	"18.929"	"19.189"	"36.238"	"65.835"	"64.872"	"40.853"	"13.599"	"9.746"	"9.875"
"1911"	"11.462"	"11.368"	"21.47"	"18.929"	"18.802"	"36.238"	"64.859"	"64.992"	"40.853"	"13.599"	"9.463"	"9.875"
"1912"	"11.462"	"11.368"	"21.436"	"18.766"	"18.802"	"36.238"	"64.826"	"64.742"	"40.346"	"13.599"	"9.352"	"9.875"
"1913"	"11.462"	"11.368"	"21.47"	"18.929"	"18.687"	"35.828"	"65.404"	"65.037"	"40.426"	"13.601"	"9.746"	"9.875"
"1914"	"11.462"	"11.368"	"21.263"	"18.895"	"18.793"	"35.908"	"65.131"	"65.037"	"40.247"	"13.531"	"9.748"	"9.872"
"1915"	"11.462"	"11.368"	"21.034"	"18.929"	"18.321"	"36.235"	"65.031"	"64.444"	"40.786"	"13.531"	"9.738"	"9.875"
"1916"	"11.479"	"11.368"	"21.47"	"18.929"	"18.802"	"36.489"	"64.862"	"65.037"	"40.853"	"13.258"	"9.746"	"9.875"
"1917"	"11.445"	"11.334"	"21.433"	"19.407"	"18.097"	"35.844"	"64.532"	"64.982"	"40.786"	"13.599"	"9.696"	"9.875"
"1918"	"11.462"	"11.368"	"21.47"	"18.929"	"18.495"	"36.803"	"65.506"	"65.003"	"40.518"	"13.599"	"9.746"	"9.872"
"1919"	"11.462"	"11.368"	"21.47"	"18.885"	"18.802"	"36.238"	"65.037"	"65.037"	"40.346"	"13.055"	"9.056"	"9.875"
"1920"	"11.505"	"11.368"	"21.47"	"18.929"	"18.802"	"36.238"	"65.037"	"64.642"	"40.853"	"13.514"	"9.68"	"9.875"
"1921"	"11.462"	"11.368"	"21.47"	"18.929"	"18.802"	"36.22"	"64.966"	"64.769"	"40.853"	"13.497"	"9.746"	"9.875"
"1922"	"11.462"	"11.368"	"21.47"	"18.929"	"18.802"	"36.288"	"65.037"	"65.037"	"40.853"	"13.599"	"9.696"	"9.875"
"1923"	"11.462"	"11.368"	"21.47"	"18.929"	"18.76"	"36.625"	"65.811"	"65.037"	"40.853"	"13.587"	"8.938"	"9.875"
"1924"	"11.194"	"11.362"	"21.47"	"18.929"	"18.802"	"36.238"	"65.037"	"65.037"	"40.853"	"13.531"	"9.466"	"9.875"
"1925"	"11.462"	"10.951"	"20.849"	"18.742"	"18.695"	"36.803"	"65.037"	"64.444"	"40.494"	"13.599"	"9.419"	"9.273"
"1926"	"11.445"	"11.368"	"21.346"	"19.245"	"18.707"	"36.238"	"65.037"	"65.009"	"40.853"	"13.344"	"9.746"	"9.875"
"1927"	"11.462"	"11.368"	"21.346"	"18.929"	"18.802"	"36.298"	"65.037"	"64.768"	"40.689"	"13.599"	"9.746"	"9.875"
"1928"	"11.462"	"11.368"	"21.631"	"18.929"	"18.802"	"36.238"	"65.216"	"65.037"	"40.801"	"13.599"	"9.746"	"9.872"
"1929"	"11.462"	"11.368"	"21.47"	"18.246"	"18.802"	"36.238"	"65.415"	"65.037"	"40.853"	"13.326"	"9.746"	"10.218"
"1930"	"11.462"	"11.368"	"21.319"	"19.317"	"18.802"	"36.722"	"65.243"	"65.074"	"41.046"	"13.878"	"9.23"	"9.875"
"1931"	"10.98"	"18.808"	"20.632"	"15.09"	"15.611"	"26.654"	"60.866"	"62.659"	"36.787"	"16.307"	"3.003"	"8.382"
"1932"	"9.735"	"9.907"	"25.036"	"18.484"	"15.092"	"35.217"	"61.733"	"68.345"	"37.281"	"6.151"	"0"	"7.999"
"1933"	"10.9"	"14.426"	"21.612"	"22.624"	"26.048"	"37.091"	"66.199"	"70.378"	"44.579"	"12.618"	"6.046"	"8.289"
