
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1902"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1903"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1904"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1905"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1906"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1907"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1908"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1909"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1910"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1911"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1912"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1913"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1914"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.122"	"16.883"
"1915"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1916"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.348"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1917"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1918"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1919"	"17.268"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1920"	"16.929"	"17.12"	"17.182"	"16.376"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1921"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.651"	"16.754"	"16.883"
"1922"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.651"	"16.754"	"16.883"
"1923"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1924"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1925"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1926"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1927"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1928"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1929"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1930"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1931"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.223"	"15.635"	"16.754"	"16.883"
"1932"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1933"	"16.929"	"17.094"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.654"	"16.883"
"1934"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1935"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.379"	"15.635"	"16.754"	"16.883"
"1936"	"16.929"	"17.634"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1937"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1938"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1939"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1940"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1941"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1942"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1943"	"16.929"	"17.12"	"17.182"	"16.381"	"15.147"	"11.728"	"8.268"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1944"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.929"
"1945"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1946"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1947"	"16.929"	"17.12"	"17.206"	"16.381"	"15.161"	"11.744"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1948"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1949"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.497"	"15.635"	"16.754"	"16.883"
"1950"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1951"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.452"	"10.206"	"15.635"	"16.754"	"16.883"
"1952"	"16.841"	"17.12"	"17.182"	"16.381"	"15.352"	"11.805"	"8.242"	"7.353"	"10.206"	"16.639"	"16.754"	"17.321"
"1953"	"16.929"	"17.12"	"17.182"	"16.458"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.554"	"16.883"
"1954"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.229"	"10.393"	"15.536"	"16.648"	"16.883"
"1955"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1956"	"16.929"	"17.12"	"17.182"	"16.079"	"15.161"	"11.728"	"8.342"	"7.353"	"10.206"	"15.537"	"16.754"	"16.883"
"1957"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.138"	"10.206"	"15.635"	"16.844"	"16.883"
"1958"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1959"	"16.94"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1960"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.74"	"16.883"
"1961"	"16.929"	"16.893"	"17.171"	"16.381"	"14.884"	"11.728"	"8.04"	"7.265"	"10.206"	"15.635"	"16.754"	"16.883"
"1962"	"16.929"	"17.001"	"17.65"	"16.33"	"15.161"	"11.728"	"8.242"	"7.353"	"10.114"	"15.557"	"16.754"	"16.867"
"1963"	"17.346"	"17.246"	"17.057"	"16.348"	"14.574"	"11.728"	"8.161"	"7.231"	"10.206"	"15.546"	"16.434"	"17.123"
"1964"	"16.401"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.032"	"7.37"	"10.042"	"15.635"	"16.754"	"16.83"
"1965"	"16.922"	"17.12"	"17.157"	"16.381"	"14.972"	"11.728"	"8.144"	"7.353"	"10.206"	"15.514"	"16.656"	"16.883"
"1966"	"16.929"	"17.221"	"17.079"	"16.157"	"15.161"	"11.781"	"8.242"	"7.37"	"10.206"	"15.723"	"16.754"	"17.463"
"1967"	"17.112"	"16.944"	"17.182"	"16.381"	"15.164"	"11.639"	"8.532"	"7.336"	"10.206"	"15.431"	"16.754"	"16.883"
"1968"	"17.14"	"16.531"	"17.353"	"16.381"	"14.995"	"11.457"	"8.242"	"7.712"	"10.866"	"15.635"	"16.644"	"16.957"
"1969"	"16.929"	"17.12"	"17.182"	"16.204"	"15.161"	"11.802"	"7.963"	"7.353"	"10.206"	"15.635"	"16.605"	"16.883"
"1970"	"16.929"	"17.12"	"17.182"	"16.384"	"15.251"	"11.744"	"8.456"	"7.432"	"10.046"	"15.742"	"17.533"	"16.883"
"1971"	"16.981"	"17.237"	"17.182"	"16.381"	"15.082"	"11.916"	"8.054"	"7.353"	"11.098"	"15.834"	"16.869"	"16.92"
"1972"	"16.929"	"17.12"	"17.265"	"16.381"	"15.072"	"11.728"	"8.471"	"7.353"	"10.109"	"15.554"	"16.751"	"16.553"
"1973"	"15.906"	"17.12"	"17.094"	"16.696"	"15.44"	"11.728"	"8.342"	"7.275"	"10.206"	"15.635"	"17.132"	"17.469"
"1974"	"16.606"	"17.106"	"17.272"	"16.357"	"16.151"	"11.728"	"8.242"	"7.468"	"10.47"	"15.635"	"17.171"	"16.883"
"1975"	"16.929"	"17.244"	"17.18"	"16.204"	"15.278"	"11.728"	"8.331"	"7.372"	"9.735"	"15.959"	"17.031"	"16.883"
"1976"	"17.111"	"17.032"	"17.182"	"16.57"	"15.161"	"11.728"	"8.242"	"7.327"	"10.208"	"15.635"	"16.754"	"16.883"
"1977"	"16.913"	"17.536"	"17.202"	"16.381"	"15.161"	"11.716"	"8.242"	"7.353"	"10.206"	"15.635"	"16.754"	"16.942"
"1978"	"16.94"	"17.12"	"17.398"	"16.381"	"15.265"	"12.052"	"8.228"	"7.353"	"10.206"	"15.834"	"16.515"	"16.945"
"1979"	"16.94"	"17.117"	"17.154"	"16.381"	"15.144"	"11.728"	"8.242"	"7.353"	"10.206"	"15.635"	"16.841"	"16.883"
"1980"	"16.929"	"17.002"	"17.056"	"16.381"	"15.161"	"11.51"	"8.255"	"7.327"	"10.126"	"15.635"	"16.945"	"16.883"
"1981"	"16.752"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.554"	"7.353"	"10.206"	"15.912"	"16.716"	"16.883"
"1982"	"16.939"	"16.602"	"16.982"	"16.376"	"15.087"	"11.869"	"8.242"	"7.353"	"10.472"	"15.635"	"15.861"	"16.883"
"1983"	"16.861"	"17.12"	"16.982"	"16.466"	"15.158"	"11.747"	"8.431"	"7.353"	"10.206"	"15.635"	"16.754"	"16.883"
"1984"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.316"	"7.353"	"10.206"	"15.746"	"16.437"	"15.565"
"1985"	"16.651"	"18.044"	"17.053"	"16.381"	"15.161"	"11.62"	"8.242"	"7.143"	"10.206"	"15.436"	"16.754"	"16.883"
"1986"	"16.929"	"17.12"	"17.182"	"16.381"	"15.161"	"11.728"	"8.242"	"7.353"	"10.126"	"15.509"	"16.637"	"16.883"
"1987"	"17.879"	"17.136"	"17.094"	"16.082"	"14.76"	"11.728"	"8.117"	"7.353"	"9.827"	"15.408"	"17.546"	"16.917"
"1988"	"16.94"	"17.12"	"16.981"	"16.584"	"15.161"	"11.728"	"8.242"	"7.353"	"10.014"	"15.635"	"16.832"	"16.883"
"1989"	"16.929"	"16.939"	"17.769"	"16.86"	"15.149"	"11.728"	"8.342"	"7.353"	"10.206"	"15.635"	"16.364"	"16.945"
"1990"	"16.929"	"16.993"	"17.073"	"16.193"	"15.161"	"11.728"	"8.16"	"7.353"	"9.7"	"15.635"	"16.754"	"16.883"
