
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.003"	"27.006"	"34.638"	"38.252"	"40.935"	"39.383"	"34.973"	"32.191"	"34.234"	"36.49"	"32.1"	"28.873"
"1902"	"27.722"	"29.604"	"35.956"	"39.417"	"40.443"	"38.065"	"35.356"	"33.43"	"33.768"	"36.071"	"31.855"	"27.373"
"1903"	"26.335"	"27.731"	"31.817"	"36.692"	"40.349"	"39.342"	"34.795"	"32.287"	"34.157"	"35.69"	"29.83"	"26.646"
"1904"	"26.326"	"29.315"	"32.809"	"38.669"	"40.342"	"37.982"	"33.268"	"32.2"	"34.146"	"35.795"	"31.586"	"27.621"
"1905"	"24.938"	"24.606"	"31.225"	"36.279"	"41.73"	"38.263"	"33.971"	"33.083"	"34.467"	"36.374"	"32.858"	"27.77"
"1906"	"25.001"	"26.685"	"32.219"	"37.209"	"41.018"	"37.922"	"33.983"	"32.404"	"33.051"	"35.608"	"32.103"	"28.056"
"1907"	"27.747"	"28.111"	"32.949"	"37.376"	"39.037"	"38.172"	"35.684"	"30.719"	"32.666"	"34.85"	"32.272"	"26.671"
"1908"	"26.347"	"28.321"	"32.613"	"38.239"	"39.853"	"38.451"	"32.37"	"30.778"	"32.54"	"34.757"	"30.468"	"26.323"
"1909"	"25.513"	"28.084"	"33.838"	"37.007"	"39.116"	"37.97"	"32.536"	"30.605"	"32.036"	"34.478"	"31.034"	"26.251"
"1910"	"25.938"	"28.986"	"33.431"	"36.756"	"39.537"	"37.659"	"32.434"	"31.215"	"33.467"	"34.273"	"29.77"	"26.663"
"1911"	"26.917"	"28.89"	"31.816"	"37.093"	"40.724"	"37.287"	"34.554"	"32.318"	"33.258"	"35.385"	"30.243"	"28.143"
"1912"	"27.645"	"30.325"	"33.035"	"38.256"	"40.771"	"38.981"	"33.689"	"31.417"	"32.543"	"35.081"	"30.326"	"27.163"
"1913"	"26.673"	"28.592"	"31.342"	"38.598"	"39.642"	"37.994"	"33.49"	"31.377"	"33.023"	"35.806"	"31.527"	"27.038"
"1914"	"28.049"	"27.975"	"32.73"	"37.969"	"41.349"	"37.94"	"33.467"	"31.696"	"33.957"	"35.748"	"32.502"	"26.44"
"1915"	"26.028"	"27.593"	"34.238"	"37.39"	"40.645"	"39.145"	"34.972"	"33.011"	"35.37"	"36.71"	"31.952"	"28.022"
"1916"	"27.647"	"27.5"	"35.327"	"38.301"	"40.148"	"37.39"	"34.611"	"31.788"	"33.446"	"34.455"	"29.545"	"26.55"
"1917"	"27.433"	"29.199"	"33.353"	"36.078"	"38.248"	"36.83"	"32.358"	"31.113"	"32.259"	"33.58"	"30.251"	"26.568"
"1918"	"25.292"	"29.021"	"33.237"	"36.158"	"40.161"	"37.245"	"34.25"	"32.61"	"33.163"	"35.163"	"32.265"	"26.544"
"1919"	"26.376"	"28.571"	"33.454"	"37.074"	"40.165"	"38.28"	"33.296"	"31.379"	"32.667"	"34.978"	"31.583"	"26.846"
"1920"	"27.029"	"28.316"	"34.232"	"37.484"	"38.028"	"36.342"	"32.687"	"31.284"	"34.557"	"36.264"	"32.351"	"26.953"
"1921"	"27.044"	"28.794"	"35.43"	"39.371"	"40.55"	"38.842"	"34.868"	"31.763"	"33.056"	"35.197"	"31.551"	"28.458"
"1922"	"25.843"	"30.009"	"34.122"	"38.818"	"39.937"	"38.182"	"33.974"	"31.611"	"32.773"	"34.872"	"31.266"	"26.823"
"1923"	"26.84"	"27.917"	"34.638"	"37.89"	"39.442"	"38.568"	"33.773"	"30.984"	"33.778"	"34.677"	"30.261"	"27.432"
"1924"	"26.039"	"29.095"	"35.615"	"38.564"	"39.232"	"38.756"	"34.497"	"32.203"	"32.643"	"34.243"	"29.774"	"27.322"
"1925"	"24.3"	"26.815"	"34.664"	"39.874"	"40.178"	"37.237"	"32.831"	"32.716"	"34.385"	"37.078"	"31.871"	"28.046"
"1926"	"27.045"	"31.136"	"33.537"	"35.884"	"39.214"	"39.538"	"34.266"	"31.995"	"32.665"	"34.458"	"29.597"	"26.647"
"1927"	"24.639"	"27.302"	"32.263"	"36.874"	"39.344"	"38.287"	"32.875"	"30.667"	"33.035"	"34.993"	"29.843"	"27.646"
"1928"	"26.343"	"28.926"	"34.162"	"38.004"	"40.26"	"37.97"	"33.702"	"31.603"	"32.546"	"34.983"	"31.252"	"26.347"
"1929"	"25.57"	"27.896"	"35.253"	"38.571"	"40.637"	"38.244"	"33.443"	"30.999"	"33.254"	"34.967"	"32.451"	"25.638"
"1930"	"26.027"	"28.313"	"33.854"	"37.311"	"40.209"	"38.247"	"32.393"	"31.29"	"34.897"	"36.373"	"30.929"	"27.846"
"1931"	"27.646"	"27.262"	"33.335"	"38.986"	"40.443"	"39.474"	"34.58"	"32.023"	"33.373"	"34.583"	"31.35"	"27.857"
"1932"	"28.861"	"28.83"	"34.133"	"37.607"	"40.181"	"37.662"	"33.587"	"31.1"	"33.838"	"36.169"	"30.846"	"28.131"
"1933"	"25.917"	"29.09"	"33.631"	"37.275"	"38.939"	"37.56"	"33.268"	"30.388"	"32.833"	"35.192"	"31.37"	"27.359"
"1934"	"24.25"	"29.839"	"32.94"	"38.09"	"39.943"	"38.287"	"33.076"	"31.371"	"32.751"	"34.504"	"30.95"	"28.272"
"1935"	"24.448"	"28.811"	"33.512"	"35.982"	"40.008"	"38.972"	"32.968"	"31.388"	"32.83"	"34.903"	"31.579"	"27.837"
"1936"	"25.544"	"29.325"	"32.915"	"37.419"	"41.229"	"36.859"	"33.437"	"31.998"	"33.558"	"35.606"	"31.777"	"27.146"
"1937"	"25.938"	"29.306"	"32.615"	"37.484"	"40.008"	"38.694"	"32.783"	"31.904"	"33.645"	"34.896"	"31.931"	"26.434"
"1938"	"26.04"	"27.519"	"34.924"	"38.596"	"40.519"	"37.103"	"33.276"	"32.024"	"34.148"	"35.987"	"30.251"	"27.756"
"1939"	"27.268"	"29.216"	"31.813"	"36.395"	"39.643"	"37.666"	"33.88"	"33.012"	"33.547"	"35.791"	"31.824"	"28.861"
"1940"	"27.648"	"29.293"	"32.139"	"37.078"	"40.838"	"38.162"	"33.976"	"31.622"	"33.17"	"35.887"	"32.244"	"27.055"
"1941"	"25.865"	"30.412"	"34.868"	"38.715"	"40.37"	"38.256"	"32.625"	"32.008"	"33.794"	"37.144"	"31.792"	"28.641"
"1942"	"25.925"	"29.321"	"34.66"	"39.205"	"39.642"	"39.171"	"32.932"	"31.18"	"32.85"	"35.216"	"31.48"	"26.258"
"1943"	"25.843"	"29.304"	"34.437"	"37.379"	"41.329"	"37.392"	"32.682"	"30.899"	"32.547"	"34.72"	"31.477"	"28.456"
"1944"	"26.322"	"28.413"	"33.131"	"36.984"	"40.241"	"37.91"	"32.656"	"30.873"	"33.158"	"34.676"	"31.581"	"28.123"
"1945"	"24.289"	"28.229"	"34.321"	"37.01"	"39.255"	"37.982"	"32.08"	"31.505"	"32.657"	"34.57"	"30.369"	"26.045"
"1946"	"26.348"	"30.309"	"33.131"	"39.316"	"39.46"	"37.797"	"33.051"	"30.436"	"32.56"	"35.571"	"29.849"	"26.623"
"1947"	"25.644"	"29.285"	"34.146"	"37.735"	"40.477"	"38.408"	"34.168"	"32.715"	"32.34"	"33.306"	"31.464"	"27.255"
"1948"	"25.632"	"28.371"	"34.206"	"38.604"	"41.052"	"38.74"	"34.738"	"31.519"	"33.701"	"36.169"	"31.401"	"28.036"
"1949"	"28.239"	"29.195"	"34.697"	"39.386"	"41.538"	"38.161"	"33.552"	"31.716"	"34.41"	"35.434"	"30.555"	"26.734"
"1950"	"26.943"	"26.407"	"33.324"	"37.642"	"40.243"	"38.078"	"32.086"	"31.079"	"32.869"	"35.856"	"30.362"	"26.494"
"1951"	"25.526"	"28.395"	"33.738"	"36.295"	"39.933"	"38.041"	"34.879"	"31.587"	"34.863"	"37.972"	"32.95"	"28.022"
"1952"	"27.462"	"30.388"	"33.944"	"38.995"	"41.048"	"38.195"	"32.866"	"30.788"	"33.044"	"36.354"	"31.087"	"27.996"
"1953"	"26.215"	"31.485"	"36.238"	"38.375"	"39.447"	"38.343"	"33.583"	"30.752"	"32.852"	"34.776"	"30.973"	"28.986"
