
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.02"	"9.877"	"17.445"	"21.869"	"25.773"	"27.659"	"26.73"	"24.83"	"24.031"	"20.855"	"15.347"	"11.988"
"1902"	"10.78"	"12.419"	"18.775"	"23.035"	"25.283"	"26.322"	"27.101"	"26.076"	"23.563"	"20.429"	"15.076"	"10.485"
"1903"	"9.352"	"10.588"	"14.633"	"20.309"	"25.19"	"27.616"	"26.541"	"24.937"	"23.952"	"20.051"	"13.077"	"9.748"
"1904"	"9.329"	"12.132"	"15.626"	"22.276"	"25.182"	"26.23"	"25.026"	"24.837"	"23.941"	"20.158"	"14.822"	"10.725"
"1905"	"8.007"	"7.423"	"14.045"	"19.895"	"26.568"	"26.536"	"25.727"	"25.73"	"24.263"	"20.735"	"16.09"	"10.883"
"1906"	"8.018"	"9.545"	"15.035"	"20.829"	"25.847"	"26.18"	"25.74"	"25.051"	"22.846"	"19.972"	"15.349"	"11.169"
"1907"	"10.818"	"10.93"	"15.767"	"20.986"	"23.876"	"26.445"	"27.442"	"23.364"	"22.46"	"19.202"	"15.51"	"9.774"
"1908"	"9.364"	"11.137"	"15.43"	"21.854"	"24.693"	"26.711"	"24.127"	"23.423"	"22.334"	"19.121"	"13.714"	"9.433"
"1909"	"8.53"	"10.91"	"16.647"	"20.624"	"23.954"	"26.218"	"24.294"	"23.241"	"21.833"	"18.839"	"14.247"	"9.363"
"1910"	"9.01"	"11.865"	"16.249"	"20.375"	"24.368"	"25.932"	"24.192"	"23.85"	"23.262"	"18.637"	"13.017"	"9.777"
"1911"	"9.987"	"11.718"	"14.632"	"20.701"	"25.563"	"25.55"	"26.311"	"24.966"	"23.052"	"19.736"	"13.475"	"11.258"
"1912"	"10.701"	"13.202"	"15.853"	"21.871"	"25.609"	"27.231"	"25.447"	"24.053"	"22.337"	"19.443"	"13.561"	"10.266"
"1913"	"9.744"	"11.409"	"14.158"	"22.211"	"24.472"	"26.256"	"25.248"	"24.023"	"22.82"	"20.173"	"14.748"	"10.142"
"1914"	"11.052"	"10.832"	"15.547"	"21.588"	"26.188"	"26.198"	"25.224"	"24.334"	"23.754"	"20.11"	"16.326"	"9.551"
"1915"	"9.045"	"10.408"	"17.046"	"21.009"	"25.48"	"27.418"	"26.72"	"25.645"	"25.164"	"21.064"	"15.184"	"11.135"
"1916"	"10.702"	"10.368"	"18.137"	"21.913"	"24.989"	"25.661"	"26.259"	"24.435"	"23.241"	"18.82"	"12.767"	"9.651"
"1917"	"10.503"	"12.046"	"16.17"	"19.693"	"23.086"	"25.077"	"24.101"	"23.76"	"22.052"	"17.931"	"13.487"	"9.671"
"1918"	"8.362"	"11.889"	"16.054"	"19.775"	"25.002"	"25.519"	"25.999"	"25.247"	"22.956"	"19.524"	"15.51"	"9.646"
"1919"	"9.097"	"11.389"	"16.262"	"20.692"	"25.006"	"26.527"	"25.054"	"24.024"	"22.461"	"19.34"	"14.819"	"9.961"
"1920"	"10.048"	"11.118"	"17.04"	"21.096"	"22.866"	"24.579"	"24.443"	"23.93"	"24.352"	"20.617"	"15.587"	"10.067"
"1921"	"10.06"	"11.598"	"18.246"	"22.989"	"25.39"	"27.105"	"26.625"	"24.41"	"22.85"	"19.544"	"14.799"	"11.57"
"1922"	"8.862"	"12.889"	"16.929"	"22.434"	"24.777"	"26.453"	"25.73"	"24.249"	"22.567"	"19.22"	"14.503"	"9.938"
