
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.53"	"6.18"	"7.45"	"8.57"	"9.05"	"8.15"	"6.4"	"5.67"	"6.37"	"7.27"	"6.44"	"5.71"
"1902"	"5.7"	"6.4"	"7.56"	"8.67"	"9.12"	"8.08"	"6.37"	"5.72"	"6.4"	"7.24"	"6.44"	"5.66"
"1903"	"5.62"	"6.35"	"7.33"	"8.42"	"8.99"	"8.13"	"6.4"	"5.67"	"6.39"	"7.3"	"6.35"	"5.55"
"1904"	"5.57"	"6.42"	"7.39"	"8.55"	"9.1"	"8.13"	"6.3"	"5.61"	"6.38"	"7.26"	"6.43"	"5.69"
"1905"	"5.6"	"6.08"	"7.21"	"8.34"	"9.06"	"8.15"	"6.31"	"5.65"	"6.4"	"7.24"	"6.5"	"5.73"
"1906"	"5.57"	"6.23"	"7.32"	"8.44"	"9.07"	"8.11"	"6.32"	"5.68"	"6.36"	"7.19"	"6.43"	"5.66"
"1907"	"5.71"	"6.38"	"7.41"	"8.53"	"8.99"	"8.02"	"6.43"	"5.65"	"6.32"	"7.15"	"6.44"	"5.62"
"1908"	"5.59"	"6.37"	"7.35"	"8.54"	"9.03"	"8.15"	"6.31"	"5.57"	"6.32"	"7.19"	"6.37"	"5.55"
"1909"	"5.53"	"6.28"	"7.47"	"8.53"	"8.99"	"8.12"	"6.31"	"5.58"	"6.29"	"7.16"	"6.39"	"5.56"
"1910"	"5.53"	"6.37"	"7.46"	"8.49"	"8.99"	"8.11"	"6.27"	"5.57"	"6.38"	"7.22"	"6.31"	"5.53"
"1911"	"5.61"	"6.44"	"7.34"	"8.42"	"9.08"	"8.08"	"6.32"	"5.68"	"6.37"	"7.26"	"6.33"	"5.64"
"1912"	"5.67"	"6.5"	"7.44"	"8.53"	"9.06"	"8.18"	"6.36"	"5.63"	"6.33"	"7.21"	"6.36"	"5.59"
"1913"	"5.63"	"6.43"	"7.26"	"8.53"	"9.05"	"8.12"	"6.32"	"5.6"	"6.33"	"7.23"	"6.43"	"5.58"
"1914"	"5.71"	"6.37"	"7.36"	"8.48"	"9.12"	"8.15"	"6.31"	"5.61"	"6.38"	"7.22"	"6.42"	"5.62"
"1915"	"5.59"	"6.26"	"7.48"	"8.53"	"9.02"	"8.13"	"6.38"	"5.68"	"6.43"	"7.32"	"6.44"	"5.66"
"1916"	"5.72"	"6.26"	"7.5"	"8.62"	"9.09"	"8.05"	"6.4"	"5.65"	"6.38"	"7.23"	"6.3"	"5.51"
"1917"	"5.65"	"6.45"	"7.48"	"8.47"	"8.96"	"8.05"	"6.28"	"5.59"	"6.33"	"7.13"	"6.32"	"5.57"
"1918"	"5.49"	"6.37"	"7.46"	"8.43"	"9.02"	"8.05"	"6.31"	"5.69"	"6.38"	"7.18"	"6.47"	"5.62"
"1919"	"5.6"	"6.37"	"7.45"	"8.49"	"9.02"	"8.12"	"6.33"	"5.6"	"6.33"	"7.18"	"6.44"	"5.6"
"1920"	"5.66"	"6.36"	"7.48"	"8.61"	"8.99"	"8.01"	"6.25"	"5.56"	"6.36"	"7.27"	"6.5"	"5.63"
"1921"	"5.65"	"6.36"	"7.53"	"8.65"	"9.11"	"8.12"	"6.41"	"5.68"	"6.35"	"7.19"	"6.38"	"5.71"
"1922"	"5.57"	"6.42"	"7.48"	"8.62"	"9.07"	"8.1"	"6.36"	"5.65"	"6.33"	"7.18"	"6.4"	"5.58"
"1923"	"5.64"	"6.28"	"7.48"	"8.59"	"9.01"	"8.11"	"6.36"	"5.58"	"6.37"	"7.23"	"6.34"	"5.63"
"1924"	"5.58"	"6.36"	"7.55"	"8.65"	"9"	"8.09"	"6.37"	"5.69"	"6.36"	"7.18"	"6.3"	"5.65"
"1925"	"5.49"	"6.17"	"7.43"	"8.67"	"9.13"	"8.09"	"6.25"	"5.61"	"6.38"	"7.3"	"6.45"	"5.68"
"1926"	"5.61"	"6.55"	"7.55"	"8.45"	"8.91"	"8.13"	"6.4"	"5.68"	"6.36"	"7.2"	"6.3"	"5.59"
"1927"	"5.48"	"6.25"	"7.34"	"8.47"	"8.98"	"8.11"	"6.32"	"5.58"	"6.33"	"7.23"	"6.3"	"5.62"
"1928"	"5.61"	"6.37"	"7.48"	"8.56"	"9.06"	"8.12"	"6.32"	"5.66"	"6.33"	"7.18"	"6.43"	"5.57"
"1929"	"5.54"	"6.25"	"7.5"	"8.62"	"9.11"	"8.15"	"6.34"	"5.59"	"6.33"	"7.17"	"6.51"	"5.53"
"1930"	"5.54"	"6.34"	"7.47"	"8.51"	"9.03"	"8.14"	"6.29"	"5.53"	"6.37"	"7.31"	"6.41"	"5.63"
