
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.878"	"0"	"1.476"	"0"	"27.598"	"10.862"	"112.429"	"99.008"	"1.245"	"9.614"	"0.152"	"4.678"
"1902"	"0"	"0"	"0"	"0"	"5.418"	"32.644"	"34.751"	"131.308"	"172.716"	"0"	"0.152"	"0.003"
"1903"	"0.419"	"0.515"	"3.27"	"0"	"12.047"	"0.963"	"346.334"	"113.811"	"133.731"	"0"	"0.152"	"0"
"1904"	"6.218"	"0.681"	"6.552"	"0"	"1.516"	"24.001"	"106.851"	"24.586"	"32.056"	"4.221"	"0.152"	"6.003"
"1905"	"1.471"	"0.705"	"3.932"	"1.854"	"0"	"8.187"	"380.803"	"5.891"	"50.803"	"0"	"0.152"	"0.131"
"1906"	"0"	"29.02"	"1.001"	"0"	"0.231"	"51.085"	"190.698"	"151.736"	"212.397"	"3.097"	"0.152"	"9.844"
"1907"	"1.281"	"9.037"	"3.07"	"12.816"	"0.645"	"31.228"	"148.537"	"396.461"	"21.888"	"0"	"0.152"	"0"
"1908"	"12.398"	"0.309"	"0"	"0"	"0.418"	"13.509"	"657.853"	"293.086"	"109.251"	"0.175"	"2.578"	"0"
"1909"	"3.863"	"0"	"0"	"14.682"	"1.059"	"34.516"	"254.544"	"236.327"	"209.258"	"0.611"	"0.152"	"3.218"
"1910"	"6.752"	"0.046"	"0"	"6.834"	"0.994"	"210.677"	"140.144"	"234.8"	"3.136"	"1.496"	"0.152"	"0"
"1911"	"8.763"	"0"	"77.229"	"0"	"0"	"78.302"	"11.637"	"9.646"	"70.116"	"0"	"4.08"	"0"
"1912"	"0"	"0"	"0"	"0.146"	"0.231"	"57.453"	"229.5"	"227.36"	"63.235"	"44.511"	"27.125"	"0"
"1913"	"0"	"0.046"	"0.087"	"0"	"13.187"	"167.911"	"332.282"	"213.287"	"76.053"	"0"	"0.692"	"0.627"
"1914"	"0"	"3.352"	"0.165"	"0.667"	"4.291"	"92.01"	"317.421"	"110.279"	"113.694"	"2.934"	"16.623"	"0"
"1915"	"8.269"	"4.715"	"21.788"	"0.146"	"0"	"30.245"	"71.655"	"13.084"	"18.18"	"49.698"	"0.152"	"0"
"1916"	"0"	"0"	"0"	"0"	"11.561"	"67.732"	"39.805"	"385.763"	"167.858"	"10.877"	"0.152"	"0"
"1917"	"0.316"	"21.702"	"0.678"	"5.264"	"63.902"	"116.793"	"236.947"	"500.418"	"382.697"	"22.148"	"0.152"	"9.143"
"1918"	"0"	"0"	"0.395"	"0"	"8.852"	"49.05"	"25.369"	"220.228"	"22.771"	"0"	"0.215"	"0.446"
"1919"	"13.778"	"0"	"0.22"	"11.652"	"8.685"	"38.663"	"309.836"	"544.36"	"45.138"	"0"	"9.837"	"0.285"
"1920"	"1.009"	"1.603"	"0.216"	"0"	"53.267"	"177.019"	"175.455"	"44.438"	"6.041"	"0"	"0.152"	"0"
"1921"	"0"	"0"	"0"	"0"	"0"	"4.93"	"447.682"	"101.428"	"223.3"	"0.326"	"0.152"	"0"
"1922"	"0"	"0.046"	"0"	"0"	"0.34"	"29.697"	"186.664"	"196.534"	"245.807"	"0"	"2.5"	"0"
"1923"	"0.639"	"4.565"	"0.385"	"29.462"	"5.264"	"0.805"	"164.365"	"92.945"	"1.613"	"0.983"	"0.152"	"0"
"1924"	"5.561"	"0.128"	"0"	"0"	"11.367"	"48.913"	"287.784"	"130.274"	"301.492"	"0"	"0.152"	"8.945"
"1925"	"0"	"0"	"0"	"0"	"1.239"	"195.473"	"116.459"	"47.105"	"1.082"	"0"	"3.339"	"0"
"1926"	"10.373"	"0"	"9.101"	"4.057"	"18.995"	"2.938"	"239.911"	"265.667"	"538.459"	"0"	"0.152"	"0"
"1927"	"0"	"7.48"	"0"	"0"	"3.171"	"44.723"	"697.153"	"273.729"	"49.691"	"8.655"	"0.152"	"34.05"
"1928"	"0.316"	"0.089"	"0"	"0"	"0"	"5.757"	"221.76"	"130.257"	"52.09"	"30.886"	"42.376"	"0"
"1929"	"4.322"	"0"	"0"	"3.46"	"0.86"	"61.2"	"223.77"	"188.867"	"1.937"	"0"	"2.166"	"11.022"
"1930"	"21.084"	"0"	"0"	"0.779"	"4.332"	"57.427"	"184.874"	"67.715"	"10.434"	"38.412"	"0.152"	"0"
"1931"	"0"	"1.23"	"0.084"	"0"	"3.416"	"3.559"	"54.463"	"538.538"	"28.462"	"34.373"	"0.152"	"0.467"
"1932"	"0"	"0"	"2.257"	"0.165"	"0.583"	"12.407"	"250.921"	"177.716"	"46.938"	"3.657"	"0.152"	"0"
"1933"	"0"	"1.396"	"1.062"	"4.86"	"46.405"	"49.475"	"187.016"	"577.949"	"97.415"	"1.337"	"2.15"	"0"
"1934"	"0"	"0"	"7.867"	"0"	"0"	"174.802"	"237.216"	"366.606"	"28.474"	"0.717"	"0.152"	"0"
"1935"	"18.145"	"0.089"	"0.084"	"11.326"	"0.848"	"16.597"	"273.355"	"43.665"	"165.089"	"10.702"	"0.152"	"0"
"1936"	"0"	"2.274"	"3.373"	"0.492"	"0"	"49.308"	"94.407"	"22.534"	"163.865"	"0"	"38.031"	"0.456"
"1937"	"0"	"4.748"	"0"	"0"	"0"	"110.976"	"526.41"	"2.809"	"280.745"	"0.898"	"0.152"	"12.219"
"1938"	"0"	"0"	"0.425"	"0"	"2.958"	"125.055"	"235.802"	"124.643"	"7.261"	"0"	"0.152"	"0"
"1939"	"0"	"4.298"	"11.15"	"0.165"	"0"	"8.918"	"47.198"	"158.23"	"75.925"	"0"	"0.152"	"0"
"1940"	"9.39"	"3.298"	"7.091"	"2.748"	"0"	"100.674"	"140.988"	"139.57"	"11.953"	"1.787"	"26.25"	"0"
"1941"	"0.335"	"21.791"	"0"	"0"	"3.165"	"6.659"	"407.443"	"191.048"	"35.164"	"1.328"	"0.152"	"5.11"
"1942"	"2.498"	"7.82"	"0"	"2.942"	"29.877"	"76.079"	"220.768"	"154.531"	"31.815"	"0"	"0.152"	"0.689"
"1943"	"0.335"	"0"	"0"	"2.207"	"0"	"78.703"	"534.491"	"66.068"	"134.083"	"0"	"0.152"	"0"
"1944"	"6.615"	"0.306"	"3.261"	"0"	"0.573"	"67.503"	"544.645"	"418.851"	"14.233"	"3.105"	"0.152"	"0"
"1945"	"9.42"	"0"	"0"	"0.945"	"11.127"	"96.507"	"392.258"	"189.796"	"200.793"	"0.196"	"0.152"	"0"
"1946"	"0"	"3.591"	"0"	"1.837"	"2.466"	"96.522"	"172.874"	"344.523"	"81.489"	"0.439"	"15.995"	"9.532"
"1947"	"0.771"	"0.046"	"0"	"0.314"	"0.069"	"2.343"	"162.422"	"243.192"	"253.502"	"17.076"	"1.238"	"0"
"1948"	"6.27"	"0.697"	"0.502"	"0"	"0"	"8.772"	"212.272"	"57.471"	"9.372"	"3.492"	"23.39"	"0.141"
"1949"	"1.904"	"0.046"	"0"	"0"	"0.231"	"33.662"	"183.672"	"161.223"	"64.664"	"4.426"	"0.152"	"0"
"1950"	"0.316"	"0"	"0.327"	"0"	"0"	"5.705"	"490.837"	"50.104"	"239.032"	"0"	"0.152"	"0"
"1951"	"0"	"0"	"0.863"	"0"	"3.242"	"25.475"	"143.057"	"150.618"	"1.457"	"0.031"	"32.966"	"0"
"1952"	"0"	"0.079"	"0.058"	"0.132"	"0.055"	"48.7"	"425.597"	"146.699"	"1.082"	"0.611"	"0.152"	"0"
"1953"	"4.124"	"0"	"0"	"0.449"	"0.77"	"85.69"	"122.825"	"317.368"	"46.8"	"0"	"0.152"	"0.194"
"1954"	"1.333"	"0.852"	"0.598"	"0"	"0.231"	"60.794"	"271.825"	"154.605"	"272.355"	"6.968"	"9.01"	"0"
"1955"	"0.078"	"0"	"0.273"	"0"	"1.661"	"23.888"	"13.335"	"229.346"	"303.123"	"6.847"	"0.152"	"2.988"
"1956"	"1.904"	"0"	"2.777"	"0"	"0"	"126.853"	"556.567"	"149.809"	"67.492"	"38.545"	"0.152"	"0.892"
"1957"	"7.332"	"0"	"3.958"	"2.736"	"3.463"	"101.453"	"104.299"	"187.528"	"1.082"	"1.115"	"12.484"	"0.235"
"1958"	"3.425"	"0"	"0.058"	"1.018"	"0.34"	"8.328"	"161.881"	"46.127"	"214.452"	"50.996"	"33.56"	"3.051"
"1959"	"0.078"	"0.046"	"0"	"3.558"	"1.119"	"43.935"	"405.213"	"180.193"	"328.77"	"33.924"	"8.277"	"0"
"1960"	"1.758"	"0"	"0.058"	"0"	"2.093"	"50.417"	"190.978"	"71.143"	"6.427"	"0"	"0.152"	"2.641"
"1961"	"0.639"	"3.526"	"0"	"2.395"	"1.119"	"83.595"	"193.418"	"100.578"	"351.375"	"1.883"	"0.152"	"0"
"1962"	"0"	"0"	"20.184"	"0.132"	"1.712"	"16.719"	"145.1"	"100.649"	"87.597"	"0"	"0.215"	"0.165"
"1963"	"0"	"0.273"	"1.234"	"0"	"0.069"	"17.494"	"102.993"	"185.113"	"224.41"	"12.785"	"40.349"	"4.842"
"1964"	"0"	"0"	"0"	"0"	"4.614"	"29.504"	"217.169"	"208.271"	"27.976"	"1.646"	"0.152"	"2.988"
"1965"	"16.996"	"0.075"	"3.428"	"2.089"	"1.827"	"2.756"	"314.474"	"81.078"	"27.456"	"0"	"0.152"	"0"
"1966"	"0"	"0.057"	"0"	"0"	"4.237"	"48.821"	"163.028"	"77.727"	"271.405"	"0"	"0.152"	"0"
