
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.11"	"3.92"	"5.68"	"6.89"	"7.59"	"6.85"	"5.41"	"4.64"	"4.99"	"5.18"	"3.99"	"3.29"
"1902"	"3.36"	"4.2"	"5.84"	"7.04"	"7.53"	"6.72"	"5.44"	"4.76"	"4.94"	"5.15"	"3.98"	"3.18"
"1903"	"3.26"	"4"	"5.3"	"6.66"	"7.51"	"6.85"	"5.39"	"4.65"	"4.98"	"5.09"	"3.77"	"3.1"
"1904"	"3.26"	"4.17"	"5.44"	"6.94"	"7.51"	"6.69"	"5.23"	"4.64"	"4.98"	"5.1"	"3.97"	"3.2"
"1905"	"3.1"	"3.65"	"5.23"	"6.62"	"7.71"	"6.73"	"5.3"	"4.73"	"5.01"	"5.17"	"4.08"	"3.2"
"1906"	"3.11"	"3.88"	"5.37"	"6.75"	"7.59"	"6.68"	"5.3"	"4.66"	"4.86"	"5.08"	"3.99"	"3.22"
"1907"	"3.37"	"4.04"	"5.47"	"6.77"	"7.32"	"6.72"	"5.49"	"4.48"	"4.81"	"5.01"	"4"	"3.1"
"1908"	"3.26"	"4.05"	"5.41"	"6.89"	"7.45"	"6.75"	"5.12"	"4.49"	"4.8"	"4.99"	"3.84"	"3.07"
"1909"	"3.18"	"4.03"	"5.58"	"6.71"	"7.34"	"6.69"	"5.13"	"4.47"	"4.75"	"4.96"	"3.89"	"3.06"
"1910"	"3.22"	"4.12"	"5.52"	"6.67"	"7.38"	"6.65"	"5.12"	"4.54"	"4.89"	"4.95"	"3.76"	"3.1"
"1911"	"3.29"	"4.12"	"5.3"	"6.73"	"7.57"	"6.61"	"5.35"	"4.64"	"4.88"	"5.07"	"3.83"	"3.24"
"1912"	"3.36"	"4.26"	"5.47"	"6.89"	"7.57"	"6.83"	"5.27"	"4.56"	"4.8"	"5.03"	"3.82"	"3.14"
"1913"	"3.28"	"4.1"	"5.25"	"6.93"	"7.41"	"6.69"	"5.24"	"4.54"	"4.86"	"5.1"	"3.95"	"3.14"
"1914"	"3.4"	"4.01"	"5.44"	"6.85"	"7.66"	"6.68"	"5.24"	"4.59"	"4.97"	"5.09"	"4"	"3.08"
"1915"	"3.22"	"4"	"5.63"	"6.77"	"7.56"	"6.84"	"5.41"	"4.72"	"5.1"	"5.21"	"3.98"	"3.23"
"1916"	"3.37"	"3.98"	"5.78"	"6.9"	"7.48"	"6.61"	"5.41"	"4.6"	"4.89"	"4.96"	"3.75"	"3.08"
"1917"	"3.34"	"4.14"	"5.51"	"6.58"	"7.2"	"6.54"	"5.13"	"4.52"	"4.77"	"4.85"	"3.82"	"3.09"
"1918"	"3.16"	"4.12"	"5.5"	"6.59"	"7.49"	"6.59"	"5.32"	"4.67"	"4.87"	"5.04"	"4"	"3.08"
"1919"	"3.26"	"4.1"	"5.53"	"6.72"	"7.49"	"6.73"	"5.23"	"4.55"	"4.82"	"5.02"	"3.96"	"3.12"
"1920"	"3.3"	"4.05"	"5.62"	"6.8"	"7.17"	"6.48"	"5.14"	"4.54"	"5.02"	"5.16"	"4.01"	"3.13"
"1921"	"3.31"	"4.12"	"5.79"	"7.04"	"7.55"	"6.79"	"5.4"	"4.6"	"4.86"	"5.06"	"3.95"	"3.26"
"1922"	"3.21"	"4.24"	"5.61"	"6.97"	"7.46"	"6.72"	"5.3"	"4.58"	"4.83"	"5.01"	"3.91"	"3.11"
"1923"	"3.29"	"4.01"	"5.68"	"6.84"	"7.37"	"6.76"	"5.28"	"4.51"	"4.95"	"4.99"	"3.81"	"3.19"
"1924"	"3.23"	"4.14"	"5.8"	"6.93"	"7.35"	"6.79"	"5.35"	"4.64"	"4.81"	"4.94"	"3.76"	"3.17"
"1925"	"3.06"	"3.91"	"5.69"	"7.13"	"7.5"	"6.58"	"5.17"	"4.7"	"4.99"	"5.25"	"3.98"	"3.22"
"1926"	"3.31"	"4.35"	"5.54"	"6.56"	"7.35"	"6.9"	"5.33"	"4.61"	"4.81"	"4.95"	"3.76"	"3.1"
"1927"	"3.08"	"3.95"	"5.37"	"6.7"	"7.36"	"6.73"	"5.17"	"4.48"	"4.86"	"5.02"	"3.78"	"3.2"
"1928"	"3.26"	"4.12"	"5.62"	"6.85"	"7.49"	"6.69"	"5.26"	"4.58"	"4.79"	"5.01"	"3.92"	"3.07"
"1929"	"3.19"	"4.01"	"5.77"	"6.93"	"7.56"	"6.73"	"5.24"	"4.52"	"4.87"	"5.02"	"4.02"	"3.01"
"1930"	"3.23"	"4.05"	"5.58"	"6.77"	"7.49"	"6.73"	"5.13"	"4.53"	"5.05"	"5.17"	"3.89"	"3.22"
"1931"	"3.36"	"3.95"	"5.5"	"6.99"	"7.53"	"6.89"	"5.36"	"4.61"	"4.9"	"4.97"	"3.91"	"3.21"
"1932"	"3.47"	"4.12"	"5.61"	"6.81"	"7.49"	"6.64"	"5.27"	"4.52"	"4.94"	"5.14"	"3.87"	"3.24"
"1933"	"3.22"	"4.13"	"5.55"	"6.75"	"7.3"	"6.64"	"5.23"	"4.45"	"4.84"	"5.05"	"3.92"	"3.18"
"1934"	"3.04"	"4.22"	"5.46"	"6.86"	"7.46"	"6.73"	"5.2"	"4.55"	"4.82"	"4.96"	"3.89"	"3.25"
"1935"	"3.06"	"4.12"	"5.53"	"6.57"	"7.47"	"6.82"	"5.18"	"4.54"	"4.87"	"5.01"	"3.96"	"3.21"
"1936"	"3.18"	"4.2"	"5.46"	"6.77"	"7.63"	"6.54"	"5.24"	"4.61"	"4.9"	"5.08"	"3.97"	"3.16"
"1937"	"3.21"	"4.18"	"5.41"	"6.78"	"7.47"	"6.77"	"5.16"	"4.6"	"4.92"	"5.01"	"3.98"	"3.07"
"1938"	"3.23"	"3.98"	"5.72"	"6.93"	"7.54"	"6.57"	"5.23"	"4.62"	"4.98"	"5.12"	"3.81"	"3.2"
"1939"	"3.33"	"4.14"	"5.3"	"6.62"	"7.41"	"6.64"	"5.3"	"4.73"	"4.91"	"5.1"	"3.98"	"3.3"
"1940"	"3.37"	"4.18"	"5.36"	"6.72"	"7.58"	"6.72"	"5.3"	"4.59"	"4.87"	"5.12"	"4.01"	"3.14"
"1941"	"3.21"	"4.3"	"5.71"	"6.95"	"7.51"	"6.73"	"5.15"	"4.62"	"4.94"	"5.27"	"3.97"	"3.28"
