
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.967"	"7.334"	"10.207"	"13.969"	"20.125"	"28.638"	"30.513"	"27.84"	"26.242"	"16.376"	"10.508"	"9.028"
"1902"	"8.05"	"8.202"	"11.189"	"14.979"	"20.008"	"26.784"	"30.493"	"30.159"	"25.445"	"15.559"	"10.377"	"8.161"
"1903"	"7.37"	"8.021"	"8.814"	"13.005"	"20.03"	"28.642"	"30.502"	"27.952"	"26.76"	"15.237"	"9.177"	"7.834"
"1904"	"7.538"	"8.218"	"9.512"	"14.141"	"20.018"	"26.837"	"28.691"	"27.849"	"26.455"	"15.559"	"10.034"	"8.535"
"1905"	"7.014"	"6.585"	"8.65"	"12.894"	"21.818"	"26.909"	"29.109"	"29.652"	"26.826"	"15.801"	"10.884"	"8.535"
"1906"	"6.95"	"7.348"	"9.378"	"13.108"	"20.921"	"26.809"	"28.744"	"27.978"	"25.421"	"15.559"	"10.893"	"8.645"
"1907"	"8.144"	"7.853"	"9.81"	"13.201"	"19.287"	"26.82"	"32.357"	"27.849"	"25.445"	"15.766"	"10.494"	"7.753"
"1908"	"7.538"	"8.227"	"9.599"	"13.869"	"20.018"	"26.934"	"28.346"	"27.33"	"24.743"	"15.312"	"9.796"	"7.86"
"1909"	"7.249"	"8.249"	"10.409"	"13.18"	"19.329"	"26.823"	"28.431"	"27.235"	"24.24"	"14.532"	"10.393"	"7.834"
"1910"	"7.549"	"8.041"	"10.207"	"12.865"	"20.008"	"27.007"	"27.898"	"27.849"	"25.479"	"15.027"	"9.082"	"7.865"
"1911"	"7.766"	"8.028"	"8.91"	"13.058"	"20.018"	"26.921"	"29.719"	"28.128"	"25.469"	"15.576"	"9.513"	"8.535"
"1912"	"8.05"	"9.209"	"9.641"	"14.166"	"20.612"	"28.62"	"28.656"	"27.849"	"25.445"	"15.582"	"9.71"	"8.521"
"1913"	"7.551"	"8.448"	"8.827"	"13.878"	"20.11"	"26.532"	"28.602"	"27.76"	"25.297"	"15.769"	"10.294"	"8.337"
"1914"	"8.054"	"8.122"	"9.435"	"13.598"	"21.428"	"27.016"	"28.73"	"27.849"	"25.644"	"15.568"	"10.521"	"7.824"
"1915"	"7.551"	"8.012"	"10.207"	"13.48"	"20.305"	"28.588"	"30.583"	"29.542"	"27.958"	"16.46"	"10.582"	"8.535"
"1916"	"8.139"	"8.049"	"10.801"	"13.869"	"20.018"	"26.478"	"30.19"	"27.76"	"25.445"	"15.343"	"9.118"	"7.845"
"1917"	"7.639"	"8.995"	"10.195"	"12.654"	"18.412"	"26.233"	"28.291"	"27.096"	"24.835"	"14.26"	"9.51"	"7.928"
"1918"	"6.961"	"8.431"	"9.829"	"12.811"	"20.018"	"26.993"	"29.695"	"28.322"	"25.257"	"15.591"	"10.582"	"7.834"
"1919"	"7.528"	"7.878"	"10.207"	"12.99"	"20.096"	"26.831"	"28.755"	"27.84"	"24.865"	"15.446"	"10.114"	"7.845"
"1920"	"7.538"	"8.13"	"10.207"	"13.499"	"18.223"	"25.258"	"28.592"	"27.76"	"27.151"	"16.003"	"10.575"	"8.037"
"1921"	"7.551"	"8.028"	"11.252"	"14.956"	"20.215"	"28.367"	"31.088"	"27.83"	"25.42"	"15.576"	"10.383"	"8.74"
"1922"	"7.538"	"9.023"	"10.207"	"14.157"	"20.018"	"26.745"	"28.724"	"27.849"	"25.329"	"15.583"	"10.48"	"8.04"
"1923"	"7.538"	"7.949"	"10.207"	"14.08"	"20.018"	"27.623"	"28.622"	"27.849"	"25.642"	"14.647"	"9.696"	"8.212"
"1924"	"7.538"	"8.298"	"11.081"	"13.878"	"19.187"	"27.604"	"30.332"	"27.849"	"25.61"	"14.757"	"9.202"	"8.535"
"1925"	"6.853"	"7.403"	"10.699"	"15.171"	"20.128"	"26.128"	"28.592"	"29.198"	"26.533"	"16.582"	"9.914"	"8.44"
"1926"	"7.538"	"9.604"	"9.689"	"12.361"	"19.304"	"29.222"	"29.017"	"27.751"	"25.458"	"14.449"	"9.013"	"7.814"
"1927"	"6.661"	"7.82"	"9.532"	"13.18"	"20.018"	"26.921"	"28.754"	"27.787"	"25.445"	"15.458"	"9.211"	"8.535"
"1928"	"7.361"	"8.33"	"10.207"	"13.978"	"20.226"	"26.996"	"28.863"	"27.849"	"25.445"	"15.559"	"10.013"	"7.846"
"1929"	"7.159"	"8.001"	"10.588"	"13.878"	"20.008"	"26.92"	"28.754"	"27.849"	"25.02"	"15.585"	"10.508"	"7.419"
"1930"	"7.577"	"8.202"	"10.207"	"13.571"	"20.018"	"26.908"	"27.48"	"27.849"	"27.483"	"15.804"	"9.699"	"8.509"
"1931"	"7.965"	"7.881"	"9.912"	"14.481"	"20.03"	"28.54"	"30.562"	"28.356"	"25.642"	"14.599"	"10.298"	"8.535"
"1932"	"8.528"	"7.541"	"10.082"	"13.856"	"20.03"	"27.027"	"28.691"	"27.84"	"26.169"	"15.559"	"10.098"	"8.535"
"1933"	"7.249"	"9.032"	"10.207"	"13.591"	"19.335"	"26.929"	"28.691"	"26.646"	"25.466"	"15.336"	"10.511"	"8.808"
"1934"	"6.466"	"9.226"	"9.454"	"14.143"	"20.018"	"26.989"	"28.755"	"27.83"	"25.445"	"15.249"	"9.9"	"8.658"
"1935"	"6.824"	"8.334"	"9.905"	"12.758"	"20.128"	"28.502"	"28.592"	"27.774"	"25.325"	"15.544"	"10.386"	"8.535"
"1936"	"6.95"	"9.095"	"9.597"	"13.394"	"21.125"	"26.307"	"28.677"	"27.849"	"25.445"	"15.559"	"10.573"	"8.05"
"1937"	"7.233"	"9.032"	"9.597"	"12.906"	"20.018"	"26.899"	"28.649"	"27.849"	"25.468"	"15.559"	"10.573"	"7.824"
"1938"	"7.55"	"8.04"	"11.078"	"14.196"	"20.721"	"25.932"	"28.601"	"28.525"	"26.229"	"15.734"	"9.501"	"8.535"
"1939"	"7.866"	"8.724"	"8.91"	"12.87"	"20.02"	"26.92"	"28.81"	"29.562"	"25.377"	"15.687"	"10.878"	"9.05"
"1940"	"8.14"	"9.098"	"9.384"	"13.059"	"20.622"	"26.82"	"28.75"	"27.849"	"25.34"	"15.967"	"10.512"	"8.223"
"1941"	"7.551"	"9.198"	"10.702"	"14.471"	"20.612"	"26.908"	"28.772"	"28.467"	"25.864"	"16.596"	"10.508"	"8.83"
"1942"	"7.551"	"8.724"	"10.585"	"14.956"	"20.03"	"28.506"	"28.217"	"27.84"	"24.736"	"15.568"	"10.391"	"7.922"
"1943"	"7.371"	"8.549"	"10.22"	"13.652"	"21.317"	"26.897"	"27.919"	"27.849"	"25.434"	"15.174"	"10.573"	"8.833"
"1944"	"7.551"	"8.319"	"9.641"	"12.967"	"20.107"	"26.908"	"28.552"	"27.849"	"25.445"	"15.128"	"10.508"	"8.616"
"1945"	"6.373"	"8.122"	"10.207"	"13.156"	"20.018"	"26.927"	"27.514"	"27.751"	"25.445"	"14.543"	"9.796"	"7.662"
"1946"	"7.551"	"9.211"	"9.931"	"15.269"	"20.018"	"27.391"	"28.754"	"26.574"	"25.445"	"15.559"	"9.38"	"8.123"
"1947"	"7.357"	"8.535"	"10.21"	"14.259"	"20.899"	"27.232"	"29.413"	"29.562"	"24.711"	"14.526"	"10.403"	"8.535"
"1948"	"7.538"	"8.226"	"10.219"	"14.464"	"21.222"	"26.959"	"29.567"	"27.759"	"25.468"	"15.582"	"9.97"	"8.535"
"1949"	"8.15"	"8.429"	"10.207"	"15.065"	"21.44"	"26.926"	"28.69"	"27.849"	"26.588"	"15.437"	"9.598"	"8.118"
"1950"	"7.551"	"7.404"	"9.814"	"13.402"	"20.018"	"26.943"	"27.692"	"27.837"	"25.445"	"15.225"	"9.405"	"7.728"
"1951"	"6.966"	"8.213"	"10.207"	"12.502"	"20.018"	"26.758"	"30.639"	"27.849"	"27.154"	"17.736"	"11.066"	"8.535"
"1952"	"8.034"	"9.232"	"10.207"	"14.395"	"21.213"	"26.92"	"28.68"	"27.849"	"25.038"	"15.557"	"9.979"	"8.535"
"1953"	"7.63"	"9.897"	"11.616"	"14.183"	"20.096"	"26.93"	"28.743"	"27.84"	"25.445"	"15.559"	"10.048"	"9.22"
"1954"	"7.156"	"9.198"	"10.207"	"14.196"	"20.503"	"26.93"	"28.592"	"28.665"	"24.65"	"13.726"	"10.301"	"8.535"
"1955"	"7.565"	"9.203"	"11.107"	"12.692"	"20.008"	"26.93"	"30.5"	"27.849"	"25.445"	"14.475"	"8.912"	"8.523"
"1956"	"7.538"	"8.651"	"10.207"	"14.185"	"20.904"	"26.908"	"26.527"	"27.136"	"25.638"	"13.878"	"9.508"	"8.525"
"1957"	"7.223"	"8.023"	"9.485"	"13.102"	"18.847"	"26.838"	"28.688"	"27.84"	"25.223"	"15.559"	"11.305"	"8.545"
"1958"	"8.273"	"8.724"	"10.59"	"15"	"20.018"	"28.607"	"28.688"	"30.36"	"24.056"	"15.062"	"10.511"	"8.737"
"1959"	"7.638"	"8.724"	"11.058"	"14.078"	"20.074"	"27.044"	"27.182"	"27.759"	"24.698"	"15.344"	"10.584"	"8.535"
