
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"18.003"	"14.495"	"26.069"	"22.511"	"24.622"	"42.289"	"65.369"	"63.876"	"42.767"	"16.313"	"11.3"	"13.184"
"1902"	"18.003"	"14.644"	"26.211"	"22.511"	"24.622"	"42.257"	"65.17"	"63.984"	"42.443"	"16.368"	"11.3"	"13.184"
"1903"	"18.003"	"14.644"	"26.211"	"22.511"	"24.506"	"42.314"	"65.17"	"64.254"	"42.767"	"15.974"	"11.3"	"13.184"
"1904"	"18.003"	"14.644"	"26.211"	"22.486"	"24.575"	"42.289"	"64.881"	"63.956"	"42.767"	"16.368"	"11.3"	"13.184"
"1905"	"18.003"	"14.644"	"26.211"	"22.511"	"24.622"	"42.289"	"65.17"	"64.254"	"42.767"	"16.368"	"11.3"	"13.184"
"1906"	"18.003"	"14.644"	"26.025"	"22.511"	"24.622"	"42.289"	"65.17"	"64.132"	"42.767"	"15.873"	"11.3"	"13.184"
"1907"	"18.003"	"14.644"	"26.211"	"22.511"	"24.622"	"42.472"	"65.278"	"64.254"	"42.767"	"16.903"	"11.953"	"13.14"
"1908"	"18.003"	"14.644"	"26.211"	"22.445"	"24.469"	"42.236"	"65.17"	"64.058"	"42.767"	"16.368"	"11.3"	"13.184"
"1909"	"17.802"	"14.644"	"26.211"	"22.511"	"24.16"	"42.303"	"65.17"	"63.884"	"42.428"	"16.363"	"11.3"	"13.184"
"1910"	"18.003"	"14.644"	"26.211"	"22.511"	"24.546"	"42.289"	"65.528"	"63.955"	"42.767"	"16.368"	"11.3"	"13.184"
"1911"	"18.003"	"14.644"	"26.211"	"22.511"	"24.622"	"42.314"	"65.169"	"64.117"	"42.767"	"16.368"	"10.952"	"13.184"
"1912"	"18.003"	"14.644"	"26.017"	"22.041"	"24.622"	"42.289"	"64.251"	"63.892"	"42.379"	"16.36"	"10.836"	"13.184"
"1913"	"18.003"	"14.644"	"26.209"	"22.511"	"23.962"	"42.177"	"65.177"	"64.25"	"42.397"	"16.319"	"11.3"	"13.184"
"1914"	"18.003"	"14.644"	"25.986"	"22.206"	"24.069"	"41.927"	"64.674"	"64.252"	"42.164"	"15.966"	"11.324"	"13.183"
"1915"	"18.003"	"14.644"	"25.631"	"22.511"	"23.634"	"42.024"	"64.783"	"63.536"	"41.99"	"15.974"	"10.921"	"13.184"
"1916"	"18.126"	"14.644"	"26.211"	"22.511"	"24.622"	"42.289"	"64.675"	"64.254"	"42.767"	"15.874"	"11.298"	"13.184"
"1917"	"17.794"	"14.318"	"26.032"	"21.78"	"23.762"	"41.917"	"64.327"	"63.778"	"42.343"	"16.368"	"11.037"	"13.184"
"1918"	"18.003"	"14.644"	"26.211"	"22.511"	"23.877"	"42.294"	"64.941"	"63.876"	"42.249"	"16.055"	"11.3"	"13.386"
"1919"	"18.003"	"14.644"	"26.211"	"21.94"	"24.622"	"42.289"	"65.168"	"63.884"	"42.229"	"15.48"	"10.537"	"13.184"
"1920"	"18.382"	"14.644"	"26.21"	"22.508"	"24.622"	"42.291"	"65.215"	"63.416"	"42.767"	"15.509"	"11.3"	"13.16"
"1921"	"18.003"	"14.644"	"26.211"	"22.511"	"24.622"	"42.226"	"64.184"	"63.833"	"42.767"	"15.788"	"10.975"	"13.16"
"1922"	"18.006"	"14.644"	"26.211"	"22.511"	"24.622"	"42.356"	"65.17"	"63.884"	"42.767"	"16.368"	"11.145"	"13.184"
"1923"	"18.003"	"14.644"	"26.211"	"22.511"	"24.526"	"42.667"	"65.438"	"64.254"	"42.767"	"15.848"	"10.436"	"12.318"
"1924"	"17.616"	"14.15"	"26.211"	"22.511"	"24.622"	"42.289"	"65.17"	"64.252"	"42.764"	"15.748"	"11.037"	"13.16"
"1925"	"18.003"	"14.017"	"25.417"	"21.94"	"23.544"	"42.257"	"64.775"	"63.536"	"42.247"	"16.368"	"10.568"	"12.226"
"1926"	"17.794"	"14.644"	"25.968"	"23.059"	"24.112"	"42.289"	"65.17"	"64.203"	"42.767"	"15.873"	"11.3"	"13.184"
"1927"	"18.258"	"14.644"	"25.862"	"22.511"	"24.622"	"42.297"	"65.17"	"64.06"	"42.724"	"16.368"	"11.3"	"13.184"
"1928"	"18.003"	"14.644"	"26.212"	"22.511"	"24.622"	"42.289"	"65.172"	"64.254"	"42.708"	"16.368"	"11.3"	"13.173"
"1929"	"17.925"	"14.644"	"25.818"	"21.641"	"24.621"	"42.289"	"65.508"	"64.233"	"42.764"	"15.873"	"11.3"	"13.753"
"1930"	"17.996"	"14.644"	"25.578"	"22.497"	"24.207"	"42.766"	"65.501"	"64.254"	"43.369"	"16.504"	"10.405"	"13.184"
"1931"	"15.357"	"17.904"	"22.377"	"15.377"	"19.025"	"28.685"	"60.053"	"61.774"	"39.692"	"19.055"	"1.875"	"8.405"
"1932"	"14.789"	"9.967"	"24.013"	"17.173"	"19.186"	"37.195"	"61.246"	"63.898"	"34.818"	"6.909"	"0"	"9.893"
"1933"	"16.472"	"13.924"	"23.625"	"22.958"	"28.548"	"40.519"	"64.575"	"68.709"	"46.714"	"14.321"	"5.056"	"10.207"
"1934"	"16.704"	"5.817"	"25.23"	"14.235"	"19.401"	"38.278"	"64.77"	"64.026"	"37.163"	"1.932"	"7.689"	"14.034"
"1935"	"18.699"	"19.332"	"21.536"	"25.518"	"18.338"	"19.849"	"60.212"	"62.297"	"37.95"	"8.792"	"5.808"	"11.666"
