
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1902"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1903"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1904"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1905"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1906"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1907"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.51"	"15.767"	"15.669"
"1908"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1909"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1910"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1911"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1912"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1913"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1914"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.425"	"15.669"
"1915"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1916"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.608"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1917"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1918"	"15.251"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1919"	"15.469"	"15.45"	"15.891"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1920"	"15.251"	"15.45"	"15.891"	"14.976"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
"1921"	"15.251"	"15.45"	"15.822"	"15.025"	"13.725"	"11.729"	"8.336"	"7.1"	"9.538"	"14.511"	"15.767"	"15.669"
