
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.5231"	"0.9407"	"0"	"0.0308"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0068"	"0.0188"	"2.5674"
"1903"	"0.2246"	"0.4793"	"0.0747"	"0.0685"	"0"	"0"	"0"	"0"	"0"	"0.0034"	"0.0599"	"3.3611"
"1904"	"1.1939"	"0"	"0.0458"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0308"	"1.2792"
"1905"	"4.0566"	"1.4496"	"0.1219"	"0.0898"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.5719"
"1906"	"3.4714"	"0.9188"	"0.0903"	"0.0171"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1907"	"0"	"0.7823"	"0.0869"	"0.0871"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.3941"
"1908"	"1.0464"	"0.105"	"0.0507"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0291"	"0.0479"	"3.1744"
"1909"	"2.485"	"0.4938"	"0"	"0.077"	"0"	"0"	"0"	"0"	"0"	"0.0188"	"0"	"2.9742"
"1910"	"1.9297"	"0"	"0.0034"	"0.0702"	"0"	"0"	"0"	"0"	"0"	"0.0702"	"0.0633"	"1.7526"
"1911"	"0"	"0"	"0.0928"	"0.0257"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0565"	"1.0983"
"1912"	"0"	"0"	"0.0538"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0051"	"0.0702"	"2.0395"
"1913"	"0.0022"	"0.095"	"0.1007"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0171"	"1.6494"
"1914"	"0"	"0.3511"	"0.0555"	"0.0086"	"0"	"0"	"0"	"0"	"0"	"0.0086"	"0"	"3.0939"
"1915"	"0.7106"	"0.8462"	"0.0165"	"0.0205"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0051"	"0.0011"
"1916"	"0"	"0.6397"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0565"	"0.0938"	"4.0748"
"1917"	"0.0024"	"0.1221"	"0.0465"	"0.1024"	"0.0092"	"0"	"0"	"0"	"0"	"0.089"	"0.0907"	"1.6787"
"1918"	"3.0812"	"0"	"0.0401"	"0.0915"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0017"	"3.3631"
"1919"	"1.0452"	"0.4554"	"0.0017"	"0.0462"	"0"	"0"	"0"	"0"	"0"	"0.0188"	"0.0205"	"3.1386"
"1920"	"0.364"	"0.3348"	"0"	"0.0377"	"0.01"	"0.0001"	"0"	"0"	"0"	"0"	"0"	"1.0373"
"1921"	"0.0014"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0205"	"0.0394"	"0"
"1922"	"1.7555"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0291"	"0.0411"	"2.588"
"1923"	"0.5902"	"0.3235"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0325"	"0.0479"	"1.0658"
"1924"	"2.3955"	"0.1202"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0668"	"0.0736"	"2.1309"
"1925"	"4.1136"	"1.0015"	"0"	"0"	"0"	"0.006"	"0.0007"	"0"	"0"	"0"	"0.0359"	"1.2343"
