
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.565"	"25.245"	"32.998"	"37.28"	"41.497"	"41.593"	"36.224"	"31.562"	"34.371"	"36.255"	"30.356"	"26.64"
"1902"	"25.612"	"27.909"	"35.265"	"38.819"	"41.411"	"39.828"	"34.547"	"33.416"	"33.034"	"34.052"	"29.443"	"25.076"
"1903"	"24.55"	"26.07"	"31.038"	"36.051"	"40.204"	"41.941"	"35.646"	"31.727"	"33.333"	"33.898"	"28.425"	"24.546"
"1904"	"23.949"	"27.065"	"31.719"	"38.75"	"40.937"	"39.192"	"32.809"	"30.687"	"33.226"	"34.094"	"29.372"	"25.405"
"1905"	"22.811"	"21.816"	"29.578"	"35.455"	"42.565"	"41.221"	"35.233"	"32.914"	"35.171"	"35.676"	"31.764"	"26.13"
"1906"	"23.212"	"24.784"	"31.326"	"37.326"	"42.865"	"39.354"	"33.834"	"32.946"	"32.675"	"34.35"	"30.513"	"26.218"
"1907"	"26.184"	"25.448"	"30.849"	"35.967"	"39.197"	"40.43"	"36.843"	"31.067"	"33.372"	"34.86"	"30.306"	"24.485"
"1908"	"24.085"	"26.8"	"31.743"	"38.419"	"40.95"	"40.183"	"32.277"	"30.606"	"32.624"	"33.654"	"29.185"	"24.814"
"1909"	"23.995"	"26.369"	"33.498"	"35.991"	"39.943"	"38.789"	"32.37"	"30.785"	"32.318"	"34.249"	"30.802"	"24.43"
"1910"	"23.597"	"27.219"	"32.611"	"36.273"	"41.073"	"37.937"	"33.248"	"31.658"	"33.093"	"32.724"	"28.402"	"25.415"
"1911"	"26.025"	"27.335"	"30.572"	"37.35"	"42.311"	"39.232"	"36.269"	"33.765"	"32.698"	"34.916"	"28.322"	"25.77"
"1912"	"25.488"	"28.413"	"31.687"	"38.066"	"41.45"	"41.331"	"34.228"	"31.352"	"32.313"	"34.053"	"28.402"	"25.283"
"1913"	"24.874"	"26.801"	"30.482"	"38.789"	"39.725"	"37.956"	"33.589"	"32.454"	"34.339"	"35.9"	"29.781"	"25.242"
"1914"	"26.513"	"26.452"	"31.824"	"37.912"	"42.082"	"38.676"	"33.523"	"31.899"	"33.688"	"34.094"	"30.663"	"24.729"
"1915"	"24.22"	"24.856"	"32.396"	"37.372"	"42.352"	"40.915"	"36.839"	"32.924"	"36.034"	"35.968"	"29.794"	"26.54"
"1916"	"25.405"	"25.925"	"34.757"	"38.665"	"40.67"	"37.82"	"34.961"	"30.993"	"32.941"	"32.791"	"27.482"	"24.354"
"1917"	"25.242"	"26.84"	"31.899"	"34.936"	"37.674"	"37.487"	"32.185"	"30.588"	"31.6"	"31.745"	"26.579"	"25.062"
"1918"	"23.046"	"27.442"	"32.333"	"35.425"	"42.198"	"39.163"	"35.868"	"32.991"	"33.68"	"35.061"	"29.867"	"24.133"
"1919"	"24.361"	"25.87"	"32.887"	"36.649"	"40.065"	"40.287"	"33.291"	"30.892"	"32.385"	"33.803"	"29.037"	"24.462"
"1920"	"24.003"	"26.339"	"32.908"	"36.807"	"37.345"	"37.049"	"32.218"	"31.497"	"34.924"	"35.568"	"30.736"	"25.525"
"1921"	"24.91"	"27.286"	"35.059"	"39.574"	"42.033"	"40.811"	"36.362"	"31.593"	"32.037"	"33.66"	"29.647"	"27.192"
"1922"	"23.826"	"28.318"	"33.301"	"38.12"	"40.692"	"38.904"	"33.981"	"31.339"	"32.343"	"33.639"	"29.179"	"25.017"
"1923"	"24.095"	"26.3"	"33.234"	"38.058"	"39.932"	"41.329"	"34.114"	"30.549"	"33.056"	"33.571"	"29.032"	"25.292"
"1924"	"23.258"	"26.784"	"34.104"	"38.29"	"38.647"	"40.286"	"34.303"	"31.09"	"31.646"	"32.404"	"28.009"	"24.954"
"1925"	"22.234"	"24.572"	"32.89"	"39.476"	"40.042"	"36.155"	"32.016"	"33.103"	"35.187"	"35.699"	"29.177"	"25.568"
"1926"	"24.99"	"29.203"	"31.303"	"34.452"	"39.011"	"41.207"	"34.645"	"31.492"	"31.824"	"33.279"	"27.155"	"24.055"
"1927"	"22.112"	"24.577"	"30.974"	"36.651"	"40.041"	"39.986"	"33.659"	"30.837"	"32.359"	"34.172"	"27.718"	"25.693"
