
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.307"	"9.797"	"17.084"	"22.255"	"27.773"	"29.864"	"27.888"	"24.435"	"24.832"	"21.742"	"14.589"	"10.97"
"1902"	"10.296"	"12.458"	"19.315"	"23.795"	"27.686"	"28.092"	"26.212"	"26.317"	"23.492"	"19.534"	"13.677"	"9.408"
"1903"	"9.262"	"10.621"	"15.146"	"20.972"	"26.449"	"30.204"	"27.301"	"24.597"	"23.793"	"19.382"	"12.652"	"8.878"
"1904"	"8.696"	"11.613"	"15.829"	"23.708"	"27.214"	"27.465"	"24.473"	"23.559"	"23.687"	"19.58"	"13.604"	"9.739"
"1905"	"7.561"	"6.367"	"13.686"	"20.433"	"28.842"	"29.491"	"26.889"	"25.817"	"25.633"	"21.164"	"15.998"	"10.464"
"1906"	"7.959"	"9.331"	"15.434"	"22.284"	"29.14"	"27.619"	"25.499"	"25.846"	"23.136"	"19.83"	"14.747"	"10.543"
"1907"	"10.923"	"9.999"	"14.96"	"20.924"	"25.471"	"28.677"	"28.5"	"23.961"	"23.832"	"20.349"	"14.54"	"8.816"
"1908"	"8.831"	"11.349"	"15.845"	"23.376"	"27.203"	"28.447"	"23.939"	"23.507"	"23.085"	"19.143"	"13.419"	"9.125"
"1909"	"8.743"	"10.918"	"17.605"	"20.949"	"26.22"	"27.061"	"24.026"	"23.683"	"22.776"	"19.733"	"15.037"	"8.763"
"1910"	"8.302"	"11.769"	"16.674"	"21.232"	"27.348"	"26.208"	"24.911"	"24.559"	"23.555"	"18.211"	"12.62"	"9.747"
"1911"	"10.729"	"11.884"	"14.68"	"22.309"	"28.587"	"27.504"	"27.935"	"26.666"	"23.157"	"20.401"	"12.539"	"10.095"
"1912"	"10.239"	"12.963"	"15.789"	"22.989"	"27.701"	"29.602"	"25.891"	"24.232"	"22.765"	"19.541"	"12.636"	"9.6"
"1913"	"9.624"	"11.352"	"14.581"	"23.747"	"25.994"	"26.227"	"25.252"	"25.354"	"24.801"	"21.385"	"14.015"	"9.575"
"1914"	"11.195"	"11.003"	"15.927"	"22.87"	"28.335"	"26.95"	"25.186"	"24.777"	"24.148"	"19.581"	"15.24"	"9.062"
"1915"	"8.945"	"9.407"	"16.505"	"22.33"	"28.626"	"29.157"	"28.495"	"25.825"	"26.495"	"21.449"	"14.028"	"10.865"
"1916"	"10.156"	"10.474"	"18.822"	"23.587"	"26.945"	"26.083"	"26.316"	"23.878"	"23.401"	"18.28"	"11.717"	"8.685"
"1917"	"9.992"	"11.389"	"16.007"	"19.893"	"23.942"	"25.756"	"23.849"	"23.489"	"22.058"	"17.232"	"10.796"	"9.393"
"1918"	"7.759"	"11.992"	"16.374"	"20.383"	"28.473"	"27.432"	"27.523"	"25.892"	"24.138"	"20.548"	"14.1"	"8.449"
"1919"	"8.894"	"10.42"	"16.958"	"21.573"	"26.341"	"28.534"	"24.955"	"23.771"	"22.835"	"19.29"	"13.271"	"8.794"
"1920"	"8.754"	"10.887"	"16.994"	"21.815"	"23.591"	"25.323"	"23.88"	"24.368"	"25.384"	"21.055"	"14.972"	"9.849"
"1921"	"9.661"	"11.836"	"19.222"	"24.515"	"28.307"	"29.074"	"28.024"	"24.486"	"22.489"	"19.147"	"13.88"	"11.502"
"1922"	"8.575"	"12.869"	"17.337"	"23.078"	"26.944"	"27.151"	"25.644"	"24.232"	"22.804"	"18.973"	"13.414"	"9.348"
"1923"	"8.843"	"10.851"	"17.344"	"22.979"	"26.177"	"29.597"	"25.777"	"23.447"	"23.516"	"19.06"	"13.267"	"9.622"
"1924"	"8.007"	"11.335"	"18.17"	"23.246"	"24.9"	"28.557"	"25.966"	"23.985"	"22.099"	"17.875"	"12.242"	"9.288"
"1925"	"6.977"	"9.12"	"16.976"	"24.452"	"26.309"	"24.419"	"23.683"	"26.002"	"25.649"	"21.188"	"13.41"	"9.899"
"1926"	"9.74"	"13.753"	"15.407"	"19.41"	"25.263"	"29.471"	"26.31"	"24.394"	"22.276"	"18.765"	"11.389"	"8.387"
"1927"	"6.82"	"9.128"	"15.082"	"21.612"	"26.316"	"28.256"	"25.314"	"23.708"	"22.807"	"19.659"	"11.952"	"10.017"
"1928"	"8.646"	"11.676"	"17.147"	"22.27"	"28.126"	"28.111"	"25.71"	"25.306"	"23.775"	"19.85"	"14.089"	"8.745"
"1929"	"8.216"	"9.721"	"18.471"	"22.986"	"27.3"	"28.02"	"24.905"	"24.262"	"24.269"	"19.985"	"14.678"	"8.483"
"1930"	"8.8"	"11.262"	"17.411"	"21.767"	"26.3"	"27.22"	"24.248"	"24.505"	"25.476"	"20.947"	"13.163"	"9.857"
"1931"	"10.689"	"9.671"	"16.081"	"24.002"	"27.562"	"29.33"	"26.222"	"24.582"	"23.461"	"18.636"	"13.643"	"10.525"
"1932"	"12.262"	"10.975"	"16.836"	"21.848"	"26.726"	"28.688"	"25.793"	"23.984"	"24.603"	"20.272"	"12.697"	"10.085"
"1933"	"7.363"	"11.774"	"16.581"	"20.678"	"24.417"	"26.727"	"24.984"	"23.593"	"22.309"	"18.428"	"13.41"	"9.729"
"1934"	"7.561"	"12.708"	"15.668"	"22.331"	"26.554"	"27.125"	"24.988"	"23.916"	"23.074"	"18.307"	"13.042"	"10.256"
"1935"	"6.915"	"11.545"	"16.328"	"19.61"	"27.194"	"28.517"	"24.777"	"24.002"	"22.8"	"18.197"	"13.904"	"9.309"
"1936"	"7.369"	"11.029"	"15.759"	"21.656"	"28.719"	"25.976"	"24.866"	"24.262"	"23.359"	"19.459"	"13.619"	"9.394"
"1937"	"8.261"	"12.144"	"14.943"	"21.717"	"27.295"	"28.694"	"24.393"	"25.009"	"23.816"	"19.134"	"14.361"	"8.365"
"1938"	"8.306"	"9.869"	"18.223"	"23.17"	"28.782"	"24.977"	"25.752"	"25.289"	"25.347"	"20.744"	"12.689"	"9.72"
