
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.99"	"5.73"	"6.98"	"8.09"	"8.56"	"8.18"	"6.61"	"5.59"	"6.11"	"6.99"	"6.12"	"5.28"
"1902"	"5.14"	"5.9"	"7.13"	"8.22"	"8.67"	"8.16"	"6.44"	"5.63"	"6.17"	"6.88"	"6.08"	"5.19"
"1903"	"5.1"	"5.87"	"6.91"	"8.02"	"8.49"	"8.16"	"6.58"	"5.6"	"6.14"	"6.92"	"6.03"	"5.13"
"1904"	"5.03"	"5.9"	"6.9"	"8.14"	"8.67"	"8.17"	"6.41"	"5.49"	"6.11"	"6.89"	"6.06"	"5.25"
"1905"	"5.07"	"5.54"	"6.72"	"7.88"	"8.55"	"8.23"	"6.53"	"5.58"	"6.17"	"6.94"	"6.2"	"5.35"
"1906"	"5.07"	"5.74"	"6.87"	"8.01"	"8.67"	"8.21"	"6.4"	"5.61"	"6.13"	"6.87"	"6.1"	"5.25"
"1907"	"5.23"	"5.86"	"6.89"	"8.04"	"8.48"	"8.05"	"6.62"	"5.6"	"6.1"	"6.88"	"6.13"	"5.18"
"1908"	"5.04"	"5.88"	"6.9"	"8.12"	"8.64"	"8.23"	"6.41"	"5.48"	"6.09"	"6.87"	"6.06"	"5.18"
"1909"	"5.05"	"5.81"	"7.06"	"8.09"	"8.57"	"8.15"	"6.38"	"5.51"	"6.07"	"6.84"	"6.17"	"5.21"
"1910"	"5"	"5.88"	"7.03"	"8.04"	"8.65"	"8.12"	"6.38"	"5.54"	"6.15"	"6.85"	"5.96"	"5.14"
"1911"	"5.18"	"5.99"	"6.87"	"8.01"	"8.67"	"8.12"	"6.49"	"5.72"	"6.15"	"6.94"	"6.03"	"5.19"
"1912"	"5.11"	"6.02"	"6.95"	"8.11"	"8.6"	"8.21"	"6.53"	"5.58"	"6.1"	"6.89"	"6.03"	"5.17"
"1913"	"5.09"	"5.93"	"6.83"	"8.14"	"8.67"	"8.06"	"6.36"	"5.55"	"6.14"	"6.99"	"6.12"	"5.15"
"1914"	"5.23"	"5.91"	"6.92"	"8.08"	"8.69"	"8.16"	"6.4"	"5.53"	"6.15"	"6.88"	"6.1"	"5.22"
"1915"	"5.09"	"5.75"	"6.94"	"8.04"	"8.63"	"8.17"	"6.57"	"5.61"	"6.22"	"7.03"	"6.1"	"5.26"
"1916"	"5.2"	"5.78"	"7.05"	"8.23"	"8.69"	"8.05"	"6.57"	"5.56"	"6.13"	"6.88"	"5.94"	"5.08"
"1917"	"5.09"	"5.92"	"7"	"8.05"	"8.49"	"8.03"	"6.35"	"5.51"	"6.1"	"6.8"	"5.83"	"5.15"
"1918"	"4.96"	"5.89"	"7.05"	"7.95"	"8.61"	"8.12"	"6.49"	"5.63"	"6.15"	"6.92"	"6.15"	"5.14"
"1919"	"5.08"	"5.8"	"7"	"8.12"	"8.54"	"8.18"	"6.46"	"5.54"	"6.1"	"6.88"	"6.07"	"5.14"
"1920"	"5.04"	"5.83"	"7.01"	"8.16"	"8.52"	"7.99"	"6.29"	"5.48"	"6.14"	"6.97"	"6.16"	"5.24"
"1921"	"5.09"	"5.86"	"7.06"	"8.23"	"8.67"	"8.16"	"6.61"	"5.65"	"6.11"	"6.85"	"6.03"	"5.34"
"1922"	"5.04"	"5.93"	"7.05"	"8.16"	"8.66"	"8.13"	"6.44"	"5.57"	"6.1"	"6.87"	"6.05"	"5.2"
"1923"	"5.06"	"5.81"	"6.99"	"8.18"	"8.55"	"8.18"	"6.53"	"5.52"	"6.11"	"6.88"	"6.06"	"5.25"
"1924"	"5.02"	"5.81"	"7.05"	"8.25"	"8.53"	"8.11"	"6.51"	"5.58"	"6.1"	"6.83"	"5.95"	"5.22"
"1925"	"4.96"	"5.68"	"6.91"	"8.23"	"8.76"	"8.02"	"6.23"	"5.51"	"6.2"	"7.01"	"6.09"	"5.24"
"1926"	"5.07"	"6.07"	"7.05"	"7.95"	"8.43"	"8.13"	"6.53"	"5.6"	"6.1"	"6.88"	"5.94"	"5.13"
"1927"	"4.94"	"5.72"	"6.86"	"8.04"	"8.54"	"8.15"	"6.47"	"5.54"	"6.08"	"6.91"	"5.95"	"5.2"
"1928"	"5.05"	"5.88"	"7.04"	"8.08"	"8.62"	"8.19"	"6.44"	"5.58"	"6.14"	"6.9"	"6.11"	"5.18"
"1929"	"5.04"	"5.7"	"7.03"	"8.19"	"8.65"	"8.18"	"6.42"	"5.52"	"6.13"	"6.9"	"6.16"	"5.14"
"1930"	"5.03"	"5.82"	"7.05"	"8.12"	"8.59"	"8.14"	"6.35"	"5.47"	"6.13"	"7"	"6.07"	"5.18"
"1931"	"5.26"	"5.74"	"6.94"	"8.26"	"8.72"	"8.42"	"6.62"	"5.61"	"6.2"	"6.78"	"6.19"	"5.28"
"1932"	"5.36"	"6.01"	"7.05"	"8.18"	"8.66"	"8.25"	"6.57"	"5.5"	"6.27"	"7.14"	"6.22"	"5.31"
"1933"	"5.03"	"5.87"	"7.09"	"8.08"	"8.42"	"8.09"	"6.43"	"5.45"	"6"	"6.86"	"6.13"	"5.3"
"1934"	"4.95"	"6.11"	"6.97"	"8.25"	"8.69"	"8.19"	"6.43"	"5.54"	"6.23"	"7.09"	"6.06"	"5.27"
