
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.74"	"3.54"	"5.27"	"6.54"	"7.44"	"7.2"	"5.59"	"4.51"	"4.82"	"4.93"	"3.65"	"2.93"
"1902"	"3.01"	"3.8"	"5.54"	"6.76"	"7.41"	"6.98"	"5.41"	"4.66"	"4.69"	"4.71"	"3.56"	"2.8"
"1903"	"2.9"	"3.61"	"5.02"	"6.38"	"7.26"	"7.26"	"5.54"	"4.51"	"4.72"	"4.69"	"3.47"	"2.76"
"1904"	"2.84"	"3.72"	"5.1"	"6.75"	"7.34"	"6.88"	"5.21"	"4.42"	"4.71"	"4.71"	"3.57"	"2.82"
"1905"	"2.74"	"3.18"	"4.85"	"6.28"	"7.59"	"7.17"	"5.49"	"4.63"	"4.9"	"4.88"	"3.78"	"2.9"
"1906"	"2.78"	"3.51"	"5.05"	"6.53"	"7.65"	"6.92"	"5.34"	"4.64"	"4.65"	"4.74"	"3.66"	"2.9"
"1907"	"3.04"	"3.57"	"4.99"	"6.36"	"7.11"	"7.05"	"5.68"	"4.46"	"4.72"	"4.79"	"3.65"	"2.76"
"1908"	"2.86"	"3.7"	"5.11"	"6.7"	"7.35"	"7.03"	"5.15"	"4.4"	"4.63"	"4.65"	"3.55"	"2.78"
"1909"	"2.85"	"3.65"	"5.33"	"6.37"	"7.2"	"6.83"	"5.16"	"4.42"	"4.61"	"4.72"	"3.7"	"2.76"
"1910"	"2.81"	"3.74"	"5.23"	"6.39"	"7.37"	"6.72"	"5.27"	"4.51"	"4.69"	"4.55"	"3.47"	"2.82"
"1911"	"3.03"	"3.75"	"4.97"	"6.57"	"7.54"	"6.9"	"5.6"	"4.72"	"4.64"	"4.79"	"3.46"	"2.86"
"1912"	"2.98"	"3.87"	"5.1"	"6.67"	"7.43"	"7.18"	"5.38"	"4.49"	"4.62"	"4.71"	"3.47"	"2.8"
"1913"	"2.92"	"3.7"	"4.97"	"6.76"	"7.18"	"6.73"	"5.3"	"4.59"	"4.82"	"4.89"	"3.59"	"2.81"
"1914"	"3.07"	"3.66"	"5.11"	"6.64"	"7.53"	"6.83"	"5.3"	"4.53"	"4.75"	"4.71"	"3.65"	"2.77"
"1915"	"2.87"	"3.5"	"5.21"	"6.55"	"7.55"	"7.13"	"5.67"	"4.63"	"4.98"	"4.91"	"3.6"	"2.93"
"1916"	"2.97"	"3.61"	"5.5"	"6.75"	"7.31"	"6.7"	"5.55"	"4.46"	"4.68"	"4.57"	"3.4"	"2.75"
"1917"	"2.95"	"3.69"	"5.13"	"6.21"	"6.9"	"6.66"	"5.15"	"4.4"	"4.54"	"4.47"	"3.31"	"2.8"
"1918"	"2.77"	"3.77"	"5.18"	"6.27"	"7.53"	"6.88"	"5.56"	"4.64"	"4.75"	"4.8"	"3.6"	"2.74"
"1919"	"2.9"	"3.61"	"5.25"	"6.46"	"7.23"	"7.04"	"5.27"	"4.43"	"4.61"	"4.68"	"3.54"	"2.76"
"1920"	"2.84"	"3.65"	"5.25"	"6.47"	"6.85"	"6.61"	"5.15"	"4.5"	"4.87"	"4.86"	"3.69"	"2.84"
"1921"	"2.92"	"3.74"	"5.51"	"6.86"	"7.51"	"7.11"	"5.62"	"4.5"	"4.59"	"4.66"	"3.58"	"2.98"
"1922"	"2.83"	"3.84"	"5.33"	"6.67"	"7.33"	"6.86"	"5.35"	"4.49"	"4.62"	"4.68"	"3.55"	"2.8"
"1923"	"2.85"	"3.65"	"5.29"	"6.66"	"7.22"	"7.17"	"5.37"	"4.39"	"4.69"	"4.65"	"3.54"	"2.8"
"1924"	"2.78"	"3.7"	"5.41"	"6.69"	"7.05"	"7.04"	"5.39"	"4.46"	"4.55"	"4.52"	"3.45"	"2.79"
"1925"	"2.71"	"3.46"	"5.26"	"6.85"	"7.23"	"6.48"	"5.14"	"4.65"	"4.91"	"4.87"	"3.55"	"2.84"
"1926"	"2.93"	"3.93"	"5.05"	"6.15"	"7.07"	"7.16"	"5.43"	"4.49"	"4.57"	"4.64"	"3.35"	"2.72"
"1927"	"2.69"	"3.46"	"5.01"	"6.44"	"7.22"	"7"	"5.3"	"4.44"	"4.62"	"4.71"	"3.4"	"2.86"
"1928"	"2.84"	"3.73"	"5.29"	"6.56"	"7.49"	"6.97"	"5.35"	"4.58"	"4.72"	"4.74"	"3.61"	"2.76"
"1929"	"2.8"	"3.54"	"5.44"	"6.64"	"7.37"	"6.96"	"5.27"	"4.49"	"4.77"	"4.75"	"3.67"	"2.74"
"1930"	"2.85"	"3.68"	"5.32"	"6.48"	"7.23"	"6.86"	"5.19"	"4.51"	"4.89"	"4.85"	"3.53"	"2.84"
"1931"	"3.02"	"3.53"	"5.13"	"6.78"	"7.39"	"7.14"	"5.42"	"4.51"	"4.69"	"4.62"	"3.57"	"2.9"
"1932"	"3.16"	"3.66"	"5.25"	"6.49"	"7.28"	"7.05"	"5.37"	"4.44"	"4.8"	"4.78"	"3.47"	"2.87"
"1933"	"2.76"	"3.72"	"5.22"	"6.32"	"6.97"	"6.78"	"5.29"	"4.41"	"4.58"	"4.6"	"3.55"	"2.82"
"1934"	"2.75"	"3.83"	"5.09"	"6.57"	"7.26"	"6.84"	"5.28"	"4.47"	"4.65"	"4.59"	"3.52"	"2.89"
"1935"	"2.69"	"3.71"	"5.17"	"6.16"	"7.34"	"7.03"	"5.25"	"4.46"	"4.62"	"4.56"	"3.58"	"2.79"
"1936"	"2.73"	"3.73"	"5.1"	"6.46"	"7.57"	"6.7"	"5.27"	"4.49"	"4.67"	"4.7"	"3.56"	"2.8"
"1937"	"2.81"	"3.78"	"5"	"6.47"	"7.37"	"7.04"	"5.2"	"4.56"	"4.73"	"4.66"	"3.61"	"2.71"
"1938"	"2.81"	"3.56"	"5.41"	"6.68"	"7.58"	"6.56"	"5.36"	"4.59"	"4.88"	"4.82"	"3.47"	"2.82"
"1939"	"3"	"3.65"	"4.87"	"6.32"	"7.37"	"6.78"	"5.34"	"4.78"	"4.78"	"4.86"	"3.57"	"2.89"
"1940"	"2.93"	"3.67"	"5.02"	"6.43"	"7.43"	"6.93"	"5.42"	"4.44"	"4.67"	"4.76"	"3.66"	"2.8"
"1941"	"2.82"	"3.79"	"5.47"	"6.84"	"7.43"	"6.89"	"5.48"	"4.62"	"4.82"	"5.02"	"3.68"	"2.97"
"1942"	"2.76"	"3.79"	"5.39"	"6.84"	"7.42"	"7.11"	"5.17"	"4.39"	"4.6"	"4.69"	"3.6"	"2.73"
"1943"	"2.9"	"3.69"	"5.36"	"6.47"	"7.42"	"6.84"	"5.25"	"4.4"	"4.66"	"4.66"	"3.61"	"2.93"
"1944"	"2.82"	"3.67"	"5.09"	"6.47"	"7.4"	"6.79"	"5.24"	"4.45"	"4.69"	"4.55"	"3.59"	"2.92"
"1945"	"2.67"	"3.62"	"5.31"	"6.44"	"7.25"	"6.93"	"5.2"	"4.5"	"4.62"	"4.6"	"3.53"	"2.68"
"1946"	"2.91"	"3.86"	"5.14"	"6.91"	"7.37"	"6.88"	"5.29"	"4.42"	"4.6"	"4.75"	"3.48"	"2.82"
"1947"	"2.76"	"3.68"	"5.36"	"6.67"	"7.47"	"7.13"	"5.48"	"4.54"	"4.59"	"4.57"	"3.64"	"2.86"
"1948"	"2.84"	"3.6"	"5.17"	"6.77"	"7.62"	"7.08"	"5.37"	"4.49"	"4.67"	"4.79"	"3.51"	"2.88"
"1949"	"3.04"	"3.75"	"5.29"	"6.81"	"7.63"	"6.91"	"5.31"	"4.56"	"4.83"	"4.72"	"3.46"	"2.78"
"1950"	"2.99"	"3.51"	"5.11"	"6.42"	"7.39"	"6.99"	"5.26"	"4.47"	"4.62"	"4.64"	"3.44"	"2.68"
"1951"	"2.78"	"3.6"	"5.12"	"6.29"	"7.25"	"6.78"	"5.54"	"4.52"	"4.88"	"5.03"	"3.71"	"2.82"
"1952"	"2.96"	"3.86"	"5.22"	"6.77"	"7.6"	"6.81"	"5.28"	"4.44"	"4.75"	"4.86"	"3.58"	"2.83"
"1953"	"2.8"	"3.89"	"5.52"	"6.58"	"7.39"	"6.96"	"5.41"	"4.48"	"4.72"	"4.71"	"3.57"	"3.04"
"1954"	"2.83"	"3.82"	"5.24"	"6.66"	"7.5"	"7.05"	"5.33"	"4.47"	"4.64"	"4.54"	"3.6"	"2.81"
"1955"	"2.85"	"3.7"	"5.48"	"6.31"	"7.23"	"6.95"	"5.41"	"4.49"	"4.61"	"4.51"	"3.45"	"2.84"
"1956"	"2.84"	"3.66"	"5.22"	"6.51"	"7.54"	"6.86"	"5.17"	"4.43"	"4.74"	"4.45"	"3.42"	"2.84"
"1957"	"2.77"	"3.54"	"5.02"	"6.41"	"7.12"	"6.95"	"5.32"	"4.4"	"4.7"	"4.72"	"3.78"	"2.86"
"1958"	"3.02"	"3.76"	"5.38"	"6.85"	"7.35"	"7.03"	"5.25"	"4.58"	"4.58"	"4.63"	"3.64"	"2.92"
"1959"	"2.83"	"3.64"	"5.39"	"6.61"	"7.23"	"6.85"	"5.24"	"4.45"	"4.63"	"4.71"	"3.57"	"2.89"
"1960"	"2.79"	"3.91"	"5.09"	"6.36"	"7.3"	"6.96"	"5.36"	"4.43"	"4.74"	"4.64"	"3.48"	"2.83"
"1961"	"2.75"	"3.42"	"5.14"	"6.42"	"7.2"	"6.85"	"5.18"	"4.41"	"4.56"	"4.47"	"3.49"	"2.69"
