
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.013"	"6.785"	"7.269"	"8.43"	"14.534"	"26.303"	"30.44"	"27.1"	"24.957"	"14.56"	"8.825"	"8.75"
"1902"	"8.187"	"7.962"	"8.44"	"9.049"	"14.115"	"23.733"	"28.1"	"29.21"	"23.747"	"12.719"	"8.415"	"7.637"
"1903"	"7.552"	"7.271"	"6.743"	"7.874"	"13.612"	"26.579"	"30.363"	"27.011"	"25.004"	"12.506"	"8.101"	"7.607"
"1904"	"7.552"	"7.532"	"6.77"	"8.557"	"13.848"	"23.704"	"26.692"	"27.485"	"23.814"	"12.75"	"8.345"	"8.206"
"1905"	"7.005"	"5.27"	"5.914"	"7.356"	"15.381"	"24.497"	"29.1"	"28.878"	"26.424"	"13.611"	"9.251"	"8.206"
"1906"	"7.111"	"6.446"	"6.837"	"8.241"	"15.838"	"23.394"	"27.597"	"28.833"	"22.83"	"12.712"	"8.826"	"8.268"
"1907"	"8.221"	"6.907"	"6.852"	"7.675"	"13.019"	"24.409"	"31.371"	"27.101"	"24.164"	"12.872"	"8.833"	"7.539"
"1908"	"7.508"	"7.54"	"6.871"	"8.61"	"13.848"	"24.573"	"25.899"	"26.683"	"23.716"	"12.315"	"8.119"	"7.882"
"1909"	"7.475"	"7.167"	"7.707"	"7.474"	"13.132"	"23.567"	"25.771"	"26.284"	"23.074"	"12.48"	"8.376"	"7.607"
"1910"	"7.551"	"7.54"	"7.269"	"7.733"	"13.848"	"23.33"	"27.453"	"27.109"	"23.724"	"11.919"	"7.719"	"7.928"
"1911"	"7.916"	"7.531"	"6.359"	"8.618"	"14.848"	"23.259"	"30.618"	"29.639"	"23.731"	"12.75"	"7.946"	"8.206"
"1912"	"8.112"	"8.044"	"6.902"	"8.657"	"14.535"	"26.472"	"28.367"	"27.102"	"23.716"	"12.816"	"8.019"	"8.167"
"1913"	"7.552"	"7.454"	"6.268"	"8.881"	"13.573"	"22.247"	"27.485"	"27.79"	"25.322"	"13.627"	"8.825"	"8.182"
"1914"	"8.686"	"7.328"	"6.97"	"8.289"	"15.24"	"23.672"	"27.447"	"27.102"	"23.716"	"12.726"	"8.825"	"7.614"
"1915"	"7.549"	"6.877"	"7.093"	"8.609"	"15.73"	"25.304"	"31.53"	"28.864"	"27.242"	"13.719"	"8.758"	"8.206"
"1916"	"8.088"	"6.87"	"8.337"	"8.68"	"13.848"	"22.568"	"28.004"	"27.095"	"23.716"	"11.905"	"7.552"	"7.607"
