
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.0001"	"0.9396"	"0.6521"	"0.3911"	"1.0001"	"2.3464"	"9.6224"	"8.7454"	"1.1727"	"1.216"	"0.0494"	"1.0001"
"1902"	"0.9931"	"0"	"0.0766"	"0.0193"	"0.255"	"4.141"	"7.6907"	"7.5636"	"4.3507"	"1.0464"	"2.0488"	"0.8319"
"1903"	"0.7468"	"0.2561"	"0.2882"	"0"	"1.4043"	"1.0591"	"10.3256"	"10.6519"	"5.1452"	"1.0512"	"0.0494"	"0"
"1904"	"0.8701"	"1.0043"	"1.0001"	"0"	"1.1266"	"3.6504"	"8.4698"	"7.6032"	"4.3273"	"1.0512"	"1.2025"	"1.0001"
"1905"	"1.0001"	"1.0084"	"1.0001"	"1.0001"	"1.0001"	"1.8157"	"7.8196"	"2.3696"	"4.065"	"0.0137"	"0.0631"	"0.373"
"1906"	"0.0296"	"1.0173"	"0.9658"	"0"	"0.7556"	"4.1802"	"8.9811"	"6.6561"	"6.1399"	"0.213"	"0.0494"	"1.0001"
"1907"	"1.0001"	"1.0119"	"0.6803"	"1.0001"	"1.0004"	"1.6231"	"7.3093"	"12.8616"	"0.9979"	"0.0137"	"0.6614"	"0"
"1908"	"1.0001"	"0"	"0.0274"	"0.5164"	"1.0001"	"2.5531"	"14.6038"	"12.9317"	"7.2059"	"1.0512"	"1.1973"	"0.373"
"1909"	"1.0001"	"0.4476"	"0"	"1.0001"	"1.0959"	"3.4564"	"12.386"	"6.1314"	"6.3444"	"0.0137"	"0.0494"	"1.0001"
"1910"	"1.0001"	"0.6348"	"0.0017"	"1.0001"	"0.9984"	"4.6793"	"7.1022"	"10.6693"	"3.9353"	"1.1883"	"0.9223"	"0"
"1911"	"1.0001"	"0"	"1.0001"	"0"	"0.0026"	"3.3264"	"3.6054"	"5.0908"	"5.9798"	"0.1442"	"2.8114"	"1.0001"
"1912"	"1.0001"	"0.2561"	"0.3728"	"0.5839"	"0.7556"	"2.9041"	"10.1018"	"11.0957"	"4.3191"	"1.1295"	"2.3352"	"0.7617"
"1913"	"0"	"1.0133"	"0.9692"	"0"	"1.358"	"3.7064"	"6.856"	"5.8279"	"4.3074"	"0.0137"	"0.0494"	"1.0001"
"1914"	"0"	"1.0043"	"0.1042"	"1.0001"	"1.4584"	"4.544"	"9.5359"	"8.3382"	"5.3406"	"1.0512"	"1.1973"	"0.7051"
"1915"	"1.0001"	"1.0148"	"1.0001"	"1.0001"	"1.0001"	"2.725"	"7.353"	"5.4638"	"3.8605"	"2.1092"	"0.3158"	"0.6239"
"1916"	"0"	"0.9451"	"0.0494"	"0.2558"	"1.4709"	"3.6289"	"7.9525"	"12.902"	"5.6831"	"1.329"	"1.1974"	"0"
"1917"	"0.9544"	"1.0043"	"0.5703"	"1.0001"	"2.5523"	"4.8518"	"10.3328"	"15.0329"	"7.7649"	"1.9719"	"0.0494"	"1.0001"
"1918"	"1.0001"	"0"	"1.0001"	"0"	"1.198"	"2.3483"	"3.7594"	"6.8703"	"1.7074"	"0.0137"	"1.5145"	"0"
"1919"	"1.0001"	"0"	"0.2422"	"1.0001"	"1.0001"	"1.9975"	"10.1104"	"11.3386"	"3.7119"	"1.0473"	"1.637"	"1.0001"
