
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.44"	"18.224"	"25.816"	"29.634"	"32.857"	"32.575"	"29.316"	"26.735"	"27.804"	"27.917"	"22.938"	"20.117"
"1902"	"19.223"	"20.997"	"27.319"	"30.892"	"32.419"	"31.248"	"29.632"	"28.183"	"27.214"	"26.881"	"22.212"	"18.478"
"1903"	"17.886"	"18.81"	"23.064"	"28.286"	"32.125"	"32.368"	"29.178"	"27.007"	"27.394"	"26.588"	"20.395"	"17.828"
"1904"	"17.889"	"20.228"	"23.924"	"30.269"	"32.324"	"30.727"	"27.545"	"26.917"	"27.674"	"26.895"	"22.281"	"18.972"
"1905"	"16.488"	"15.858"	"22.61"	"27.69"	"33.858"	"31.395"	"28.049"	"27.702"	"27.783"	"27.233"	"23.548"	"18.961"
"1906"	"16.32"	"17.893"	"23.721"	"29.003"	"33.057"	"30.583"	"28.11"	"27.118"	"26.393"	"26.442"	"22.938"	"19.18"
"1907"	"18.957"	"19.323"	"24.056"	"28.53"	"30.848"	"31.295"	"30.076"	"25.424"	"26.317"	"26.45"	"23.149"	"17.863"
"1908"	"17.636"	"19.396"	"23.676"	"29.865"	"31.823"	"31.293"	"26.685"	"25.642"	"26.231"	"25.899"	"21.591"	"17.644"
"1909"	"17.252"	"19.4"	"25.311"	"28.435"	"31.264"	"30.699"	"26.906"	"25.535"	"25.704"	"25.592"	"21.945"	"17.864"
"1910"	"17.486"	"20.058"	"24.74"	"28.36"	"31.533"	"30.216"	"26.739"	"26.189"	"26.946"	"25.238"	"20.41"	"18.229"
"1911"	"18.716"	"19.978"	"23.018"	"28.699"	"32.797"	"30.081"	"28.962"	"27.136"	"26.779"	"26.894"	"21.489"	"19.804"
"1912"	"19.043"	"21.614"	"24.356"	"29.787"	"32.827"	"32.221"	"28.188"	"26.149"	"26.169"	"26.261"	"21.168"	"18.452"
"1913"	"17.951"	"19.942"	"22.82"	"30.319"	"31.498"	"30.615"	"27.731"	"26.028"	"26.778"	"27.158"	"22.549"	"18.627"
"1914"	"19.649"	"19.397"	"23.998"	"29.524"	"33.378"	"30.673"	"27.702"	"26.573"	"27.577"	"26.831"	"23.651"	"18.027"
"1915"	"17.724"	"18.852"	"25.426"	"28.992"	"32.798"	"32.562"	"29.539"	"27.657"	"29.01"	"27.824"	"22.923"	"19.232"
"1916"	"18.894"	"18.795"	"26.705"	"30.133"	"32.293"	"29.925"	"28.979"	"26.602"	"27.19"	"25.59"	"20.516"	"17.927"
"1917"	"18.855"	"20.201"	"24.651"	"27.63"	"30.159"	"29.564"	"26.699"	"26.12"	"26.052"	"24.799"	"20.85"	"18.166"
"1918"	"16.663"	"20.447"	"24.556"	"27.759"	"32.305"	"30.153"	"28.823"	"27.328"	"26.884"	"26.658"	"23.417"	"18.038"
"1919"	"18.041"	"19.831"	"25.106"	"28.813"	"32.223"	"30.991"	"27.591"	"26.266"	"26.496"	"26.03"	"22.706"	"18.319"
"1920"	"18.456"	"19.5"	"25.534"	"29.026"	"29.696"	"29.578"	"27.01"	"26.081"	"28.151"	"27.478"	"23.245"	"18.739"
"1921"	"18.601"	"19.99"	"26.871"	"31.063"	"32.656"	"31.531"	"29.388"	"26.541"	"26.45"	"26.287"	"22.109"	"19.918"
"1922"	"17.318"	"21.472"	"25.538"	"30.342"	"32.078"	"30.995"	"28.114"	"26.459"	"26.442"	"26.038"	"21.992"	"18.006"
"1923"	"18.325"	"19.084"	"25.87"	"29.484"	"31.474"	"32.026"	"28.108"	"25.732"	"27.348"	"25.855"	"21.393"	"19.208"
"1924"	"17.789"	"20.552"	"26.981"	"30.298"	"31.165"	"31.797"	"28.688"	"26.995"	"26.381"	"25.193"	"20.537"	"18.67"
"1925"	"15.691"	"18.144"	"25.87"	"31.461"	"31.83"	"29.861"	"27.159"	"27.512"	"28.101"	"28.391"	"22.93"	"19.269"
"1926"	"18.673"	"22.371"	"24.908"	"27.357"	"31.395"	"32.949"	"28.616"	"26.729"	"26.526"	"25.97"	"20.66"	"18.095"
"1927"	"16.386"	"18.599"	"23.707"	"28.649"	"31.35"	"31.144"	"27.217"	"25.467"	"26.592"	"26.132"	"20.31"	"19.025"
"1928"	"17.749"	"20.171"	"25.258"	"29.384"	"32.221"	"30.814"	"27.845"	"26.326"	"26.289"	"26.262"	"22.348"	"17.751"
"1929"	"16.972"	"19.04"	"26.511"	"29.947"	"32.554"	"30.924"	"27.572"	"25.798"	"26.947"	"26.031"	"23.215"	"17.296"
"1930"	"17.659"	"19.328"	"25.298"	"28.887"	"32.126"	"31.194"	"26.686"	"26.05"	"28.377"	"27.518"	"21.545"	"19.23"
"1931"	"19.326"	"18.825"	"24.561"	"30.574"	"32.427"	"32.523"	"28.778"	"26.697"	"26.864"	"25.692"	"21.979"	"19.031"
"1932"	"20.265"	"19.706"	"25.101"	"28.994"	"32.057"	"30.873"	"27.783"	"26.165"	"27.481"	"27.511"	"21.531"	"19.315"
"1933"	"17.467"	"20.456"	"25.052"	"28.827"	"30.617"	"30.296"	"27.615"	"25.342"	"26.347"	"26.051"	"22.253"	"18.627"
"1934"	"15.919"	"21.125"	"24.238"	"29.618"	"31.854"	"31.282"	"27.361"	"26.056"	"26.154"	"25.492"	"21.582"	"19.51"
"1935"	"15.914"	"20.048"	"24.575"	"27.26"	"32.064"	"31.756"	"27.245"	"26.151"	"26.265"	"25.947"	"22.395"	"19.125"
"1936"	"17.022"	"20.213"	"24.247"	"28.803"	"33.186"	"29.594"	"27.688"	"26.725"	"27.147"	"26.746"	"22.618"	"18.26"
"1937"	"17.048"	"20.622"	"23.746"	"28.956"	"32.002"	"31.581"	"27.058"	"26.622"	"27.157"	"25.989"	"22.917"	"17.699"
"1938"	"18.051"	"18.554"	"26.44"	"30.189"	"32.332"	"29.254"	"27.417"	"26.881"	"27.861"	"27.08"	"21.061"	"19.071"
"1939"	"18.807"	"20.583"	"23.036"	"28.031"	"31.626"	"30.612"	"28.14"	"27.834"	"26.935"	"26.949"	"22.322"	"19.646"
"1940"	"18.851"	"20.452"	"23.173"	"28.606"	"32.691"	"30.993"	"28.002"	"26.252"	"26.841"	"26.854"	"22.683"	"18.314"
"1941"	"17.357"	"21.229"	"26.233"	"30.412"	"32.385"	"31.372"	"27.335"	"26.749"	"27.712"	"28.415"	"22.774"	"20.159"
"1942"	"16.959"	"20.505"	"26.071"	"30.922"	"31.929"	"32.057"	"26.714"	"25.624"	"26.214"	"26.182"	"22.146"	"17.403"
"1943"	"17.493"	"20.298"	"25.678"	"28.891"	"32.951"	"30.005"	"26.722"	"25.698"	"26.25"	"25.851"	"22.657"	"19.375"
"1944"	"17.55"	"19.477"	"24.301"	"28.429"	"32.134"	"30.302"	"26.526"	"25.697"	"26.962"	"25.495"	"22.137"	"19.37"
"1945"	"15.743"	"19.397"	"25.624"	"28.545"	"31.248"	"31.032"	"26.354"	"26.305"	"26.172"	"25.396"	"21.085"	"17.227"
"1946"	"17.802"	"21.502"	"24.36"	"30.742"	"31.688"	"30.318"	"27.181"	"25.284"	"26.329"	"26.594"	"20.423"	"18.273"
