
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"12.235"	"10.767"	"22.487"	"19.857"	"20.955"	"40.175"	"69.32"	"68.785"	"45.478"	"15.947"	"10.085"	"9.857"
"1902"	"12.235"	"10.93"	"22.52"	"19.857"	"20.955"	"40.571"	"68.952"	"68.887"	"45.309"	"15.949"	"10.085"	"9.857"
"1903"	"12.235"	"10.93"	"22.52"	"19.857"	"20.92"	"40.175"	"68.952"	"68.889"	"45.478"	"15.944"	"10.085"	"9.857"
"1904"	"12.235"	"10.93"	"22.52"	"19.857"	"20.954"	"40.175"	"69.291"	"68.887"	"45.478"	"15.949"	"10.071"	"9.857"
"1905"	"12.235"	"10.93"	"22.52"	"19.857"	"20.955"	"40.175"	"68.938"	"68.889"	"45.478"	"15.949"	"10.085"	"9.857"
"1906"	"12.235"	"10.93"	"22.52"	"19.857"	"20.955"	"40.313"	"68.952"	"68.887"	"45.478"	"15.944"	"10.085"	"9.857"
"1907"	"12.235"	"10.93"	"22.52"	"19.857"	"20.955"	"40.176"	"69.103"	"68.889"	"45.478"	"16.089"	"10.346"	"9.857"
"1908"	"12.235"	"10.93"	"22.55"	"19.857"	"20.967"	"40.173"	"68.952"	"68.889"	"45.478"	"15.949"	"10.085"	"9.857"
"1909"	"12.235"	"10.93"	"22.52"	"19.857"	"20.953"	"40.085"	"68.952"	"68.887"	"45.478"	"15.945"	"10.085"	"9.857"
"1910"	"12.235"	"10.93"	"22.52"	"19.857"	"21.263"	"40.175"	"69.541"	"68.887"	"45.478"	"15.949"	"10.085"	"9.857"
"1911"	"12.235"	"10.93"	"22.52"	"19.857"	"20.955"	"40.175"	"68.95"	"68.887"	"45.478"	"15.949"	"9.854"	"9.857"
"1912"	"12.235"	"10.93"	"22.517"	"19.837"	"20.955"	"40.175"	"68.528"	"68.686"	"45.186"	"15.949"	"9.982"	"9.857"
