
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1902"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1903"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1904"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1905"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1906"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1907"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1908"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1909"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1910"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1911"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1912"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1913"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1914"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.138"	"15.792"
"1915"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1916"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.689"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1917"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1918"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1919"	"16.159"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1920"	"15.8"	"16.082"	"16.135"	"15.226"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.474"	"15.628"	"15.792"
"1921"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.475"	"15.628"	"15.792"
"1922"	"15.8"	"16.082"	"16.135"	"15.227"	"14.248"	"11.256"	"7.658"	"6.67"	"9.284"	"14.475"	"15.628"	"15.792"
