
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.1743"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3592"
"1903"	"0.2368"	"0"	"0.0002"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6454"
"1904"	"0.2159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1025"
"1905"	"1.0313"	"0.0099"	"0.0098"	"0.0069"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1172"
"1906"	"1.0365"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1039"
"1907"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6164"
"1908"	"0.2459"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.559"
"1909"	"0.6268"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.54"
"1910"	"0.514"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3987"
"1911"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1912"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2601"
"1913"	"0"	"0"	"0.0019"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.296"
"1914"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.4505"
"1915"	"0.1635"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0118"
"1916"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.516"
"1917"	"0"	"0"	"0"	"0.0006"	"0.0099"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3213"
"1918"	"0.9827"	"0"	"0"	"0.0001"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.4607"
"1919"	"0.0756"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.4868"
"1920"	"0"	"0"	"0"	"0"	"0.0099"	"0"	"0"	"0"	"0"	"0"	"0"	"0.262"
"1921"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1922"	"0.5095"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.5462"
"1923"	"0.0739"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0513"
"1924"	"0.3504"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2873"
"1925"	"1.3041"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1036"
"1926"	"0"	"0"	"0"	"0.0037"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3237"
"1927"	"1.0321"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0837"
"1928"	"0.1558"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6723"
"1929"	"0.7033"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6844"
"1930"	"0.353"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0127"
"1931"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1436"
"1932"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0019"
"1933"	"0.5375"	"0"	"0"	"0"	"0.0098"	"0"	"0"	"0.0001"	"0"	"0"	"0"	"0.1452"
"1934"	"1.2144"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0171"
"1935"	"1.2234"	"0"	"0"	"0.0026"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.125"
"1936"	"0.7981"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3567"
"1937"	"0.6238"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6393"
"1938"	"0.1769"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1369"
"1939"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1940"	"0"	"0"	"0.0006"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3625"
"1941"	"0.4679"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1942"	"0.6965"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6448"
"1943"	"0.297"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0211"
"1944"	"0.5016"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1945"	"1.2236"	"0"	"0"	"0"	"0"	"0"	"0.0004"	"0"	"0"	"0"	"0"	"0.7633"
"1946"	"0.1286"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.4231"
"1947"	"0.619"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0055"	"0"	"0.1973"
"1948"	"0.4972"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1042"
"1949"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.5117"
"1950"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6264"
"1951"	"0.7544"	"0"	"0"	"0.0006"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2118"
"1952"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0114"
"1953"	"0.4625"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1954"	"0.5562"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0055"	"0"	"0.2358"
"1955"	"0.0682"	"0"	"0"	"0.0006"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1975"
"1956"	"0.1644"	"0"	"0"	"0"	"0"	"0"	"0.0099"	"0"	"0"	"0.0057"	"0"	"0.2144"
"1957"	"0.5224"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1958"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1959"	"0.1448"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1162"
"1960"	"0.611"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1961"	"0.311"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0022"	"0"	"0.643"
"1962"	"1.0039"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0098"	"0"	"0.049"
"1963"	"0.4405"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1964"	"1.0754"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1809"
"1965"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1698"
"1966"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.4176"
"1967"	"1.2117"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1968"	"0.5673"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1018"
"1969"	"0.0587"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0025"
"1970"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.4165"
"1971"	"0.6674"	"0"	"0"	"0"	"0"	"0.0098"	"0.0048"	"0"	"0"	"0"	"0"	"0.2743"
"1972"	"0.0397"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1973"	"0.6554"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3707"
"1974"	"0.6237"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3694"
"1975"	"0.8147"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0786"
"1976"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1977"	"0.2873"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1978"	"0.5156"	"0"	"0"	"0"	"0"	"0"	"0.0099"	"0"	"0"	"0"	"0"	"0.1131"
