
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"24.345"	"26.293"	"33.911"	"37.272"	"40.017"	"38.248"	"33.17"	"30.105"	"32.442"	"35.164"	"30.77"	"28.035"
"1902"	"27.126"	"29.067"	"35.401"	"38.529"	"39.578"	"36.921"	"33.491"	"31.553"	"31.866"	"34.126"	"30.045"	"26.399"
"1903"	"25.79"	"26.865"	"31.161"	"35.924"	"39.283"	"38.042"	"33.051"	"30.366"	"32.048"	"33.836"	"28.228"	"25.725"
"1904"	"25.792"	"28.299"	"32.017"	"37.905"	"39.485"	"36.4"	"31.422"	"30.29"	"32.326"	"34.143"	"30.112"	"26.892"
"1905"	"24.394"	"23.925"	"30.706"	"35.33"	"41.004"	"37.052"	"31.924"	"31.073"	"32.435"	"34.483"	"31.381"	"26.882"
"1906"	"24.224"	"25.947"	"31.814"	"36.617"	"40.217"	"36.256"	"31.966"	"30.493"	"31.044"	"33.684"	"30.769"	"27.097"
"1907"	"26.862"	"27.392"	"32.151"	"36.146"	"38.008"	"36.952"	"33.936"	"28.782"	"30.97"	"33.695"	"30.982"	"25.781"
"1908"	"25.539"	"27.464"	"31.772"	"37.504"	"38.984"	"36.951"	"30.561"	"29.017"	"30.885"	"33.146"	"29.423"	"25.56"
"1909"	"25.155"	"27.469"	"33.407"	"36.049"	"38.424"	"36.372"	"30.767"	"28.91"	"30.359"	"32.84"	"29.775"	"25.777"
"1910"	"25.393"	"28.127"	"32.836"	"35.997"	"38.692"	"35.875"	"30.614"	"29.562"	"31.599"	"32.484"	"28.243"	"26.143"
"1911"	"26.62"	"28.048"	"31.113"	"36.336"	"39.958"	"35.754"	"32.803"	"30.495"	"31.433"	"34.139"	"29.318"	"27.721"
"1912"	"26.946"	"29.682"	"32.45"	"37.427"	"39.988"	"37.892"	"32.061"	"29.521"	"30.822"	"33.508"	"28.999"	"26.371"
"1913"	"25.853"	"28.011"	"30.917"	"37.957"	"38.657"	"36.288"	"31.604"	"29.401"	"31.41"	"34.404"	"30.381"	"26.55"
"1914"	"27.553"	"27.452"	"32.092"	"37.139"	"40.537"	"36.346"	"31.574"	"29.947"	"32.229"	"34.076"	"31.24"	"25.948"
"1915"	"25.628"	"26.906"	"33.523"	"36.61"	"39.958"	"38.236"	"33.411"	"31.03"	"33.663"	"35.068"	"30.755"	"27.141"
"1916"	"26.798"	"26.866"	"34.8"	"37.771"	"39.455"	"35.6"	"32.836"	"29.977"	"31.826"	"32.834"	"28.351"	"25.832"
"1917"	"26.759"	"28.268"	"32.748"	"35.266"	"37.32"	"35.241"	"30.575"	"29.493"	"30.706"	"32.044"	"28.685"	"26.087"
"1918"	"24.568"	"28.515"	"32.65"	"35.397"	"39.467"	"35.826"	"32.675"	"30.702"	"31.535"	"33.904"	"31.25"	"25.958"
"1919"	"26.137"	"27.883"	"33.204"	"36.45"	"39.385"	"36.662"	"31.465"	"29.637"	"31.148"	"33.275"	"30.54"	"26.225"
"1920"	"26.359"	"27.568"	"33.633"	"36.661"	"36.854"	"35.236"	"30.888"	"29.453"	"32.803"	"34.725"	"31.077"	"26.66"
"1921"	"26.504"	"28.058"	"34.95"	"38.699"	"39.813"	"37.204"	"33.263"	"29.914"	"31.1"	"33.532"	"29.943"	"27.834"
"1922"	"25.222"	"29.54"	"33.636"	"37.98"	"39.24"	"36.667"	"31.97"	"29.818"	"31.095"	"33.284"	"29.822"	"25.927"
"1923"	"26.229"	"27.152"	"33.966"	"37.099"	"38.633"	"37.701"	"31.982"	"29.107"	"31.996"	"33.102"	"29.222"	"27.122"
"1924"	"25.692"	"28.621"	"35.077"	"37.938"	"38.327"	"37.456"	"32.562"	"30.368"	"31.035"	"32.44"	"28.371"	"26.59"
"1925"	"23.591"	"26.214"	"33.964"	"39.098"	"38.991"	"35.536"	"31.033"	"30.884"	"32.752"	"35.64"	"30.762"	"27.179"
"1926"	"26.579"	"30.439"	"33.004"	"34.996"	"38.555"	"38.622"	"32.487"	"30.102"	"31.18"	"33.22"	"28.493"	"26.016"
"1927"	"24.291"	"26.668"	"31.803"	"36.285"	"38.511"	"36.816"	"31.089"	"28.826"	"31.227"	"33.379"	"28.142"	"26.946"
"1928"	"25.649"	"28.242"	"33.355"	"37.022"	"39.382"	"36.471"	"31.7"	"29.699"	"30.94"	"33.507"	"30.178"	"25.662"
"1929"	"24.875"	"27.11"	"34.606"	"37.585"	"39.714"	"36.597"	"31.447"	"29.171"	"31.601"	"33.277"	"31.046"	"25.209"
"1930"	"25.56"	"27.397"	"33.395"	"36.524"	"39.286"	"36.868"	"30.561"	"29.422"	"33.03"	"34.767"	"29.376"	"27.14"
"1931"	"27.23"	"26.895"	"32.657"	"38.214"	"39.586"	"38.198"	"32.647"	"30.069"	"31.513"	"32.939"	"29.81"	"26.951"
"1932"	"28.17"	"27.759"	"33.185"	"36.608"	"39.217"	"36.547"	"31.658"	"29.537"	"32.135"	"34.756"	"29.364"	"27.233"
"1933"	"25.38"	"28.495"	"33.148"	"36.465"	"37.776"	"35.953"	"31.489"	"28.715"	"30.998"	"33.296"	"30.069"	"26.547"
"1934"	"23.823"	"29.195"	"32.331"	"37.256"	"39.014"	"36.942"	"31.238"	"29.429"	"30.805"	"32.74"	"29.413"	"27.428"
"1935"	"23.818"	"28.116"	"32.67"	"34.898"	"39.222"	"37.427"	"31.117"	"29.523"	"31.013"	"33.193"	"30.224"	"27.043"
"1936"	"24.924"	"28.479"	"32.342"	"36.438"	"40.346"	"35.269"	"31.56"	"30.097"	"31.801"	"33.994"	"30.453"	"26.18"
"1937"	"24.95"	"28.691"	"31.842"	"36.594"	"39.16"	"37.253"	"30.932"	"29.995"	"31.809"	"33.234"	"30.748"	"25.617"
