
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.538"	"10.188"	"17.737"	"22.044"	"25.766"	"26.99"	"25.51"	"23.403"	"23.158"	"20.689"	"15.142"	"12.245"
"1902"	"11.323"	"12.967"	"19.23"	"23.3"	"25.329"	"25.665"	"25.815"	"24.824"	"22.579"	"19.653"	"14.417"	"10.587"
"1903"	"9.985"	"10.757"	"15.01"	"20.694"	"25.014"	"26.77"	"25.358"	"23.68"	"22.762"	"19.363"	"12.601"	"9.934"
"1904"	"9.987"	"12.205"	"15.841"	"22.675"	"25.236"	"25.129"	"23.721"	"23.605"	"23.026"	"19.654"	"14.484"	"11.095"
"1905"	"8.592"	"7.84"	"14.55"	"20.098"	"26.752"	"25.796"	"24.221"	"24.382"	"23.136"	"19.992"	"15.754"	"11.068"
"1906"	"8.42"	"9.866"	"15.654"	"21.389"	"25.95"	"24.999"	"24.306"	"23.809"	"21.759"	"19.21"	"15.141"	"11.308"
"1907"	"11.056"	"11.288"	"16.008"	"20.898"	"23.761"	"25.697"	"26.254"	"22.105"	"21.672"	"19.207"	"15.355"	"9.988"
"1908"	"9.735"	"11.36"	"15.635"	"22.274"	"24.735"	"25.695"	"22.877"	"22.319"	"21.6"	"18.67"	"13.796"	"9.767"
"1909"	"9.354"	"11.385"	"17.232"	"20.819"	"24.174"	"25.1"	"23.072"	"22.21"	"21.072"	"18.362"	"14.15"	"9.987"
"1910"	"9.59"	"12.024"	"16.693"	"20.767"	"24.428"	"24.619"	"22.952"	"22.869"	"22.317"	"18.007"	"12.615"	"10.348"
"1911"	"10.813"	"11.95"	"14.961"	"21.105"	"25.709"	"24.499"	"25.127"	"23.819"	"22.148"	"19.665"	"13.692"	"11.924"
"1912"	"11.143"	"13.577"	"16.29"	"22.196"	"25.737"	"26.623"	"24.36"	"22.836"	"21.534"	"19.034"	"13.372"	"10.558"
"1913"	"10.048"	"11.927"	"14.775"	"22.726"	"24.394"	"25.015"	"23.913"	"22.7"	"22.126"	"19.931"	"14.753"	"10.741"
"1914"	"11.75"	"11.365"	"15.942"	"21.898"	"26.288"	"25.074"	"23.898"	"23.242"	"22.945"	"19.587"	"16.101"	"10.156"
"1915"	"9.82"	"10.799"	"17.346"	"21.38"	"25.708"	"26.965"	"25.714"	"24.321"	"24.378"	"20.594"	"15.127"	"11.348"
"1916"	"10.992"	"10.76"	"18.65"	"22.522"	"25.206"	"24.328"	"25.143"	"23.29"	"22.54"	"18.359"	"12.723"	"10.044"
"1917"	"10.955"	"12.186"	"16.593"	"20.037"	"23.069"	"23.969"	"22.89"	"22.786"	"21.405"	"17.569"	"13.056"	"10.295"
"1918"	"8.762"	"12.436"	"16.516"	"20.169"	"25.218"	"24.57"	"24.967"	"23.998"	"22.237"	"19.429"	"15.621"	"10.153"
"1919"	"9.965"	"11.779"	"17.052"	"21.221"	"25.133"	"25.407"	"23.803"	"22.912"	"21.863"	"18.802"	"14.912"	"10.429"
"1920"	"10.556"	"11.471"	"17.476"	"21.435"	"22.604"	"23.98"	"23.224"	"22.753"	"23.502"	"20.25"	"15.451"	"10.869"
"1921"	"10.7"	"11.962"	"18.8"	"23.456"	"25.565"	"25.948"	"25.604"	"23.216"	"21.817"	"19.055"	"14.316"	"12.037"
"1922"	"9.417"	"13.442"	"17.466"	"22.75"	"24.968"	"25.397"	"24.31"	"23.136"	"21.809"	"18.807"	"14.197"	"10.113"
"1923"	"10.426"	"11.03"	"17.782"	"21.871"	"24.383"	"26.43"	"24.322"	"22.409"	"22.695"	"18.626"	"13.594"	"11.33"
"1924"	"9.887"	"12.503"	"18.928"	"22.709"	"24.075"	"26.199"	"24.887"	"23.692"	"21.733"	"17.965"	"12.742"	"10.795"
"1925"	"7.788"	"10.131"	"17.781"	"23.855"	"24.741"	"24.264"	"23.354"	"24.206"	"23.467"	"21.162"	"15.133"	"11.39"
"1926"	"10.772"	"14.334"	"16.861"	"19.766"	"24.304"	"27.352"	"24.829"	"23.432"	"21.877"	"18.729"	"12.864"	"10.224"
"1927"	"8.487"	"10.568"	"15.668"	"21.04"	"24.261"	"25.545"	"23.407"	"22.142"	"21.943"	"18.906"	"12.515"	"11.14"
"1928"	"9.844"	"12.158"	"17.181"	"21.794"	"25.13"	"25.217"	"24.005"	"22.995"	"21.659"	"19.032"	"14.553"	"9.873"
"1929"	"9.07"	"10.99"	"18.457"	"22.357"	"25.463"	"25.329"	"23.769"	"22.457"	"22.303"	"18.803"	"15.418"	"9.416"
"1930"	"9.757"	"11.292"	"17.221"	"21.295"	"25.015"	"25.596"	"22.878"	"22.729"	"23.742"	"20.292"	"13.75"	"11.346"
"1931"	"11.423"	"10.789"	"16.522"	"22.968"	"25.336"	"26.926"	"24.917"	"23.394"	"22.211"	"18.463"	"14.187"	"11.139"
"1932"	"12.37"	"11.677"	"17.049"	"21.382"	"24.967"	"25.276"	"23.985"	"22.848"	"22.848"	"20.28"	"13.735"	"11.44"
"1933"	"9.563"	"12.442"	"16.979"	"21.237"	"23.526"	"24.696"	"23.831"	"22.04"	"21.695"	"18.825"	"14.472"	"10.756"
"1934"	"8.022"	"13.09"	"16.196"	"22.013"	"24.765"	"25.684"	"23.561"	"22.727"	"21.522"	"18.266"	"13.785"	"11.61"
"1935"	"8.015"	"11.997"	"16.534"	"19.67"	"24.973"	"26.159"	"23.436"	"22.839"	"21.595"	"18.72"	"14.596"	"11.252"
"1936"	"9.122"	"11.974"	"16.199"	"21.208"	"26.097"	"24.012"	"23.884"	"23.397"	"22.5"	"19.521"	"14.824"	"10.387"
"1937"	"9.147"	"12.611"	"15.686"	"21.35"	"24.912"	"25.984"	"23.273"	"23.309"	"22.51"	"18.763"	"15.12"	"9.807"
"1938"	"10.15"	"10.503"	"18.371"	"22.596"	"25.24"	"23.656"	"23.617"	"23.57"	"23.216"	"19.85"	"13.264"	"11.201"
"1939"	"10.908"	"12.534"	"14.973"	"20.436"	"24.514"	"25.029"	"24.354"	"24.483"	"22.302"	"19.705"	"14.527"	"11.758"
"1940"	"10.949"	"12.437"	"15.134"	"20.997"	"25.603"	"25.396"	"24.185"	"22.928"	"22.206"	"19.611"	"14.887"	"10.419"
"1941"	"9.455"	"13.2"	"18.172"	"22.82"	"25.293"	"25.774"	"23.517"	"23.438"	"23.08"	"21.187"	"14.978"	"12.282"
"1942"	"9.058"	"12.478"	"17.997"	"23.329"	"24.84"	"26.457"	"22.911"	"22.307"	"21.563"	"18.951"	"14.351"	"9.508"
"1943"	"9.596"	"12.25"	"17.596"	"21.299"	"25.86"	"24.408"	"22.908"	"22.383"	"21.602"	"18.62"	"14.864"	"11.483"
"1944"	"9.649"	"11.447"	"16.255"	"20.839"	"25.044"	"24.703"	"22.723"	"22.387"	"22.33"	"18.269"	"14.343"	"11.476"
"1945"	"7.842"	"11.382"	"17.583"	"20.952"	"24.159"	"25.435"	"22.52"	"22.95"	"21.526"	"18.155"	"13.291"	"9.352"
"1946"	"9.902"	"13.472"	"16.295"	"23.149"	"24.585"	"24.705"	"23.399"	"21.926"	"21.697"	"19.366"	"12.628"	"10.395"
"1947"	"8.953"	"12.113"	"17.514"	"21.674"	"25.386"	"26.159"	"24.283"	"24.033"	"21.256"	"17.539"	"14.372"	"10.805"
"1948"	"9.237"	"11.44"	"17.246"	"22.921"	"26.209"	"26.109"	"25.041"	"23.241"	"22.329"	"20.087"	"14.426"	"11.226"
"1949"	"12.001"	"12.362"	"17.844"	"23.348"	"26.468"	"25.584"	"24.208"	"23.649"	"22.759"	"19.477"	"13.584"	"10.129"
"1950"	"10.724"	"9.715"	"16.36"	"21.449"	"25.166"	"25.678"	"22.663"	"22.823"	"21.789"	"19.63"	"13.263"	"9.962"
"1951"	"8.875"	"11.443"	"17.049"	"20.189"	"24.835"	"25.126"	"25.563"	"23.242"	"24.307"	"22.073"	"16.121"	"11.034"
"1952"	"11.31"	"13.71"	"17.232"	"23.046"	"26.005"	"24.99"	"23.377"	"22.293"	"22.526"	"19.497"	"14.415"	"11.143"
"1953"	"9.653"	"14.519"	"19.389"	"22.443"	"24.839"	"25.713"	"24.304"	"22.584"	"22.191"	"18.902"	"14.374"	"12.647"
"1954"	"9.428"	"13.563"	"17.627"	"22.408"	"25.895"	"25.974"	"23.989"	"24.078"	"21.142"	"17.347"	"14.32"	"10.507"
"1955"	"10.267"	"12.9"	"19.217"	"20.174"	"24.637"	"25.272"	"24.901"	"22.865"	"21.571"	"18.036"	"12.758"	"10.704"
"1956"	"10.144"	"11.766"	"17.991"	"22.335"	"25.691"	"24.77"	"21.673"	"22.175"	"22.045"	"17.209"	"13.019"	"10.737"
"1957"	"9.23"	"10.349"	"15.698"	"21.169"	"23.8"	"25.677"	"24.361"	"23.967"	"22.405"	"19.725"	"16.174"	"11.672"
"1958"	"11.819"	"12.673"	"18.261"	"23.541"	"25.667"	"26.429"	"23.351"	"24.268"	"21.005"	"18.382"	"14.983"	"11.858"
"1959"	"9.867"	"11.909"	"18.572"	"22.359"	"25.343"	"25.56"	"22.722"	"22.215"	"21.169"	"18.779"	"14.276"	"11.045"
"1960"	"9.338"	"14.212"	"15.972"	"21.003"	"24.374"	"25.192"	"24.327"	"22.204"	"23.002"	"19.025"	"13.897"	"11.428"
"1961"	"9.503"	"10.508"	"18.176"	"21.317"	"25.256"	"24.66"	"23.635"	"23.531"	"20.921"	"17.899"	"14.339"	"9.696"
"1962"	"8.646"	"12.851"	"16.794"	"21.919"	"24.771"	"24.815"	"23.327"	"22.602"	"21.326"	"17.137"	"14.012"	"11.673"
"1963"	"10.256"	"14.304"	"17.819"	"21.974"	"25.081"	"25.726"	"24.766"	"22.811"	"21.612"	"19.598"	"16.295"	"11.895"
"1964"	"8.806"	"12.482"	"18.779"	"23.506"	"24.708"	"24.274"	"23.592"	"23.092"	"22.364"	"19.295"	"13.789"	"10.962"
"1965"	"12.207"	"12.924"	"17.071"	"21.347"	"24.774"	"26.132"	"24.201"	"23.838"	"22.284"	"20.464"	"16.281"	"11.431"
"1966"	"11.687"	"15.167"	"16.854"	"22.213"	"25.118"	"25.254"	"24.861"	"23.062"	"21.978"	"20.224"	"15.574"	"10.296"
"1967"	"8.106"	"14.005"	"16.304"	"20.784"	"24.369"	"24.312"	"23.229"	"22"	"20.975"	"18.86"	"15.334"	"12.194"
"1968"	"9.257"	"11.103"	"17.01"	"21.655"	"23.778"	"26.613"	"24.406"	"22.072"	"23.129"	"19.575"	"15.335"	"11.081"
"1969"	"10.312"	"12.851"	"19.571"	"22.676"	"24.766"	"25.923"	"24.868"	"22.876"	"22.688"	"20.143"	"16.893"	"12.319"
"1970"	"10.918"	"12.234"	"17.086"	"22.889"	"25.998"	"24.277"	"23.589"	"22.885"	"21.436"	"19.615"	"13.471"	"10.585"
"1971"	"9.185"	"11.996"	"16.953"	"23.205"	"24.057"	"23.126"	"22.404"	"22.588"	"21.577"	"18.184"	"14.087"	"10.63"
"1972"	"10.341"	"9.649"	"18.081"	"21.189"	"24.901"	"26.004"	"24.127"	"23.981"	"22.507"	"19.84"	"15.001"	"11.591"
