
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.4"	"6.06"	"7.25"	"8.28"	"8.76"	"7.91"	"6.08"	"5.25"	"5.99"	"7"	"6.26"	"5.56"
"1902"	"5.55"	"6.28"	"7.38"	"8.37"	"8.83"	"7.83"	"6.04"	"5.38"	"6.03"	"6.96"	"6.24"	"5.48"
"1903"	"5.49"	"6.2"	"7.13"	"8.16"	"8.72"	"7.9"	"6.07"	"5.28"	"6"	"7"	"6.14"	"5.41"
"1904"	"5.44"	"6.28"	"7.17"	"8.26"	"8.81"	"7.89"	"5.95"	"5.23"	"6"	"6.97"	"6.24"	"5.56"
"1905"	"5.48"	"5.96"	"7.03"	"8.07"	"8.78"	"7.92"	"5.98"	"5.25"	"6.03"	"6.95"	"6.3"	"5.6"
"1906"	"5.42"	"6.07"	"7.13"	"8.17"	"8.81"	"7.87"	"5.97"	"5.29"	"5.97"	"6.89"	"6.24"	"5.52"
"1907"	"5.55"	"6.22"	"7.19"	"8.24"	"8.69"	"7.78"	"6.13"	"5.25"	"5.91"	"6.89"	"6.27"	"5.48"
"1908"	"5.45"	"6.21"	"7.15"	"8.24"	"8.77"	"7.9"	"5.96"	"5.19"	"5.93"	"6.92"	"6.19"	"5.44"
"1909"	"5.42"	"6.16"	"7.29"	"8.23"	"8.72"	"7.89"	"5.96"	"5.2"	"5.92"	"6.88"	"6.19"	"5.45"
"1910"	"5.43"	"6.23"	"7.27"	"8.22"	"8.74"	"7.84"	"5.89"	"5.2"	"6"	"6.93"	"6.08"	"5.42"
"1911"	"5.51"	"6.31"	"7.15"	"8.15"	"8.8"	"7.81"	"6"	"5.3"	"5.98"	"6.98"	"6.17"	"5.51"
"1912"	"5.53"	"6.39"	"7.25"	"8.23"	"8.77"	"7.93"	"6.06"	"5.25"	"5.94"	"6.93"	"6.16"	"5.46"
"1913"	"5.48"	"6.28"	"7.07"	"8.25"	"8.77"	"7.84"	"5.98"	"5.22"	"5.93"	"6.96"	"6.26"	"5.47"
"1914"	"5.6"	"6.26"	"7.17"	"8.21"	"8.83"	"7.9"	"5.96"	"5.23"	"6"	"6.94"	"6.25"	"5.49"
"1915"	"5.48"	"6.15"	"7.27"	"8.23"	"8.75"	"7.91"	"6.08"	"5.31"	"6.05"	"7.03"	"6.27"	"5.53"
"1916"	"5.58"	"6.14"	"7.3"	"8.32"	"8.83"	"7.8"	"6.01"	"5.25"	"6.01"	"6.95"	"6.13"	"5.38"
"1917"	"5.51"	"6.28"	"7.29"	"8.21"	"8.69"	"7.78"	"5.9"	"5.21"	"5.98"	"6.87"	"6.12"	"5.47"
"1918"	"5.37"	"6.25"	"7.28"	"8.16"	"8.76"	"7.8"	"6"	"5.32"	"5.99"	"6.93"	"6.3"	"5.48"
"1919"	"5.51"	"6.21"	"7.27"	"8.23"	"8.76"	"7.89"	"5.97"	"5.25"	"5.95"	"6.88"	"6.26"	"5.48"
"1920"	"5.51"	"6.2"	"7.3"	"8.31"	"8.69"	"7.75"	"5.9"	"5.17"	"6"	"6.99"	"6.3"	"5.51"
"1921"	"5.52"	"6.2"	"7.31"	"8.38"	"8.83"	"7.88"	"6.07"	"5.32"	"5.95"	"6.93"	"6.18"	"5.59"
"1922"	"5.43"	"6.3"	"7.31"	"8.31"	"8.81"	"7.88"	"6"	"5.25"	"5.96"	"6.92"	"6.21"	"5.44"
"1923"	"5.5"	"6.16"	"7.29"	"8.29"	"8.72"	"7.9"	"6.04"	"5.2"	"5.99"	"6.93"	"6.15"	"5.51"
