
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.94"	"0"	"0.605"	"0.225"	"51.686"	"53.503"	"285.748"	"144.237"	"8.668"	"23.737"	"0.156"	"3.056"
"1902"	"1.063"	"0"	"0"	"0"	"15.289"	"47.556"	"117.377"	"202.695"	"173.873"	"3.189"	"14.747"	"0.643"
"1903"	"0.091"	"0.074"	"0.75"	"0"	"29.835"	"7.479"	"449.833"	"202.677"	"203.743"	"0.34"	"0.156"	"0"
"1904"	"0.717"	"0.941"	"9.494"	"0"	"9.878"	"52.925"	"153.554"	"61.817"	"79.202"	"12.339"	"0.156"	"5.851"
"1905"	"1.561"	"0.949"	"2.624"	"2.385"	"2.215"	"25.837"	"371.891"	"13.823"	"122.79"	"0.002"	"0.196"	"0"
"1906"	"0"	"19.661"	"0.012"	"0"	"0.285"	"89.832"	"395.852"	"212.28"	"208.129"	"0.444"	"0.156"	"9.478"
"1907"	"3.369"	"7.029"	"1.083"	"5.711"	"0.915"	"28.597"	"228.792"	"425.484"	"7.274"	"0.002"	"0.897"	"0"
"1908"	"16.843"	"0.028"	"0.073"	"0.136"	"0.436"	"74.325"	"645.615"	"504.105"	"203.79"	"0.002"	"4.582"	"0"
"1909"	"6.687"	"0"	"0"	"17.975"	"1.277"	"67.725"	"338.368"	"220.11"	"283.467"	"0.068"	"0.156"	"2.532"
"1910"	"22.343"	"0.071"	"0"	"19.933"	"6.036"	"199.306"	"165.817"	"354.509"	"35.658"	"10.715"	"1.566"	"0"
"1911"	"26.273"	"0"	"41.889"	"0"	"0.003"	"121.016"	"60.518"	"48.545"	"99.354"	"0.002"	"24.921"	"0"
"1912"	"0"	"0"	"0"	"0.229"	"0.285"	"66.906"	"302.624"	"296.1"	"60.914"	"30.105"	"56.577"	"0"
"1913"	"0"	"0.071"	"0.416"	"0"	"8.392"	"115.143"	"366.297"	"168.187"	"116.655"	"0.002"	"2.187"	"1.172"
"1914"	"0"	"2.464"	"0"	"0.894"	"23.384"	"133.597"	"302.759"	"139.748"	"158.023"	"6.584"	"29.966"	"0.489"
"1915"	"6.681"	"4.976"	"24.942"	"1.187"	"2.083"	"49.902"	"104.562"	"56.772"	"46.094"	"54.971"	"0.381"	"0.432"
"1916"	"0"	"0"	"0"	"0"	"18.25"	"113.238"	"123.616"	"434.714"	"215.44"	"11.924"	"4.93"	"0"
"1917"	"0.515"	"13.747"	"0.208"	"3.951"	"57.585"	"165.553"	"248.822"	"416.302"	"384.371"	"26.124"	"0.156"	"8.768"
"1918"	"0"	"0"	"1.266"	"0"	"27.502"	"60.274"	"50.254"	"230.405"	"14.745"	"0.042"	"7.442"	"0"
"1919"	"34.054"	"0"	"0.005"	"9.501"	"25.837"	"61.358"	"324.591"	"455.369"	"54.082"	"4.657"	"34.34"	"0.704"
"1920"	"1.602"	"3.053"	"0.828"	"0"	"49.713"	"205.79"	"353.808"	"46.806"	"17.096"	"0.002"	"0.156"	"0"
"1921"	"0.424"	"0"	"0"	"0"	"0.003"	"47.574"	"353.591"	"164.424"	"254.741"	"0.005"	"0.156"	"0"
"1922"	"0.824"	"0.207"	"0"	"0"	"0.436"	"50.849"	"303.454"	"129.22"	"248.749"	"0.631"	"21.747"	"0.258"
"1923"	"1.005"	"1.526"	"0.892"	"4.253"	"15.178"	"4.327"	"308.095"	"168.25"	"47.971"	"0.645"	"0.156"	"0.003"
"1924"	"1.866"	"0.248"	"0"	"0"	"21.235"	"49.892"	"341.988"	"168.332"	"301.486"	"6.796"	"0.156"	"8.873"
"1925"	"0"	"0"	"0"	"0"	"9.304"	"210.261"	"195.022"	"77.901"	"12.224"	"0.002"	"29.431"	"0.088"
"1926"	"34.177"	"0.074"	"9.315"	"13.147"	"6.629"	"14.865"	"326.559"	"367.996"	"424.499"	"0.002"	"4.586"	"0"
"1927"	"0"	"4.836"	"0.026"	"0"	"6.093"	"45.39"	"652.379"	"427.939"	"80.058"	"13.226"	"11.211"	"15.847"
"1928"	"0.515"	"0.919"	"0"	"0"	"0.003"	"30.527"	"248.194"	"200.336"	"120.876"	"41.644"	"83.902"	"3.707"
"1929"	"0.918"	"0.407"	"0"	"4.744"	"0.753"	"113.141"	"373.778"	"224.314"	"12.927"	"1.42"	"0.156"	"5.136"
"1930"	"31.146"	"0"	"0"	"0.894"	"8.768"	"85.634"	"288.53"	"154.107"	"93.689"	"20.181"	"0.646"	"0"
