
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.668"	"6.562"	"8.735"	"11.876"	"18.264"	"27.514"	"29.428"	"26.466"	"24.97"	"14.452"	"9.708"	"8.526"
"1902"	"7.761"	"7.473"	"9.665"	"12.75"	"18.04"	"25.828"	"29.42"	"28.635"	"24.395"	"13.551"	"9.272"	"7.769"
"1903"	"7.3"	"7.226"	"7.537"	"10.982"	"17.887"	"27.473"	"29.459"	"26.506"	"24.915"	"13.037"	"8.466"	"7.564"
"1904"	"7.286"	"7.53"	"8.145"	"12.047"	"17.961"	"25.684"	"27.605"	"26.514"	"24.933"	"13.553"	"9.023"	"8.223"
"1905"	"6.689"	"5.722"	"7.537"	"10.69"	"19.504"	"25.749"	"27.973"	"28.205"	"25.072"	"13.921"	"10.017"	"8.223"
"1906"	"6.66"	"6.615"	"7.859"	"11.438"	"19.068"	"25.581"	"27.653"	"26.876"	"24.176"	"13.469"	"9.904"	"8.253"
"1907"	"7.691"	"7.188"	"8.24"	"11.168"	"17.04"	"25.737"	"31.13"	"26.511"	"24.38"	"14.005"	"9.708"	"7.545"
"1908"	"7.266"	"7.377"	"8.188"	"11.817"	"17.963"	"25.932"	"26.826"	"26.402"	"23.902"	"13.057"	"9.004"	"7.559"
"1909"	"7.149"	"7.574"	"9.105"	"11.128"	"17.357"	"25.581"	"27.319"	"26.077"	"23.054"	"12.534"	"9.31"	"7.584"
"1910"	"7.266"	"7.349"	"8.735"	"10.99"	"17.946"	"25.674"	"26.681"	"26.481"	"24.392"	"12.866"	"8.399"	"7.723"
"1911"	"7.661"	"7.343"	"7.609"	"11.11"	"18.036"	"25.708"	"29.113"	"26.72"	"24.404"	"13.568"	"8.864"	"8.292"
"1912"	"7.757"	"8.456"	"8.267"	"12.058"	"18.432"	"27.473"	"27.581"	"26.466"	"24.38"	"13.629"	"8.977"	"8.218"
"1913"	"7.255"	"7.709"	"7.564"	"11.904"	"17.967"	"25.375"	"27.563"	"26.522"	"24.34"	"13.935"	"9.676"	"8.192"
"1914"	"7.766"	"7.494"	"8.129"	"11.706"	"19.299"	"25.766"	"27.703"	"26.488"	"24.478"	"13.629"	"9.709"	"7.613"
"1915"	"7.325"	"7.201"	"8.692"	"11.715"	"18.623"	"28.405"	"29.739"	"27.849"	"26.767"	"14.435"	"9.723"	"8.223"
"1916"	"7.746"	"7.237"	"9.446"	"11.817"	"17.919"	"24.8"	"29.254"	"26.436"	"24.382"	"12.824"	"8.494"	"7.605"
"1917"	"7.289"	"8.063"	"8.625"	"10.589"	"16.628"	"24.431"	"26.679"	"26.193"	"24.254"	"11.958"	"8.56"	"7.666"
"1918"	"6.661"	"7.748"	"8.53"	"10.604"	"17.962"	"25.725"	"29.091"	"27.531"	"24.308"	"13.847"	"9.723"	"7.635"
"1919"	"7.258"	"7.148"	"8.736"	"11.205"	"17.966"	"25.683"	"27.624"	"26.436"	"24.087"	"13.232"	"9.325"	"7.664"
"1920"	"7.266"	"7.383"	"8.737"	"11.554"	"16.103"	"24.333"	"27.606"	"26.483"	"25.816"	"14.08"	"9.709"	"8.086"
"1921"	"7.303"	"7.351"	"9.654"	"12.859"	"18.403"	"26.526"	"30.037"	"26.436"	"24.243"	"13.423"	"9.152"	"8.431"
"1922"	"7.259"	"8.273"	"8.735"	"12.044"	"17.905"	"25.569"	"27.61"	"26.466"	"24.34"	"13.569"	"9.389"	"7.677"
"1923"	"7.266"	"7.246"	"8.735"	"12.044"	"17.92"	"26.867"	"27.671"	"26.492"	"24.435"	"12.489"	"8.908"	"8.088"
"1924"	"7.286"	"7.621"	"9.59"	"11.916"	"17.179"	"27.089"	"28.461"	"26.492"	"24.426"	"12.622"	"8.418"	"8.149"
"1925"	"6.355"	"6.648"	"9.167"	"12.956"	"17.995"	"24.251"	"27.582"	"28.007"	"25.397"	"14.525"	"9.147"	"8.122"
"1926"	"7.286"	"8.866"	"8.241"	"10.411"	"17.379"	"28.468"	"27.957"	"26.436"	"24.457"	"12.444"	"8.357"	"7.503"
"1927"	"6.57"	"7.113"	"8.16"	"11.194"	"17.962"	"25.812"	"27.705"	"26.511"	"24.403"	"13.437"	"8.378"	"8.223"
"1928"	"7.243"	"7.653"	"8.735"	"11.89"	"18.371"	"25.751"	"27.661"	"26.467"	"24.39"	"13.554"	"9.463"	"7.617"
"1929"	"6.791"	"7.158"	"9.33"	"11.914"	"17.87"	"25.698"	"27.671"	"26.48"	"24.144"	"13.569"	"9.708"	"7.319"
"1930"	"7.357"	"7.438"	"8.735"	"11.522"	"17.962"	"25.66"	"26.176"	"26.458"	"25.962"	"14.127"	"8.89"	"8.188"
"1931"	"7.784"	"7.175"	"8.417"	"12.262"	"17.966"	"27.268"	"29.429"	"26.608"	"24.457"	"12.604"	"9.234"	"8.223"
"1932"	"8.255"	"6.978"	"8.368"	"11.43"	"17.966"	"25.676"	"27.679"	"26.436"	"24.705"	"13.553"	"9.1"	"8.223"
"1933"	"6.959"	"8.155"	"8.736"	"11.352"	"16.998"	"25.67"	"27.624"	"26.102"	"24.302"	"13.136"	"9.682"	"8.353"
"1934"	"6.232"	"8.223"	"8.135"	"12.023"	"17.963"	"25.693"	"27.672"	"26.444"	"24.339"	"12.865"	"8.992"	"8.241"
"1935"	"6.341"	"7.633"	"8.265"	"10.571"	"17.998"	"27.015"	"27.529"	"26.436"	"24.29"	"13.307"	"9.244"	"8.198"
"1936"	"6.656"	"8.198"	"8.218"	"11.168"	"19.168"	"24.417"	"27.628"	"26.492"	"24.364"	"13.554"	"9.709"	"7.575"
"1937"	"6.703"	"8.146"	"8.2"	"10.883"	"17.913"	"25.811"	"27.594"	"26.466"	"24.358"	"13.323"	"9.709"	"7.552"
"1938"	"7.491"	"7.22"	"9.558"	"12.081"	"18.429"	"23.802"	"27.626"	"26.772"	"25.188"	"13.696"	"8.538"	"8.223"
"1939"	"7.647"	"7.923"	"7.607"	"10.995"	"17.952"	"25.72"	"27.721"	"28.257"	"24.414"	"13.86"	"9.73"	"8.512"
"1940"	"7.652"	"8.163"	"7.666"	"11.095"	"18.498"	"25.668"	"27.775"	"26.465"	"24.43"	"13.961"	"9.499"	"7.746"
"1941"	"7.286"	"8.228"	"9.168"	"12.248"	"18.497"	"25.636"	"27.733"	"27.041"	"24.424"	"14.465"	"9.708"	"8.506"
"1942"	"7.108"	"7.897"	"9.091"	"12.77"	"17.966"	"27.233"	"26.718"	"26.436"	"23.252"	"13.629"	"9.236"	"7.624"
"1943"	"7.251"	"7.675"	"8.765"	"11.553"	"18.791"	"25.63"	"26.412"	"26.45"	"24.354"	"13.166"	"9.709"	"8.373"
"1944"	"7.259"	"7.54"	"8.119"	"10.992"	"17.966"	"25.637"	"26.695"	"26.509"	"24.342"	"12.832"	"9.708"	"8.282"
"1945"	"6.164"	"7.237"	"8.735"	"11.179"	"17.966"	"25.713"	"26.269"	"26.442"	"24.359"	"12.606"	"9.008"	"7.242"
"1946"	"7.259"	"8.326"	"8.373"	"12.95"	"17.926"	"25.711"	"27.681"	"25.205"	"24.36"	"13.554"	"8.582"	"8.155"
